Start Time,End Time,Text,sentiment-score
00:00:00.280,00:00:03.610,"Hey, Vsauce. Michael here. The dog",0.0
00:00:03.610,00:00:07.580,that played Toto in The Wizard of Oz was credited,0.5994
00:00:07.580,00:00:11.559,"as Toto, but in reality the dog's name",0.0
00:00:11.559,00:00:15.839,was Terry. And when Terry died in 1945,-0.5574
00:00:15.839,00:00:19.970,her owner and trainer Carl Spitz buried her on his ranch,0.0
00:00:19.970,00:00:23.730,in Los Angeles. But in 1958,0.0
00:00:23.730,00:00:27.300,the Ventura Highway was constructed right,0.0
00:00:27.300,00:00:30.789,through Terry's grave. Her remains were,-0.3818
00:00:30.789,00:00:35.850,disturbed and have never been found. Fifty-three years later,-0.3818
00:00:35.850,00:00:39.030,a memorial was erected in Hollywood Forever Cemetery,0.0
00:00:39.030,00:00:42.600,in her honor but because she isn't burried,0.2732
00:00:42.600,00:00:46.640,"there, the memorial is not a grave. It's what's known",0.2924
00:00:46.640,00:00:49.760,"as a cenotaph, an empty",-0.2023
00:00:49.760,00:00:52.820,tomb. I was reminded of Toto's,0.0
00:00:52.820,00:00:57.680,"cenotaph when I saw the cenotaph of Philopappos, atop the Hill of the Muses",0.0
00:00:57.680,00:01:00.829,"in Athens. You see, I was recently in Greece",0.0
00:01:00.829,00:01:03.930,talking about YouTube with YouTube creators. The,0.0
00:01:03.930,00:01:07.510,all seen eye of Guy came along and we visited,0.0
00:01:07.510,00:01:12.729,"the Acropolis, a Lion Gate - nearly a thousand years older than the Acropolis.",0.0
00:01:12.729,00:01:16.960,The earliest known analog computer. Plenty of beautiful,0.5994
00:01:16.960,00:01:20.479,cats and I even took a selfie in,0.0
00:01:20.479,00:01:24.720,Delphi. I've seen all of these things and,0.0
00:01:24.720,00:01:29.009,"how old they were, it made me wonder how will we",0.0
00:01:29.009,00:01:31.200,be remembered.,0.0
00:01:31.200,00:01:35.620,How will future archaeologists react to the ruins of today's,-0.4404
00:01:35.620,00:01:39.120,society they find thousands of years from now.,0.0
00:01:39.120,00:01:42.120,Will they do a good job piecing it,0.4404
00:01:42.120,00:01:46.230,together? Will anything about you in particular,0.0
00:01:46.230,00:01:50.420,"be remembered? And, for that matter,",0.0258
