Start Time,End Time,Text,sentiment-score
00:00:00.290,00:00:04.680,"Hey, Vsauce. Michael here. If you were driving in a car",0.0
00:00:04.680,00:00:08.380,at the speed of light and you turned on your headlights,0.0
00:00:08.380,00:00:12.400,what would happen? Would light be able to come out,0.0
00:00:12.400,00:00:15.809,or would your headlights just stay dark?,0.0
00:00:15.809,00:00:19.140,"Or maybe, light would come out but it just pull up",0.0
00:00:19.140,00:00:22.539,inside the headlight like a overflowing sink.,0.3612
00:00:22.539,00:00:27.560,Or maybe the light would come out but at twice the speed of light - at its normal,0.0
00:00:27.560,00:00:30.660,speed plus the speed of your car.,0.0
00:00:30.660,00:00:35.200,"No, that doesn't sound right. None of these answers sound right because,",0.0
00:00:35.200,00:00:38.649,"of course, there is no answer.",-0.296
00:00:38.649,00:00:41.940,A car cannot travel at the speed,0.0
00:00:41.940,00:00:46.180,of light. Nothing that has mass can.,0.0
00:00:46.180,00:00:50.340,"But come on, you say, there are things that can travel at the speed of light.",0.0
00:00:50.340,00:00:54.410,"Things that have no mass, like photons. Let's build a car",-0.5122
00:00:54.410,00:00:57.539,out of light. Okay.,0.2263
00:00:57.539,00:01:01.109,Let's take that suggestion because imagining what it is like,0.3612
00:01:01.109,00:01:05.000,"to be light, brings up a lot of questions about",0.0
00:01:05.000,00:01:08.360,"light, about why things are the way they are",0.0
00:01:08.360,00:01:12.510,and about whether or not we are real.,0.0
00:01:12.510,00:01:16.950,"In order to see what I mean we need to talk about ""C"".",0.0
00:01:16.950,00:01:18.820,The speed of light.,0.0
00:01:18.820,00:01:23.870,"It is Constant. As long as you aren't accelarating, you can move as fast or",0.0
00:01:23.870,00:01:24.600,slow or,0.0
00:01:24.600,00:01:27.760,in whatever direction you want and you will still,0.0772
00:01:27.760,00:01:30.900,always see light moving at light,0.0
00:01:30.900,00:01:35.500,"speed. Even when light appears to slow down, as it passes through different",0.0
00:01:35.500,00:01:36.430,"materials,",0.0
00:01:36.430,00:01:40.730,"the actual photons themselves are still always traveling at ""C"".",0.0
00:01:40.730,00:01:44.000,"They're just taking a longer path, which takes",0.0
00:01:44.000,00:01:49.030,"more time. This law always holds true because whenever you move,",0.4215
00:01:49.030,00:01:52.090,"relative to other things, your measurements of them and their",0.0
00:01:52.090,00:01:53.270,measurements of you,0.0
00:01:53.270,00:01:58.530,"change. When you move, everything not moving with you appears to you to be",0.0
00:01:58.530,00:01:59.200,shortened,0.0
00:01:59.200,00:02:02.860,in length and to be experiencing time more slowly.,0.0
00:02:02.860,00:02:06.790,"Whereas to everything else, it is you that these changes happen to.",0.0
00:02:06.790,00:02:12.070,These changes really happen - just not noticeably or measurably at the speeds,0.0
00:02:12.070,00:02:13.600,we usually travel at.,0.0
00:02:13.600,00:02:16.930,"For example, while walking to your refrigerator for a snack,",0.0
00:02:16.930,00:02:20.670,you will measure your fridge to be a 100 quadrillionth,0.0
00:02:20.670,00:02:25.470,of a meter nearer and thinner than you would while at rest with it.,0.0
00:02:25.470,00:02:28.740,You'll also notice that it experiences time more slowly,0.0
00:02:28.740,00:02:32.380,than you. Each one of its seconds will be a 100 quadrillionth,0.0
00:02:32.380,00:02:35.489,of a second longer than yours. But your fridge,0.0
00:02:35.489,00:02:38.810,will measure that these transformations are happening to you.,0.0
00:02:38.810,00:02:42.530,"These are small numbers, but at speeds nearer the speed of light",0.0
00:02:42.530,00:02:46.660,"these changes can be dramatic. As I mentioned in an earlier video,",0.0
00:02:46.660,00:02:54.160,to a particle racing toward Earth at 99.9999999999991%,0.0
00:02:54.160,00:02:57.560,the entire Earth would only appear to be,0.0
00:02:57.560,00:03:00.650,70 meters deep. Our whole planet.,0.0
00:03:00.650,00:03:03.709,"Now with all of this in mind, let's take a look at headlights",0.0
00:03:03.709,00:03:07.239,being used by a stationary ship and one that is moving,0.0
00:03:07.239,00:03:09.490,at 99 percent the speed of light.,0.0
00:03:09.490,00:03:12.750,The Near Light Speed Ship would be flattened in the direction of its travel,0.0
00:03:12.750,00:03:13.470,"to us,",0.0
00:03:13.470,00:03:17.430,while a stationary one would not. As their headlights come on,0.0
00:03:17.430,00:03:21.020,the light coming from both ships travels at the same rate.,0.0
00:03:21.020,00:03:24.280,The speed of a lights' source doesn't push it faster.,0.0
00:03:24.280,00:03:27.690,"The moving ships velocity does, however, give its headlight energy",0.2732
00:03:27.690,00:03:31.180,"in the direction it's headed, causing a blue shift from the front and a red shift",0.0
00:03:31.180,00:03:32.110,from behind.,0.0
00:03:32.110,00:03:35.330,What's really cool though is that this is just what,0.3804
00:03:35.330,00:03:39.160,"we would see, floating in space at rest with the stationary ship.",0.0
00:03:39.160,00:03:43.569,"The crew of the fast-moving ship wouldn't see their beams, only gradually",0.0
00:03:43.569,00:03:44.390,gaining on them,0.4215
00:03:44.390,00:03:49.080,"like we do, they would see it exactly what the crew the stationary ships sees.",0.3612
00:03:49.080,00:03:52.819,Light beams rapidly fleeing their headlights at the speed of light,0.0
00:03:52.819,00:03:57.390,just as if they were moving at all. And here's why. Let's say this distance,0.0
