Start Time,End Time,Text,sentiment-score
00:00:01.439,00:00:03.310,"Hey, Vsauce.",0.0
00:00:03.310,00:00:04.710,Michael here.,0.0
00:00:06.760,00:00:08.639,Not knowing what to do with your hands,0.0
00:00:09.820,00:00:11.980,or offering a handshake,0.0
00:00:11.990,00:00:15.690,when the other person offers a fist bump.,0.0
00:00:23.140,00:00:24.640,Forgetting someone's name...,0.0
00:00:30.720,00:00:35.280,Not having anything to say and forgetting your phone at home so you can't,0.0
00:00:35.290,00:00:39.320,be distracted by it. Getting caught staring at a stranger.,-0.34
00:00:39.320,00:00:42.940,Striking up a conversation with someone you don't know in a bathroom.,0.0
00:00:42.940,00:00:46.489,"Someone oversharing, telling a group",0.0
00:00:46.489,00:00:51.800,too much information. Overhearing a couple breaking up.,0.0
00:00:51.800,00:00:56.790,"Noticing food in someone's teeth but not telling them and, well, now it's been too",0.3919
00:00:56.790,00:00:58.530,long and bringing up would be weird.,-0.1779
00:00:58.530,00:01:02.390,Smelling a fart in an elevator that wasn't yours,0.0
00:01:02.390,00:01:06.690,"but, well, now you can't even react to it or mention that you've noticed it",0.3919
00:01:06.690,00:01:10.880,or pretend to even know what a fart is. All of those things,-0.1027
00:01:10.880,00:01:12.760,are awkward.,-0.1531
00:01:14.200,00:01:15.260,We don't like,-0.2755
00:01:15.270,00:01:18.890,"awkwardness. It makes us uncomfortable, cringe.",-0.5106
00:01:19.840,00:01:22.480,But what is awkwardness?,-0.2617
00:01:22.960,00:01:28.040,Why is it good and who is the main character,0.4404
00:01:28.049,00:01:30.760,of the universe?,0.0
00:01:30.760,00:01:35.830,To really understand awkwardness we need to put it in context with the entire,-0.2449
00:01:35.830,00:01:38.890,family of forces that guide social behaviour.,0.0
00:01:39.460,00:01:43.420,Think of this sheet of cardboard as a list all possible behaviours.,0.0
00:01:43.430,00:01:47.270,It's not infinite because of the limits of science and biology.,0.0
00:01:47.270,00:01:51.370,You can't move faster than light or be in two places at once.,0.0
00:01:51.370,00:01:54.800,You can't wear pants made out of molten lead.,0.0
00:01:54.800,00:01:58.920,"Next, there are legal limits - the laws of the state.",0.128
00:01:58.920,00:02:03.340,"They delineate what you agree not to do, lest the authorities",0.3612
00:02:03.340,00:02:07.430,"punish you - murder, stealing, speeding. What's left",-0.9153
00:02:07.430,00:02:11.470,is molded by the finder tool of social expectations.,0.0
00:02:11.470,00:02:15.000,It's not illegal to chew with your mouth open or,0.4449
00:02:15.000,00:02:18.210,not cover a sneeze on a crowded bus or,0.0
00:02:18.210,00:02:21.590,"act disrespectfully, but it is frowned upon.",0.0
00:02:21.590,00:02:25.459,"Punished not by the police, but by social ostracism,",-0.25
00:02:25.460,00:02:29.170,"public opprobrium. Being called rude,",-0.4588
00:02:29.170,00:02:32.180,"gross, mean, annoying.",-0.7003
00:02:32.180,00:02:36.010,Awkwardness is the finest tool. It sands,-0.1779
00:02:36.010,00:02:40.819,social dynamics by smoothing out what even etiquette doesn't rule on.,0.2732
00:02:40.819,00:02:45.690,It's not a violation of the laws of physics to accidentally hug someone,0.5152
00:02:45.690,00:02:49.090,for longer than they expected. It's not against the law,0.0
00:02:49.090,00:02:52.750,either. And the etiquette for how long a hug should last,0.4767
00:02:52.750,00:02:56.280,isn't black-and-white. But it is,0.0
00:02:56.280,00:03:01.780,"awkward. Like touching a hot stove or getting a parking fine or losing friends,",0.4939
00:03:01.780,00:03:05.870,awkwardness nudges us to avoid certain actions in the future,-0.2023
00:03:05.870,00:03:10.599,and smooth things out when they happen. People who demonstrate,0.0
00:03:10.599,00:03:12.569,self-consciousness when needed,0.0
00:03:12.569,00:03:15.980,"are communicating cooperative intentions,",0.0
00:03:15.980,00:03:20.530,"which helps them get along well with others. It's no coincidence that brains,",0.3612
00:03:20.530,00:03:24.780,"susceptible to feeling occasional awkwardness, would become so common.",0.024
00:03:24.780,00:03:27.950,"They're successful at cooperating,",0.5859
00:03:27.950,00:03:32.799,at social life. Feeling awkward shows that you understand,-0.0258
00:03:32.799,00:03:36.810,and are keen on smooth social exchanges.,0.3612
00:03:36.810,00:03:40.970,"Now, too much or too little concern for social rules",0.0
00:03:40.970,00:03:44.600,"isn't healthy, but researchers found that just the right",-0.1603
00:03:44.600,00:03:46.660,amount is great.,0.6249
00:03:46.660,00:03:49.930,When a person shows remorse or embarrassment or,-0.6124
00:03:49.930,00:03:53.070,"awkward discomfort, when appropriate,",-0.5267
00:03:53.070,00:03:57.460,"others perceive them as being more trustworthy, and their actions as",0.5984
00:03:57.460,00:04:00.670,more forgivable. And it's not just perception.,0.4576
00:04:00.670,00:04:05.460,Such individuals also tend to be more objectively prosocial when tested.,0.0
00:04:05.460,00:04:11.720,"Kinder, more generous. Even when a person is completely oblivious to a faux pas",0.7778
00:04:11.720,00:04:12.680,"they've committed,",0.2732
00:04:13.640,00:04:15.900,awkwardness still arises.,-0.1779
00:04:16.120,00:04:20.239,People around them can feel uncomfortable. It's called,-0.3818
00:04:20.239,00:04:23.520,vicarious embarrassment and it's a function,-0.4404
00:04:23.520,00:04:27.220,of empathy - the ability to feel what others feel,0.3182
00:04:27.220,00:04:30.350,"or will feel, when",0.0
00:04:30.350,00:04:34.340,or if they realize what they've just done.,0.0
