Start Time,End Time,Text,sentiment-score
00:00:00.060,00:00:03.379,"Hey, Vsauce. Michael here. What",0.0
00:00:03.379,00:00:07.140,"are monsters? Scary,",-0.4939
00:00:07.140,00:00:10.450,"unnatural things? Yes,",0.4019
00:00:10.450,00:00:14.360,but they're more than that and we knew that back when we named them.,0.0
00:00:14.360,00:00:17.430,The word monster comes from the same root word,0.0
00:00:17.430,00:00:21.400,"as demonstrate and demonstrative, monere,",0.0
00:00:21.400,00:00:25.740,"meaning to teach, to instruct, to warn.",-0.1027
00:00:25.740,00:00:29.980,"Monsters, like dinosaurs,  and the stories we tell about them,",0.3612
00:00:29.980,00:00:33.050,"have a lot to tell us about ourselves,",0.0
00:00:33.050,00:00:36.239,about the past and about the future.,0.0
00:00:36.239,00:00:40.219,"This Vsauce1 video is not an ordinary video,",0.0
00:00:40.219,00:00:43.579,it is a dinosaur-dnary,0.0
00:00:43.579,00:00:46.660,"video, built not just out of me talking,",0.0
00:00:46.660,00:00:50.739,but also world-famous palaeontologist  and technical adviser to,0.0
00:00:50.739,00:00:54.449,"every Jurassic Park film, Jack Horner, and",0.0
00:00:54.449,00:00:58.010,"the hilarious Chris Pratt. First things first,",0.4019
00:00:58.010,00:01:02.399,scientists have so far broken Earth's history down into 22,-0.5233
00:01:02.399,00:01:06.210,"periods. The Jurassic period has come and gone,",0.0
00:01:06.210,00:01:10.080,but the one we live in today is called the Quaternary.,0.0
00:01:10.460,00:01:14.300,Jurassic World is the movie that you're in. Yes. The thing that we're filming right now,0.4019
00:01:14.310,00:01:19.400,Quaternary World. Quaternary World. We are organisms from the Quaternary.,0.0
00:01:19.400,00:01:23.799,"Quaternary Park would be, well, basically like Universal Studios or something.",0.5574
00:01:23.799,00:01:27.080,"Exactly. Actually, literally any place on Earth right now.",0.0
00:01:28.060,00:01:30.760,"Dinosaurs,",0.0
00:01:30.760,00:01:33.490,"fossils. Yeah. Dinosaur, fossil.",0.296
00:01:33.490,00:01:36.810,"Fossil, fossil fuel. Wow. Is it safe to say that",0.7717
00:01:36.810,00:01:40.830,our cars run on the ghosts of dinosaurs?,0.0
00:01:41.780,00:01:44.580,"That question sounds mind-blowing,",0.0
00:01:44.580,00:01:48.270,but is it true? Are we really fuelling our cars,0.5719
00:01:48.270,00:01:53.180,"with dinosaur remains? Well, I asked paleontologist Jack Horner",0.2732
00:01:53.180,00:01:57.890,and his answer is worth beginning from the bottom or rather,0.2263
00:01:57.890,00:02:00.950,from things that come out of bottoms.,0.0
00:02:01.540,00:02:04.180,"You'll see what I mean. Okay, so this.",0.2263
00:02:04.180,00:02:10.429,"Let me guess what this. Okay. Yeah, it looks like coal almost. Well, they are, it's",0.7672
00:02:10.429,00:02:13.789,actually a coprolite. What's a coprolite?,0.0
00:02:14.140,00:02:17.740,Fossilised dung. Dung?,0.0
00:02:17.740,00:02:20.750,"Oh, so this is plant material that was eaten",0.0
00:02:20.750,00:02:24.060,Eaten. Turned into poop. Yes. And then preserved,0.4019
00:02:24.060,00:02:26.870,"so that I could hold it today. Yes, exactly.",0.4019
00:02:26.870,00:02:29.560,That's a dinosaur poop. This is dinosaur poop.,0.0
00:02:29.560,00:02:33.310,Yes. It smells like a rock. Sometimes when we break open,0.6369
00:02:33.310,00:02:36.460,somebody's things that are... that have a...,0.0
00:02:36.460,00:02:41.360,have a very high concentration plant material you actually can smell it.,0.0
00:02:41.860,00:02:44.240,Really? Uhm. What does it smell like?,0.4329
00:02:44.240,00:02:48.250,"Mmmh, rotting wood. After this long",0.0
00:02:48.250,00:02:51.510,"it still has an odour of rotting? It can, yes.",0.4019
00:02:51.510,00:02:55.320,"So, we can probably learn a lot. We can learn more",0.0
00:02:55.320,00:02:59.640,about the dinosaur from that right there than we can from the bone from its,0.0
00:02:59.640,00:03:02.739,"body. That is amazing. Because we can determine,",0.5859
00:03:02.739,00:03:05.870,we can determine exactly what it was,0.0
00:03:05.870,00:03:10.030,eating and and and we can,0.0
00:03:10.030,00:03:13.160,"look at how it's chopped up, so you can tell a lot about",0.0
00:03:13.160,00:03:16.820,"exactly how they process the food. So, from the",0.0
00:03:16.820,00:03:20.300,"scientific perspective of learning about dinosaurs, poop",0.0
00:03:20.300,00:03:22.160,is not crappy at all.,0.4449
00:03:24.340,00:03:25.020,Yes.,0.4019
00:03:25.030,00:03:29.030,"Thanks for laughing at that.  Now, at any point would that turn into",0.7269
00:03:29.030,00:03:32.690,"oil? No, oil does not come",0.0
00:03:32.690,00:03:36.110,from dinosaur poop. Does it come from dinosaurs at all?,0.0
00:03:36.110,00:03:40.209,It doesn't come from dinosaurs at all. They come from microorganisms and,0.0
00:03:40.209,00:03:44.060,oceans. If you took all of the dinosaurs that ever lived,0.0
00:03:44.060,00:03:48.690,"and... and, you know, squished them up",0.0
00:03:48.690,00:03:51.900,"in order to get the oil out of them,",0.0
00:03:51.900,00:03:55.300,"we'd probably go through that oil in, you know, couple of days.",0.0
00:03:55.300,00:03:59.319,"No kidding(!) I mean the microorganisms from the ocean,",-0.1501
00:03:59.319,00:04:03.489,from the oceans over these millions of years,0.0
00:04:03.489,00:04:07.330,"produced... I mean, the biomass is just incredible.",0.0
00:04:07.330,00:04:10.950,Compared to the dinosaurs. So there could be a tiny,0.0
00:04:10.950,00:04:15.099,molecule of oil in every thousand gallons or more,0.0
00:04:15.099,00:04:19.410,"that's from a dinosaur. No,  you really not even gonna...",0.0
00:04:19.410,00:04:23.970,"That's not even going to happen as well. Basically, all of the oil reserves we have",0.2732
00:04:24.350,00:04:25.590,are in,0.0
00:04:27.919,00:04:32.270,"in sedimentary rocks, produced in oceans.",0.0
00:04:32.270,00:04:36.530,"So we don't put dinosaur ghosts into our cars,",0.0
00:04:36.530,00:04:40.950,but don't feel lonely. There are actual living dinosaurs,0.395
00:04:40.950,00:04:44.610,with us today. There are dinosaurs still around today. Dinosaurs,0.0
00:04:44.610,00:04:46.370,never went extinct.,0.0
00:04:47.650,00:04:51.630,"What? Elaborate, alright, fine I will. So, dinosaurs...",0.4215
00:04:51.630,00:04:55.280,"Yeah, that's what I meant. Dinosaurs are not a species, that was called a clade.",0.296
00:04:55.280,00:04:58.940,They're from the clade dinosauria. And the clade is just some,0.0
00:04:58.940,00:05:02.940,organism and all of its descendants. Okay. Okay? Dinosaurs came in all different,0.4215
00:05:02.940,00:05:03.800,"types, right?",0.0
00:05:03.800,00:05:07.200,All of these things were called dinosauria,0.0
00:05:07.200,00:05:11.300,"and then a huge extinction event happened, 65 million years ago.",0.3182
00:05:11.300,00:05:14.500,Yup. Giant rock hit Earth and like,0.3612
00:05:14.500,00:05:17.789,"almost all of them, all the ones, died",-0.5574
00:05:17.789,00:05:19.259,except for,0.0
00:05:19.259,00:05:23.219,"a few. And you know what this one was,  this little branch? That's what clade means, by the",0.0
00:05:23.220,00:05:24.220,way - branch.,0.0
00:05:24.229,00:05:27.990,"Aardvark. Aardvark. No? Uhh,",0.0
00:05:27.990,00:05:31.760,I do. I know what it was. What? Halibut.,0.0
00:05:33.080,00:05:34.820,Just for the halibut I will say,0.0
00:05:34.830,00:05:38.219,"correct. That's a dumb joke, that's a joke that's been made a bunch.",0.0258
00:05:38.219,00:05:41.830,"I've never heard it before. Really? You just said ""halibut"" like",0.3612
00:05:41.830,00:05:45.779,"""hell of it."" Yeah. Yeah. Classic. Now figure this trout.",-0.296
00:05:46.280,00:05:46.900,Wow.,0.5859
00:05:48.080,00:05:48.580,Dude.,0.0
00:05:48.580,00:05:49.880,The answer is birds.,0.0
