Start Time,End Time,Text,sentiment-score
00:00:05.805,00:00:07.306,"- So welcome, everyone.",0.5095
00:00:07.339,00:00:10.076,"My name's Ron, and your task is to choose",0.0
00:00:10.109,00:00:11.277,the line on the right,0.0
00:00:11.310,00:00:13.246,that matches the line on the left.,0.0
00:00:13.279,00:00:15.281,"- All right, this seems like an easy enough task:",0.6597
00:00:15.314,00:00:17.216,which line on the right is the same length,0.0
00:00:17.249,00:00:18.651,as the one on the left?,0.0
00:00:18.684,00:00:21.454,<i> The answer is clearly three.</i>,0.4019
00:00:21.487,00:00:23.289,[bell dings],0.0
00:00:23.322,00:00:26.592,- One.,0.0
00:00:26.625,00:00:29.662,- One. - One.,0.0
00:00:29.695,00:00:32.365,- Why is everyone saying one?,0.0
00:00:32.398,00:00:34.167,Are their eyes not working?,0.0
00:00:34.200,00:00:37.537,Have we just discovered some new type of illusion?,0.0
00:00:37.570,00:00:40.273,"No, the answer is,",0.0
00:00:40.306,00:00:42.409,we paid them to lie.,0.0
00:00:45.111,00:00:48.081,<i> [electronic music]</i>,0.0
00:00:48.114,00:00:55.055,<i> ♪ ♪</i>,0.0
00:00:58.190,00:01:00.159,"Today, we are going to be demonstrating",0.0
00:01:00.192,00:01:02.695,a very famous psychological experiment,0.0
00:01:02.728,00:01:04.764,"known as the ""Asch experiment.""",0.0
00:01:04.797,00:01:07.100,This experiment tests conformity,0.0
00:01:07.133,00:01:08.234,and whether or not a person,0.0
00:01:08.267,00:01:10.203,will say something incorrect,0.0
00:01:10.236,00:01:12.271,simply because everyone else is.,0.0
00:01:12.304,00:01:13.539,What matters more?,0.0258
00:01:13.572,00:01:15.575,Being right or fitting in?,0.0
00:01:15.608,00:01:18.578,<i> [calm music]</i>,0.3182
00:01:18.611,00:01:20.213,<i> ♪ ♪</i>,0.0
00:01:20.246,00:01:22.548,<i> We have five  professional actors</i>,0.0
00:01:22.581,00:01:23.883,<i> that have been instructed</i>,0.0
00:01:23.916,00:01:25.418,to do as we say.,0.0
00:01:25.451,00:01:26.786,"Often, they will be lying",-0.5267
00:01:26.819,00:01:29.155,about what they think the answer is.,0.0
00:01:29.188,00:01:31.257,"But in position number five,",0.1154
00:01:31.290,00:01:33.392,a real participant who has no idea,-0.296
00:01:33.425,00:01:36.362,<i> what's going on  will be seated.</i>,0.0
00:01:36.395,00:01:39.599,"Now, their task is to match the length of the line",0.0
00:01:39.632,00:01:42.802,on the left with one of the lines on the right.,0.0
00:01:42.835,00:01:45.371,But what if everyone else in the room,0.0
00:01:45.404,00:01:46.739,gave the wrong answer?,-0.4767
00:01:46.772,00:01:48.875,Would you be bold enough to stick out,0.3818
00:01:48.908,00:01:50.243,"and say what you saw,",0.0
00:01:50.276,00:01:52.145,or would you just fit in,0.3612
00:01:52.178,00:01:55.281,because it's easier or less uncomfortable?,0.1263
00:01:55.314,00:01:56.449,"Well, let's find out.",0.2732
00:01:59.385,00:02:01.287,"- So welcome, everyone. My name's Ron.",0.5095
00:02:01.320,00:02:03.823,Your task is to choose the line on the right,0.0
00:02:03.856,00:02:05.758,that matches the line on the left.,0.0
00:02:05.791,00:02:08.227,"I'll just call on you individually,",0.0
00:02:08.260,00:02:09.762,"you know, in order, one through six.",0.0
00:02:09.795,00:02:11.397,- The calm before the storm.,0.3182
00:02:11.430,00:02:12.431,"- Okay, so let's begin.",0.2263
00:02:12.464,00:02:13.933,"<i> - The first few times,</i>",0.0
00:02:13.966,00:02:15.234,<i> we're gonna have the actors</i>,0.0
00:02:15.267,00:02:16.536,<i> say the correct answer</i>,0.0
00:02:16.569,00:02:17.837,<i> to gain the trust  of our subject.</i>,0.7717
00:02:17.870,00:02:20.773,<i> The correct answer here  is three.</i>,0.0
00:02:20.806,00:02:21.774,- Three.,0.0
00:02:21.807,00:02:22.875,- Three.,0.0
00:02:22.908,00:02:24.844,- Number three. - Number three.,0.1531
00:02:24.877,00:02:27.613,- Three.,0.0
00:02:27.646,00:02:29.515,- One. - One.,0.0
00:02:29.548,00:02:31.884,- Number one. - Number one.,0.1531
00:02:31.917,00:02:33.419,- Number one.,0.0772
00:02:33.452,00:02:35.521,- Now they're all gonna start lying.,-0.5267
00:02:35.554,00:02:37.657,<i> The correct answer is three.</i>,0.0
00:02:37.690,00:02:39.325,<i> Let's see what  our subject does.</i>,0.0
00:02:39.358,00:02:41.627,- One.,0.0
00:02:41.660,00:02:43.329,- One.,0.0
00:02:43.362,00:02:46.866,"<i> - Pretty quickly, she appears  to be confused.</i>",0.4939
00:02:46.899,00:02:48.234,- One.,0.0
00:02:50.469,00:02:53.339,"- Um, okay, number one.",0.296
00:02:55.007,00:02:57.243,- Number one.,0.0772
00:02:57.276,00:02:58.411,- Three...,0.0
00:03:00.446,00:03:01.547,- One.,0.0
00:03:01.580,00:03:04.617,<i> [tense music]</i>,-0.34
00:03:04.650,00:03:06.485,<i> ♪ ♪</i>,0.0
00:03:06.518,00:03:09.288,<i>- You can see participant five</i>,0.0
00:03:09.321,00:03:11.424,"closing one eye, then the other,",0.0
00:03:11.457,00:03:13.492,trying to figure out why everyone's wrong.,-0.4767
00:03:13.525,00:03:16.429,But she's not going along with them.,0.0
00:03:16.462,00:03:18.764,"<i> Again, the correct answer  is three.</i>",0.0
00:03:18.797,00:03:20.600,[bell dings]<i> Let's see what  our subject does.</i>,0.0
00:03:20.633,00:03:21.768,- Number one.,0.0772
00:03:23.802,00:03:26.305,- Number one.,0.0772
00:03:26.338,00:03:28.641,"- Yeah, number one.",0.3612
00:03:28.674,00:03:30.610,- Number one.,0.0772
00:03:30.643,00:03:31.777,- Three?,0.0
00:03:31.810,00:03:33.446,"<i> - She's sticking to her guns,</i>",0.0
00:03:33.479,00:03:34.847,<i> but she appears  to be uncomfortable</i>,0.0
00:03:34.880,00:03:36.482,<i> opposing the group.</i>,0.0
00:03:36.515,00:03:39.519,"<i> This time,  the correct answer is two.</i>",0.0
00:03:40.986,00:03:42.322,- Three.,0.0
00:03:44.790,00:03:47.293,- Three.,0.0
00:03:47.326,00:03:48.461,- Number three.,0.0772
00:03:49.728,00:03:50.863,- Number three.,0.0772
00:03:53.399,00:03:54.734,- Number three.,0.0772
00:03:54.767,00:03:56.602,- Wow.,0.5859
00:03:56.635,00:03:57.770,- Three.,0.0
00:03:59.371,00:04:00.640,<i> - She's falling in line.</i>,-0.1531
00:04:00.673,00:04:01.907,<i> Will she do it again?</i>,0.0
00:04:01.940,00:04:05.044,<i> The correct answer is three.</i>,0.0
00:04:05.077,00:04:07.013,- One. - One.,0.0
00:04:07.046,00:04:09.349,- Number one. - Number one.,0.1531
00:04:12.685,00:04:14.420,- Number one.,0.0772
00:04:14.453,00:04:15.588,- Conformed.,0.0
00:04:18.791,00:04:20.326,<i> Conformity.</i>,0.0
00:04:20.359,00:04:22.061,<i> The desire to fit in.</i>,0.6369
00:04:22.094,00:04:23.963,<i> Peer pressure.</i>,0.0
00:04:23.996,00:04:26.432,<i> These are powerful  social forces</i>,0.4215
00:04:26.465,00:04:29.035,<i> that shape our actions  and beliefs</i>,0.0
00:04:29.068,00:04:30.770,<i> and influence how we behave</i>,0.0
00:04:30.803,00:04:31.937,<i> as individuals</i>,0.0
00:04:31.970,00:04:34.607,<i> and as a society.</i>,0.0
00:04:34.640,00:04:36.742,<i> In the original  Asch experiments</i>,0.3182
00:04:36.775,00:04:40.646,"<i> first carried out by  Solomon Asch in 1951,</i>",0.0
00:04:40.679,00:04:43.616,<i> approximately 75% of subjects</i>,0.0
00:04:43.649,00:04:45.518,<i> conformed at least once.</i>,0.0
00:04:45.551,00:04:47.086,- One.,0.0
00:04:47.119,00:04:48.721,"- Hi, Ron.",0.0
00:04:48.754,00:04:50.823,"Sorry to butt in, guys. My name is Michael.",-0.0772
00:04:50.856,00:04:52.458,I just wanted to kind of ask you a few questions,0.0
00:04:52.491,00:04:54.560,about the study you've been doing.,0.0
00:04:54.593,00:04:57.396,This is a study on conformity.,0.0
00:04:57.429,00:05:00.066,And everyone in this room is an actor--,0.0
00:05:00.099,00:05:01.834,"except for you, number five.",0.0772
00:05:01.867,00:05:03.569,"- Oh, my God!",0.3382
00:05:03.602,00:05:05.471,"Oh, my God!",0.3382
00:05:05.504,00:05:06.706,This is so crazy.,-0.4795
00:05:06.739,00:05:08.107,- And they've all been instructed,0.0
00:05:08.140,00:05:09.742,to give the wrong answers,-0.4767
00:05:09.775,00:05:11.711,to see if you'll follow along.,0.0
00:05:11.744,00:05:13.512,- Whoa. - You did say the wrong answer,-0.4767
00:05:13.545,00:05:15.514,after everyone else had said the wrong answer.,-0.4767
00:05:15.547,00:05:16.949,Why did you do it?,0.0
00:05:16.982,00:05:18.617,"- I thought, ""There's something going on here.",0.0
00:05:18.650,00:05:19.985,"""I don't know what to do,",0.0
00:05:20.018,00:05:21.053,"so I'm just gonna say what they said.""",0.0
00:05:21.086,00:05:22.588,- How did it feel to do that?,0.0
00:05:22.621,00:05:24.090,- It--it felt--,0.0
00:05:24.123,00:05:25.791,"it felt like I was drinking the Kool-Aid, like--",0.6124
00:05:25.824,00:05:27.693,[laughter] - It's very normal.,0.4939
00:05:27.726,00:05:29.362,This study wouldn't be as famous as it was,0.0
00:05:29.395,00:05:31.397,"if it wasn't normal, though it is surprising,",0.2732
00:05:31.430,00:05:32.765,"because so many of us would say,",0.0
00:05:32.798,00:05:35.601,"""No, I would always say what's real.""",0.0
00:05:35.634,00:05:36.769,- Right. Right.,0.0
00:05:36.802,00:05:38.971,- Would you?,0.0
00:05:39.004,00:05:40.072,"- Right, no.",0.0
00:05:40.105,00:05:41.841,"Clearly not all the time, yeah.",0.5994
00:05:41.874,00:05:42.842,"- All right, thank you very much.",0.3612
00:05:42.875,00:05:45.845,<i> [upbeat synth music]</i>,0.0
00:05:45.878,00:05:52.852,<i> ♪ ♪</i>,0.0
00:05:52.885,00:05:56.088,"People follow the crowd in all kinds of interesting ways,",0.4019
00:05:56.121,00:05:58.524,many of which are pretty funny.,0.7269
00:05:58.557,00:06:00.726,Classical psychological experiments,0.0
00:06:00.759,00:06:02.128,and hidden camera pranks,0.0
00:06:02.161,00:06:05.598,often involve people acting together in strange ways,-0.2023
00:06:05.631,00:06:08.000,to see if others will conform.,0.0
00:06:08.033,00:06:10.403,"<i> Now, there's nothing  inherently irrational</i>",0.0
00:06:10.436,00:06:13.005,<i> about following the crowd  in ways like those.</i>,0.3612
00:06:13.038,00:06:16.409,<i> Conforming can be a form  of social lubrication.</i>,0.0
00:06:16.442,00:06:18.944,"It's just easier to do what someone else is doing,",0.4215
00:06:18.977,00:06:20.746,because to break from that norm,0.0
00:06:20.779,00:06:22.615,would be to slow things down.,0.0
00:06:22.648,00:06:25.851,"<i> If everyone's facing  the same way in an elevator,</i>",0.0
00:06:25.884,00:06:28.821,<i> it's not like you lose your  personal sense of identity</i>,0.0382
00:06:28.854,00:06:30.589,<i> by turning along with them.</i>,0.0
00:06:30.622,00:06:32.925,"<i> Instead, you're just  going with the flow</i>",0.0
00:06:32.958,00:06:35.494,<i> and not being awkward.</i>,0.0
00:06:35.527,00:06:38.030,"<i> If I see a bunch of people  on the street looking up,</i>",0.0
00:06:38.063,00:06:39.832,"<i> and I decide to look up too,</i>",0.0
