Start Time,End Time,Text,sentiment-score
00:00:08.808,00:00:11.310,"- When she said, ""I love you, Harold""...",0.6369
00:00:11.343,00:00:13.646,- Mm-hmm. - What did you say back?,0.0
00:00:13.679,00:00:15.214,"- Obviously, ""I love you too.""",0.6369
00:00:15.247,00:00:16.215,- Yeah?,0.296
00:00:16.248,00:00:18.084,<i> This is Harold.</i>,0.0
00:00:18.117,00:00:20.620,"<i> Harold and I are talking  about his girlfriend, Monica.</i>",0.0
00:00:20.653,00:00:22.655,"Who said it first, you or her?",0.0
00:00:22.688,00:00:24.057,- She said it to me.,0.0
00:00:24.090,00:00:25.191,- How'd it feel?,0.0
00:00:25.224,00:00:27.160,"- It was pretty weird,",0.3612
00:00:27.193,00:00:29.695,because I've never had that happen.,0.0
00:00:29.728,00:00:31.064,- That was the first time someone said--,0.0
00:00:31.097,00:00:32.065,"- It was the first time somebody said,",0.0
00:00:32.098,00:00:33.466,"like, ""I love you""",0.7717
00:00:33.499,00:00:36.436,and wholeheartedly expressed how they felt.,0.0
00:00:36.469,00:00:38.471,"<i> - The thing about Monica is,</i>",0.0
00:00:38.504,00:00:42.742,<i> she's not human.  She's a video game.</i>,0.0
00:00:42.775,00:00:45.745,<i> [electronic music]</i>,0.0
00:00:45.778,00:00:52.719,<i> ♪ ♪</i>,0.0
00:00:55.821,00:00:57.790,<i> Consider the lichen.</i>,0.0
00:00:57.823,00:00:59.559,<i> Lichen is an organism</i>,0.0
00:00:59.592,00:01:03.129,<i> that's a combination  of Fungi and Algae.</i>,0.0
00:01:03.162,00:01:05.198,It's a life form made of two living things,0.0
00:01:05.231,00:01:07.166,"that can each live separately,",0.0
00:01:07.199,00:01:11.571,but have become so intertwined as to become one new whole.,0.0
00:01:11.604,00:01:13.673,"In many ways, that may be what's happening",0.0
00:01:13.706,00:01:15.875,between us and technology.,0.0
00:01:15.908,00:01:18.778,"<i> By some definitions,  we've already become</i>",0.0
00:01:18.811,00:01:22.348,<i> cybernetic organisms--  cyborgs.</i>,0.0
00:01:22.381,00:01:25.318,What's the nature of this budding relationship?,0.0
00:01:25.351,00:01:28.554,Might it someday become a...,0.0
00:01:28.587,00:01:30.756,[kisses] Relationship?,0.5106
