Start Time,End Time,Text,sentiment-score
00:00:05.805,00:00:09.342,"- If I asked you to show me a picture of your mother,",0.0
00:00:09.375,00:00:13.246,"you wouldn't show me a, uh, closeup shot of her elbow.",0.0
00:00:13.279,00:00:15.581,"<i> But you could,  and you'd be right.</i>",0.0
00:00:15.614,00:00:17.717,"<i> That would be a photo of her,</i>",0.0
00:00:17.750,00:00:21.387,<i> but it wouldn't feel right  because it's not her face.</i>,0.0
00:00:21.420,00:00:24.257,<i> That's how important faces are  to us.</i>,0.2023
00:00:24.290,00:00:27.226,<i> We're going to see if forcing  a facial expression</i>,0.0
00:00:27.259,00:00:28.728,<i> can change the way we feel.</i>,0.0
00:00:28.761,00:00:31.798,- Are you comfortable handling dog feces?,0.5106
00:00:31.831,00:00:33.299,Okay.,0.2263
00:00:33.332,00:00:34.634,<i>- And if you remove the ability</i>,0.0
00:00:34.667,00:00:36.436,"<i> to make facial expressions,</i>",0.0
00:00:36.469,00:00:39.238,<i> will it affect how you  perceive emotions in others?</i>,0.0
00:00:39.271,00:00:40.273,- What? - No.,0.0
00:00:40.306,00:00:42.141,- How could that--that--no.,0.0
00:00:42.174,00:00:43.543,- I don't think so.,0.0
00:00:43.576,00:00:48.214,- And what are we saying by raising an eyebrow?,0.0
00:00:48.247,00:00:50.483,Do you know?,0.0
00:00:50.516,00:00:53.486,<i> [electronic music]</i>,0.0
00:00:53.519,00:01:00.460,<i> ♪ ♪</i>,0.0
00:01:03.362,00:01:07.600,Why does doing this make me look angry?,-0.5106
00:01:07.633,00:01:11.104,And why does doing this make me look so happy?,0.6948
00:01:11.137,00:01:12.872,Where does all this stuff come from?,0.0
00:01:12.905,00:01:15.842,"When it comes to interpersonal communication,",0.0
00:01:15.875,00:01:18.778,"it's easy to think that speech dominates,",0.4767
00:01:18.811,00:01:22.348,"but yet, we have hairless faces.",0.0
00:01:22.381,00:01:23.850,<i> That's very unique  among mammals</i>,0.0
00:01:23.883,00:01:26.452,<i> that are easy  to see expressions on.</i>,0.4404
00:01:26.485,00:01:29.189,<i> Facial expressions are   shared across humanity.</i>,0.34
00:01:29.688,00:01:34.527,<i> A smile is a smile  in any language.</i>,0.6124
00:01:34.560,00:01:39.265,Our faces seem uniquely adapted for communication.,0.0
00:01:39.298,00:01:42.201,"<i> Before we developed language,  facial expressions</i>",0.0
00:01:42.234,00:01:44.871,<i> may have been just as vital  in communication</i>,0.296
00:01:44.904,00:01:46.706,<i> as shouts and grunts.</i>,0.0
00:01:46.739,00:01:49.509,"<i> And we, of course,  still use them today.</i>",0.0
00:01:49.542,00:01:51.444,"But when it comes to facial expressions,",0.0
00:01:51.477,00:01:54.280,it's not just about seeing other people's expressions,0.0
00:01:54.313,00:01:56.315,and having them see yours.,0.0
00:01:56.348,00:01:59.519,It's also about seeing your own.,0.0
00:01:59.552,00:02:02.255,<i> And the fact that our eyes  are deep-set</i>,0.0
00:02:02.288,00:02:05.324,<i> allows us to see our own  facial expressions</i>,0.0
00:02:05.357,00:02:06.893,as we're making them.,0.0
00:02:06.926,00:02:09.228,"If you smile, you can see",0.3612
00:02:09.261,00:02:11.631,your own cheeks rise slightly.,0.0
00:02:11.664,00:02:13.633,"And if you furrow your brow,",0.0
00:02:13.666,00:02:16.302,it encroaches on the top of your vision.,0.4215
00:02:16.335,00:02:18.571,These things give you instant feedback,0.0
00:02:18.604,00:02:21.407,on the degree to which you are altering your face,0.0
00:02:21.440,00:02:24.243,and tell you instantly what sort of expression,0.0
00:02:24.276,00:02:25.811,you are putting out into the world.,0.0
00:02:25.844,00:02:28.814,No mirror required.,-0.296
