Start Time,End Time,Text,sentiment-score
00:00:09.742,00:00:13.780,Moral psychology isn't always an easy thing to study.,-0.3412
00:00:13.813,00:00:16.282,"First of all, just using a survey",0.0
00:00:16.315,00:00:18.751,to ask people what they think is moral,0.0
00:00:18.784,00:00:22.722,doesn't always reveal what they would do in real life.,0.0
00:00:22.755,00:00:25.324,An experiment that actually puts people,0.0
00:00:25.357,00:00:27.326,in what feels like a real scenario,0.3612
00:00:27.359,00:00:29.429,"may get more realistic results,",0.0
00:00:29.462,00:00:31.764,but researchers must always balance the benefits,0.5267
00:00:31.797,00:00:32.965,of what we could learn,0.0
00:00:32.998,00:00:38.371,with the safety and well-being of the people they study.,0.4215
00:00:38.404,00:00:41.774,"Secondly, what we learn from moral psychology experiments",0.0
00:00:41.807,00:00:44.477,doesn't always make humans look good.,0.4404
00:00:44.510,00:00:48.514,"For example, today we're going to look at moral licensing:",0.0
00:00:48.547,00:00:51.418,the theory that when you do something good...,0.4404
00:00:52.885,00:00:56.389,you subconsciously feel you've earned a license,0.0
00:00:56.422,00:00:58.758,to then do something bad.,-0.5423
00:01:21.313,00:01:23.483,"<i> I've been working  with Dr. Kyle Stanford,</i>",0.0
00:01:23.516,00:01:25.518,<i> from the Department of Logic  and Philosophy of Science</i>,0.0
00:01:25.551,00:01:27.386,"<i> at the University  of California, Irvine,</i>",0.0
00:01:27.419,00:01:31.290,<i> on a way to observe  moral licensing in the wild.</i>,0.0
00:01:31.323,00:01:34.527,So I want to see moral licensing in effect.,0.1477
00:01:34.560,00:01:37.597,"I want to see people who have been led to believe,",0.0772
00:01:37.630,00:01:40.733,"through their own actions, that they're good.",0.4404
00:01:40.766,00:01:43.436,Use that feeling,0.128
00:01:43.469,00:01:44.804,to do bad.,-0.5423
00:01:44.837,00:01:46.672,"The thing to keep in mind,",0.0
00:01:46.705,00:01:48.341,"it's like people are keeping tabs,",0.3612
00:01:48.374,00:01:50.209,and they give themselves credit for the moral...,0.3818
00:01:50.242,00:01:51.777,the good thing they did.,0.4404
00:01:51.810,00:01:54.280,"But none of that is happening consciously, right?",0.0
00:01:54.313,00:01:56.482,So we shouldn't imagine that a person who's engaged,0.4019
00:01:56.515,00:01:59.585,in moral licensing is asking themselves in their head...,0.0
00:01:59.618,00:02:00.686,"Right, pulling out their scorecard.",0.0
00:02:00.719,00:02:02.755,...what should I be? Does it make me a good person?,0.504
00:02:02.788,00:02:04.390,"But it is going on, and they don't experience it.",0.0
00:02:04.423,00:02:06.559,-They don't know that it's happening.  -Right.,0.0
00:02:06.592,00:02:08.661,I think we're going to learn a lot today.,0.0
00:02:08.694,00:02:10.663,-I say we go get started.  -Let's do it.,0.0
00:02:10.696,00:02:11.798,Let's do it.,0.0
00:02:16.835,00:02:18.638,[Michael]<i> So here's how  the moral licensing test</i>,0.0
00:02:18.671,00:02:20.506,<i> we designed is going to work.</i>,0.0
00:02:20.539,00:02:22.808,"<i> First, we're going to take  this beautiful park</i>",0.6833
00:02:22.841,00:02:24.911,"<i> and, for the purposes  of science,</i>",0.0
00:02:24.944,00:02:26.779,<i> throw trash everywhere.</i>,0.0
00:02:26.812,00:02:29.782,"<i> Next, we've hired  some unsuspecting actors</i>",0.0
00:02:29.815,00:02:32.318,<i> who think they're going to film  a public service announcement</i>,0.0
00:02:32.351,00:02:33.553,<i> about the park.</i>,0.0
00:02:33.586,00:02:34.720,"-Hey, Jake. Hey, man. -Hi.",0.0
00:02:34.753,00:02:36.622,-Nice to meet you. -Nice to meet you.,0.6808
00:02:36.655,00:02:37.856,"<i> Once they've arrived,</i>",0.0
00:02:37.890,00:02:41.360,<i> it will be obvious  that the trash is a problem.</i>,0.0
00:02:41.393,00:02:44.463,We just need to clean up this little alleyway right here.,0.4019
00:02:44.496,00:02:47.700,<i> Will they do a good deed  and earn some moral credit</i>,0.4404
00:02:47.733,00:02:50.536,"<i> by volunteering to help  pick up the trash, or not?</i>",0.4019
00:02:50.569,00:02:52.805,"<i> And to make everything  feel more real,</i>",0.0
00:02:52.838,00:02:55.575,<i> we did have them film  our fake PSA.</i>,-0.4767
00:02:55.608,00:02:57.510,Forget the concrete and the heat.,-0.2263
00:02:57.543,00:03:00.780,"Relax in over 16,000 square feet.",0.4404
00:03:00.813,00:03:02.949,Of outdoor space that can't be beat.,0.0
00:03:02.982,00:03:04.684,Right outside your door.,0.0
00:03:04.717,00:03:06.219,Right outside your door.,0.0
00:03:06.252,00:03:07.987,Right outside your door.,0.0
00:03:08.020,00:03:09.355,"<i> After shooting the PSA,</i>",0.0
00:03:09.388,00:03:12.458,<i> each participant will be asked  to wait in a separate area</i>,0.0
00:03:12.491,00:03:13.893,<i> for some final paperwork.</i>,0.0
00:03:13.926,00:03:16.963,"<i> There, our confederate Cameron,  who appears to be homeless,</i>",0.0
00:03:16.996,00:03:18.197,<i> will ask them for money.</i>,0.0
00:03:18.231,00:03:20.833,"<i> Meanwhile, Dr. Stanford and I  will be watching</i>",0.0
00:03:20.866,00:03:24.237,<i> behind the scenes to observe  how our subjects react.</i>,0.0
00:03:24.270,00:03:25.771,"<i> So, will our participants</i>",0.0
00:03:25.804,00:03:28.374,<i> keep their subconscious  moral scorecards balanced</i>,0.0
00:03:28.407,00:03:31.444,"<i> by giving money  when they didn't clean,</i>",0.34
00:03:31.477,00:03:35.315,<i> or feeling like they don't need  to give money if they did?</i>,0.4588
00:03:42.655,00:03:43.856,-Hey! -Makaylo.,0.0
