Start Time,End Time,Text,sentiment-score
00:00:09.141,00:00:12.379,"Someday, I will die.",-0.5994
00:00:13.546,00:00:15.214,But should I?,0.0
00:00:15.247,00:00:16.616,"If I was offered a longer life,",0.0
00:00:16.649,00:00:18.785,I would take that in a second.,0.0
00:00:18.818,00:00:21.687,But how long is too long?,0.0
00:00:21.720,00:00:26.092,"Is death something I should deny forever,",-0.743
00:00:26.125,00:00:30.263,or is death and the role it plays in the universe,-0.4404
00:00:30.296,00:00:33.199,something I am better off accepting?,0.6705
00:00:56.322,00:00:58.257,I want to start by looking at a particular way,0.0772
00:00:58.290,00:01:01.428,death affects how we live and treat one another.,-0.296
00:01:03.496,00:01:05.398,Terror Management Theory,-0.5267
00:01:05.431,00:01:07.700,proposes that people like you and me,0.3612
00:01:07.733,00:01:11.504,manage the terror of death's inevitability,-0.5267
00:01:11.537,00:01:13.773,by embracing cultural values.,0.4019
00:01:13.806,00:01:17.777,"That the more aware a person is of their own mortality,",0.0
00:01:17.810,00:01:19.445,the more vehemently they will enforce,0.0
00:01:19.478,00:01:22.615,their particular views of the world onto others.,0.0
00:01:22.648,00:01:25.418,"<i>Created by social psychologists  Sheldon Solomon,</i>",0.0
00:01:25.451,00:01:27.720,"<i> Jeff Greenberg  and Tom Pyszczynski,</i>",0.0
00:01:27.753,00:01:30.723,"<i> Terror Management Theory,  or TMT,</i>",-0.5267
00:01:30.756,00:01:34.360,"<i> suggests that, often,  we are afraid of change</i>",0.0
00:01:34.393,00:01:36.696,<i> because we're afraid  of death.</i>,0.0
00:01:36.729,00:01:38.331,"<i> Each one of us  has a worldview,</i>",0.0
00:01:38.364,00:01:39.866,"<i> a set of beliefs,  customs and norms</i>",0.0
00:01:39.899,00:01:42.635,<i> we identify with  that can live on</i>,0.0
00:01:42.668,00:01:44.770,<i>after our physical bodies die.</i>,0.0
00:01:44.803,00:01:48.207,<i> TMT suggest that rises  in nationalism and prejudice</i>,0.0
00:01:48.240,00:01:52.545,<i> are correlated with rises  in the salience of mortality.</i>,0.0
00:01:52.578,00:01:54.614,"<i> That is, how present  the inevitability of death is</i>",-0.5994
00:01:54.647,00:01:56.215,<i> in people's minds.</i>,0.0
00:01:56.248,00:01:58.751,"<i>Now this role that death plays  fascinates me,</i>",0.0258
00:01:58.784,00:02:01.687,"<i> and two of TMT's originators,  Jeff and Sheldon,</i>",0.0
00:02:01.720,00:02:03.422,<i> have agreed to work with me  on a pilot study</i>,0.2732
00:02:03.455,00:02:05.558,<i> of Terror Management Theory</i>,-0.5267
00:02:05.591,00:02:08.595,<i> and real-life reminders  of death.</i>,0.0
00:02:10.296,00:02:12.932,What's your hypothesis today?,0.0
00:02:12.965,00:02:16.802,"Well, I think we're going to hope for the participants",0.6124
00:02:16.835,00:02:19.172,who are reminded of their mortality,0.0
00:02:19.205,00:02:22.842,to be more punitive in their assessments.,-0.5563
00:02:22.875,00:02:24.477,See what happens.,0.0
00:02:25.544,00:02:26.812,"<i> For our study,</i>",0.0
00:02:26.845,00:02:29.348,"<i> we created a fake research  center,</i>",-0.2732
00:02:29.381,00:02:30.750,"<i> staffed by actors,</i>",0.0
00:02:30.783,00:02:32.618,<i> and invited participants  to be a part</i>,0.0
00:02:32.651,00:02:34.420,<i> of what they were told  was a focus group</i>,0.0
00:02:34.453,00:02:36.556,<i> about the criminal justice  system.</i>,0.0
00:02:36.589,00:02:39.525,"<i> During the actual study,  each group will hear a list</i>",0.0
00:02:39.558,00:02:41.661,"<i> of several different crimes  that have been committed,</i>",0.0
00:02:41.694,00:02:44.730,<i> and will then be asked  to propose a punishment</i>,0.0
00:02:44.763,00:02:46.632,<i> for each offender  with a severity level</i>,-0.3612
00:02:46.665,00:02:50.436,"<i> ranging from 1 to 7,  with 1 being the most lenient</i>",0.0
00:02:50.469,00:02:52.572,<i> and 7 being  the most severe.</i>,0.0
00:02:52.605,00:02:55.441,<i> The control group will simply  enter the survey room</i>,0.0
00:02:55.474,00:02:57.843,<i> and be asked  to answer the questions.</i>,0.0
00:02:57.876,00:02:59.412,"<i> The experimental group,  however,</i>",0.0
00:02:59.445,00:03:00.813,<i> will first be exposed</i>,0.0
00:03:00.846,00:03:03.316,<i> to reminders of their own  mortality</i>,0.0
00:03:03.349,00:03:06.886,<i> with strategically placed  posters in the lobby.</i>,0.0
00:03:06.919,00:03:08.487,"<i> Also, the questionnaires  they fill out</i>",0.0
00:03:08.520,00:03:11.490,<i> will include questions  about their own death.</i>,0.0
00:03:11.523,00:03:14.427,<i> Decades of TMT research have shown that when presented</i>,0.0
00:03:14.460,00:03:16.395,"<i> with violations  of common worldviews,</i>",-0.5267
00:03:16.428,00:03:19.365,<i> those who are more aware  of their own deaths</i>,0.0
00:03:19.398,00:03:20.633,<i> will recommend bigger  punishments</i>,0.3612
00:03:20.666,00:03:22.802,<i> for the crimes presented.</i>,0.0
00:03:22.835,00:03:25.271,"<i> But will our real life  reminders of death,</i>",0.0
00:03:25.304,00:03:26.772,"<i> not just the survey questions  usually used,</i>",0.0
00:03:26.805,00:03:28.674,<i> make a difference?</i>,0.0
00:03:28.707,00:03:32.411,"<i> Well, first, let's look  at the control participants.</i>",0.2732
00:03:32.444,00:03:34.847,"[woman] Well, thank you so much for being here.",0.5574
00:03:34.880,00:03:36.349,"Now, I cannot emphasize this enough.",0.0
00:03:36.382,00:03:38.484,There are no right or wrong answers.,0.091
00:03:38.517,00:03:41.454,This is just about your gut-level reactions.,0.0
00:03:41.487,00:03:44.457,"All right, let's begin.",0.0
00:03:44.490,00:03:46.993,After raising millions of dollars in grant money,0.3612
00:03:47.026,00:03:49.428,"to fund education for needy children,",-0.34
00:03:49.461,00:03:51.764,a fundraising manager unhappy with this life,-0.4215
00:03:51.797,00:03:53.332,fled with all the money,0.0
00:03:53.365,00:03:55.768,"and was arrested months later in Tasmania,",-0.4767
00:03:55.801,00:03:57.937,where he was living under a different name.,0.0
00:03:57.970,00:04:01.440,"So, 1, least punishment: three months in prison;",-0.171
00:04:01.473,00:04:04.610,7 is most severe: ten years in prison.,-0.7346
00:04:04.643,00:04:06.012,Please answer now.,0.3182
00:04:09.882,00:04:15.788,This is one that I think does have worldviews on both sides.,0.0
00:04:17.556,00:04:19.358,[Michael] <i> That is a lot of 7s.</i>,0.0
00:04:19.391,00:04:22.328,"<i> If our control group is  already maxing out like that,</i>",0.3612
00:04:22.361,00:04:24.597,"<i> well, then our scale  has no room in that direction</i>",-0.0258
00:04:24.630,00:04:27.033,<i> to show any effect  of mortality salience.</i>,0.0
00:04:27.066,00:04:30.336,"<i> Discovering issues like this, learning how to better isolate</i>",0.6597
00:04:30.369,00:04:32.071,"<i> mortality salience's effect,</i>",0.0
00:04:32.104,00:04:34.373,<i> is exactly what a pilot test  is for.</i>,0.0
00:04:34.406,00:04:37.743,"Hey, personal differences, huh?",0.0
00:04:37.776,00:04:40.313,[woman] An imposter with no medical training,-0.296
00:04:40.346,00:04:42.648,posed as a surgeon and bungled a minor operation,0.0
00:04:42.681,00:04:44.450,to remove a child's tonsils.,0.0
00:04:44.483,00:04:47.520,The patient recovered fully after additional treatment.,0.0
00:04:47.553,00:04:51.390,"1 is six months on probation, 7 is ten years in prison.",-0.5106
00:04:51.423,00:04:53.326,[Sheldon] Okay.,0.2263
00:04:53.359,00:04:56.696,"If you are taking on the persona of a doctor,",0.0
00:04:56.729,00:04:58.798,we would expect good behavior.,0.4404
00:05:02.968,00:05:04.704,[woman] The surgeon botched the operation,0.0
00:05:04.737,00:05:06.839,"and was found to be under the influence of narcotics,",0.0
00:05:06.872,00:05:08.874,causing her to have permanent hoarseness,0.0
00:05:08.907,00:05:10.443,and ruining her career.,-0.25
00:05:14.713,00:05:16.716,A 16-year-old girl who had just received her license,0.0
00:05:16.749,00:05:18.084,"drove through a red light,",0.0
00:05:18.117,00:05:19.785,hitting another car that was being driven,0.0
00:05:19.818,00:05:21.387,by a talented pianist.,0.5106
00:05:25.724,00:05:27.760,A couple was taking their two children to the playground,0.0
00:05:27.793,00:05:29.895,when they saw a woman sunbathing nude.,0.0
00:05:29.928,00:05:32.398,Look at that. There could be a gender gap.,0.0
00:05:32.431,00:05:34.834,We're also learning a lot about the worldviews people have.,0.0
00:05:34.867,00:05:36.536,"[Jeff] Yeah, absolutely.",0.296
00:05:40.873,00:05:43.008,An anti-government protester was arrested,-0.4767
00:05:43.041,00:05:45.544,for spray-painting profanities at the Lincoln Memorial,0.0
00:05:45.577,00:05:46.912,"in Washington, D.C.",0.0
00:05:46.945,00:05:48.748,1: 40 hours...,0.0
00:05:48.781,00:05:50.816,"Wow, she went 1 right away.",0.5859
00:05:50.849,00:05:53.586,She's not a fan of authority and rules.,-0.1685
00:05:53.619,00:05:54.754,[Sheldon] Yeah.,0.296
00:05:58.957,00:06:01.460,"Okay, thank you so much for your time.",0.5267
00:06:01.493,00:06:02.661,We really appreciate it.,0.4576
00:06:02.694,00:06:04.563,"All right, so here's the results",0.0
00:06:04.596,00:06:06.665,in a mathematical analysis.,0.0
00:06:06.698,00:06:08.768,These are averages per question.,0.0
00:06:08.801,00:06:11.670,These are the averages and medians per participant.,0.0
00:06:11.703,00:06:14.473,[Jeff] The 4s are great. The 3's great.,0.8481
00:06:14.506,00:06:17.143,"But this is ground for optimism, at least.",0.6956
00:06:17.176,00:06:19.111,"[Michael]<i> 7 was the max  sentencing value,</i>",-0.1531
00:06:19.144,00:06:23.682,<i> and our control group  gave an average of 4.5.</i>,0.0
00:06:23.715,00:06:25.918,I'm really happy with that as a control group.,0.6115
00:06:25.951,00:06:27.420,Absolutely.,0.0
00:06:27.453,00:06:29.555,"<i> Now, our experimental groups.</i>",0.0
00:06:29.588,00:06:32.091,"<i> Remember, they will be seeing  posters that remind them</i>",0.0
00:06:32.124,00:06:33.926,"<i> of their own mortality,</i>",0.0
00:06:33.959,00:06:35.995,<i> and will be asked  different questions</i>,0.0
00:06:36.028,00:06:37.196,<i> in their questionnaire.</i>,0.0
00:06:37.229,00:06:38.664,<i> For example...</i>,0.0
00:06:50.709,00:06:53.979,<i> The point is to prime  their mortality salience.</i>,0.0
00:06:54.012,00:06:55.981,<i> Let's see if this group  is more punitive</i>,0.0
00:06:56.014,00:06:59.618,<i> towards worldview  violations.</i>,0.0
00:06:59.651,00:07:01.821,After raising millions of dollars,0.0
00:07:01.854,00:07:03.923,"to fund education for needy children,",-0.34
00:07:03.956,00:07:06.692,a fundraising manager fled with all the money,0.0
00:07:06.725,00:07:08.961,and was arrested months later in Tasmania.,-0.4767
00:07:08.994,00:07:11.030,1: three months in prison;,-0.5106
00:07:11.063,00:07:13.132,7: ten years in prison.,-0.5106
00:07:13.165,00:07:14.534,Please answer now.,0.3182
00:07:17.569,00:07:19.839,"Okay, he's thinking about it.",0.2263
00:07:19.872,00:07:21.574,Please hold up your answers.,0.3182
00:07:23.208,00:07:24.977,All right. Thank you so much.,0.3612
00:07:25.010,00:07:26.612,"Ah, okay.",0.2263
00:07:31.183,00:07:33.018,[woman] An imposter with no medical training,-0.296
00:07:33.051,00:07:35.754,posed as a surgeon and bungled a minor operation,0.0
00:07:35.787,00:07:37.022,to remove a child's tonsils.,0.0
00:07:37.055,00:07:39.859,1: six months on probation;,0.0
00:07:39.892,00:07:42.495,7: ten years in prison.,-0.5106
