Start Time,End Time,Text,sentiment-score
00:00:03.235,00:00:05.471,"Hey,<i> Mind Field!</i> Vanessa here.",0.0
00:00:05.504,00:00:09.075,Just kidding. My name is actually Michael.,0.1027
00:00:09.108,00:00:11.644,That part when I said that I was Vanessa...,0.0
00:00:11.677,00:00:13.579,that was a lie.,0.0
00:00:13.612,00:00:15.515,So you're welcome.,0.507
00:00:15.548,00:00:18.117,Humans love lies.,0.34
00:00:18.150,00:00:19.485,"More precisely,",0.0
00:00:19.518,00:00:22.288,we love things that aren't entirely true--,0.3922
00:00:22.321,00:00:23.756,because we<i> have</i> to.,0.0
00:00:23.789,00:00:25.658,It's often all we have.,0.0
00:00:25.691,00:00:28.161,"Completely proving something can be difficult,",-0.3612
00:00:28.194,00:00:30.329,if not impossible.,0.0
00:00:30.362,00:00:33.666,"So instead, we have the faith of the believer,",0.4215
00:00:33.699,00:00:36.636,the confidence interval of the scientist.,0.5106
00:00:36.669,00:00:38.738,"What we think we know,",0.0
00:00:38.771,00:00:42.175,we really only<i> believe</i> we know.,0.0
00:00:42.208,00:00:44.777,"On this episode of<i> Mind Field, </i> I'm going to take a look at",0.0
00:00:44.810,00:00:47.713,a kind of lie we tell ourselves.,0.0
00:00:47.746,00:00:52.552,And I'm going to use belief to turn a lie...into a truth.,0.3182
00:00:55.588,00:00:57.557,<i> ( theme music playing )</i>,0.2023
00:01:09.435,00:01:12.171,"Michael: <i> If I'm going to harness   the power of belief,</i>",0.0
00:01:12.204,00:01:15.541,<i> I need to find a good way  to study belief and behavior.</i>,0.4404
00:01:15.574,00:01:19.278,"<i> So I'm paying a visit to UCLA's  Dr. Aaron Blaisdell,</i>",0.0
00:01:19.311,00:01:21.247,<i> who I worked with  on last season's</i>,0.0
00:01:21.280,00:01:23.716,"<i> ""Greater Good""  Trolley Problem episode.</i>",0.4019
00:01:23.749,00:01:25.618,<i> ( train whistle blowing )</i>,0.0
00:01:25.651,00:01:27.887,"Dr. Blaisdell, great to see you again.",0.6249
00:01:27.920,00:01:29.355,"Nice to see you again, Michael.",0.4215
00:01:29.388,00:01:31.157,"Thank you for your help last season,",0.6369
00:01:31.190,00:01:34.660,but I've got this new thing I want to look into.,0.1154
00:01:34.693,00:01:36.295,I started thinking a lot about belief,0.0
00:01:36.328,00:01:37.730,and how we form them.,0.0
00:01:37.763,00:01:42.502,Specifically beliefs about what causes our behavior.,0.0
00:01:42.535,00:01:44.670,I want to be able to break it down,0.0772
00:01:44.703,00:01:47.173,and just look at how people respond to the environment around them,0.0
00:01:47.206,00:01:48.808,and how it changes their belief.,0.0
00:01:48.841,00:01:51.677,"Well, a Skinner Box is a great place to start.",0.7351
00:01:51.710,00:01:54.180,"because what I tell my students is,",0.0
00:01:54.213,00:01:57.183,"a Skinner Box, for a psychologist like myself,",0.3612
00:01:57.216,00:01:59.385,is like a test tube for a chemist.,0.3612
00:01:59.418,00:02:01.721,"<i> Dr. Skinner, what are you  doing with this pigeon?</i>",0.0
00:02:01.754,00:02:05.458,<i> I'm getting ready to  demonstrate a fundamental  principle of behavior.</i>,0.3612
00:02:05.491,00:02:08.361,"Michael: <i> Invented by Harvard  psychologist B.F. Skinner,</i>",0.0
00:02:08.394,00:02:11.164,<i> a Skinner Box is a chamber  in which animals</i>,0.0
00:02:11.197,00:02:14.767,<i> can be isolated and exposed to  carefully controlled stimuli.</i>,-0.2732
00:02:14.800,00:02:16.769,"<i> In one of his  landmark experiments,</i>",0.0772
00:02:16.802,00:02:19.338,<i> Skinner released food  to pigeons in the boxes</i>,0.0
00:02:19.371,00:02:20.940,<i> at regular intervals.</i>,0.0
00:02:20.973,00:02:22.842,<i> What he found was that  the pigeons seemed to believe</i>,0.0
00:02:22.875,00:02:24.410,<i> that whatever  they happened to be doing</i>,0.0
00:02:24.443,00:02:25.912,<i> just before the food came</i>,0.0
00:02:25.945,00:02:28.281,"<i> actually</i> caused<i> the food  to appear,</i>",0.0
00:02:28.314,00:02:30.516,<i> and would then repeat  that behavior over and over--</i>,0.0
00:02:30.549,00:02:34.320,"<i> for example, hopping around  or spinning in circles.</i>",0.0
00:02:34.353,00:02:38.291,"<i> Skinner called this  ""superstitious behavior.""</i>",0.0
00:02:38.324,00:02:42.895,So what do you want to do-- what's your dream test?,0.3182
00:02:42.928,00:02:46.966,"Basically a replication of Skinner's superstitious experiment,",0.0
00:02:46.999,00:02:48.968,"but instead of with pigeons, with people.",0.0
00:02:49.001,00:02:51.904,I would love to see: will people develop,0.6369
00:02:51.937,00:02:55.675,their own sort of superstitious rituals or beliefs.,0.0
00:02:55.708,00:02:57.910,Have we done this with people before?,0.0
00:02:57.943,00:03:01.747,I don't think such a rigorous test of this has been done.,-0.2732
00:03:01.780,00:03:05.318,"I think primarily, from the literature I know, it's pretty much pigeons.",0.4939
00:03:09.755,00:03:12.225,B.F. Skinner's work showed that if you,0.0
00:03:12.258,00:03:14.627,"regularly deliver a reward to a pigeon,",0.5719
00:03:14.660,00:03:16.596,"regardless of how it actually acts,",0.0
00:03:16.629,00:03:18.564,the pigeon won't figure that out.,0.0
00:03:18.597,00:03:22.568,"Instead, the pigeon will develop superstitious behaviors",0.0
00:03:22.601,00:03:24.904,"as if it thinks it is in control,",0.0
00:03:24.937,00:03:27.306,despite the lack of any evidence that it is.,0.2411
00:03:27.339,00:03:28.874,<i> But what about humans?</i>,0.0
00:03:28.907,00:03:31.410,<i> Watching people form  new superstitions</i>,0.0
00:03:31.443,00:03:34.614,"<i> might show us how  beliefs are created,  but here's the thing:</i>",0.128
00:03:34.647,00:03:37.416,You can't just put a person in a Skinner Box.,0.0
00:03:37.449,00:03:39.652,"People are quite clever, and so instead,",0.5095
00:03:39.685,00:03:41.487,"along with Dr. Aaron Blaisdell,",0.0
00:03:41.520,00:03:43.889,I have developed a much more elaborate ruse.,0.0
00:03:43.922,00:03:46.426,Welcome to Victory Vault.,0.4588
00:03:47.526,00:03:50.563,<i> ♪</i>,0.0
00:03:50.596,00:03:54.000,"Michael:<i> ""Victory Vault""  is a fake game show we made up</i>",-0.4767
00:03:54.033,00:03:56.369,<i> to draw our  unsuspecting subjects</i>,0.0
00:03:56.402,00:03:58.971,<i> into taking part in  a human Skinner Box.</i>,0.0
00:03:59.004,00:04:01.741,"<i> To accomplish this,  we rented a sound stage</i>",0.4215
00:04:01.774,00:04:04.677,"<i> and constructed what appeared  to be a game show set,</i>",0.0
00:04:04.710,00:04:06.479,<i> but was really our study.</i>,0.0
00:04:06.512,00:04:08.814,"<i> We outfitted the room  with a checkboard floor,</i>",0.0
00:04:08.847,00:04:11.017,"<i> a button that serves  no purpose,</i>",-0.296
00:04:11.050,00:04:13.619,"<i> multiple cameras  and a live microphone,</i>",0.0
00:04:13.652,00:04:17.056,<i> all of which have absolutely no  connection to winning the game.</i>,0.228
00:04:17.089,00:04:21.027,"<i> We also included  an ATM slot on the wall  where, instead of food,</i>",0.0
00:04:21.060,00:04:23.629,<i> dollar bills would be fed  into the room</i>,0.0
00:04:23.662,00:04:25.364,<i> at regular intervals.</i>,0.0
00:04:25.397,00:04:27.433,"<i> Meanwhile, I would be  playing the role</i>",0.2023
00:04:27.466,00:04:29.802,<i> of the executive producer  of this new game show</i>,0.0
00:04:29.835,00:04:32.505,<i> testing out the concept  for a television network.</i>,0.0
00:04:32.538,00:04:34.874,<i> Our first subject is Rebecca.</i>,0.0
00:04:34.907,00:04:36.842,"Yes, I know nothing. I'm excited.",0.169
00:04:36.875,00:04:38.644,"Excellent, excellent.",0.8126
00:04:38.677,00:04:40.846,"Well, I'll you some things that you need to know.",0.2732
00:04:40.879,00:04:44.450,"One, you will get to keep all of the money that you get today.",0.0
00:04:44.483,00:04:48.888,The object of the game is to collect as much money as possible.,0.0
00:04:48.921,00:04:52.091,"- OK. ( laughs ) - Now, you will have  ten minutes,",0.4939
00:04:52.124,00:04:54.527,and  that's all I'm going to tell you.,0.0
00:04:54.560,00:04:55.895,- Go. OK? - OK.,0.0
00:04:59.965,00:05:04.603,"- Rebecca: OK. - Michael (over loudspeaker): <i> </i> All right, Rebecca, begin",0.0
00:05:04.636,00:05:08.074,"in three, two, one, go!",0.0
00:05:10.542,00:05:11.911," Blaisdell:<i> Of course,  right to the button,</i>",0.0
00:05:11.944,00:05:13.646,"but she's not fixated on it,",0.0
00:05:13.679,00:05:15.014,she's definitely looking around there.,0.4019
00:05:15.047,00:05:16.782,Rebecca: I'm trying to figure out,0.0
00:05:16.815,00:05:18.984,"if there's, like, a puzzle, or what this is about.",0.3612
00:05:19.017,00:05:21.754,Am I supposed to just get out?,0.0
00:05:21.787,00:05:24.324,"No, not supposed to get out. OK.",0.0
00:05:26.825,00:05:29.962,"Oh! OK, there's money. Is that one clue?",0.0
00:05:29.995,00:05:32.465,Rebecca: <i> I've earned one dollar.  ( laughs )</i>,0.4939
00:05:32.498,00:05:34.867,"See? She's ""earned"" one dollar. Earned.",0.0
00:05:34.900,00:05:37.103,"I mean, she thinks she caused it to happen.",0.0
00:05:37.136,00:05:40.072,Let's see. I think I might be onto something,0.0
00:05:40.105,00:05:42.508,"-<i> with this door, maybe? </i> - Uh-huh.",0.0
00:05:42.541,00:05:45.111,- OK. - Blaisdell: <i> </i> The second dollar bill,0.0
00:05:45.144,00:05:48.514,came out really shortly after she manipulated the door.,-0.3818
00:05:48.547,00:05:51.484,"That's what Skinner would call ""adventitious reinforcement.""",0.0
00:05:51.517,00:05:53.853,"She accidentally just happened to be doing something,",-0.34
00:05:53.886,00:05:55.821,-<i> and now look. </i> - Hello?,0.0
00:05:55.854,00:05:58.624,"<i> Look, it reinforced that behavior,  look how strong it's become.</i>",0.5106
00:05:58.657,00:06:00.559,"Now she's doing a lot with the door,",0.0
00:06:00.592,00:06:03.496,"<i> and this dancing, just like  one of Skinner's pigeons.</i>",0.3612
00:06:03.529,00:06:04.730,- Anything? -<i> See?</i>,0.0
00:06:04.763,00:06:06.132,"Michael: <i> For the first two minutes,</i>",0.0
00:06:06.165,00:06:08.067,<i> Rebecca believed  a specific combination</i>,0.0
00:06:08.100,00:06:09.568,<i> of the door and the button</i>,0.0
00:06:09.601,00:06:11.137,<i> were triggering the money.</i>,0.0
00:06:11.170,00:06:13.906,<i> She had created  a superstitious ritual.</i>,0.25
00:06:13.939,00:06:17.410,"<i> But when her old ritual  ceased to line up with  the reward being delivered,</i>",0.7227
00:06:17.443,00:06:19.879,<i> she started exploring  new actions.</i>,0.0
00:06:19.912,00:06:21.580,Would you like to keep sending money?,0.3612
00:06:21.613,00:06:24.517,"Is it something with this? Hello, dollar bill.",0.0
00:06:24.550,00:06:26.819,Michael:<i> This change  in Rebecca's behavior</i>,0.0
00:06:26.852,00:06:29.989,<i> indicates that  she stopped believing  that pressing the button</i>,-0.2263
00:06:30.022,00:06:32.191,<i> is associated with  money coming out.</i>,0.0
00:06:32.224,00:06:34.193,"<i> Skinner called this  ""extinction.""</i>",0.0
00:06:34.226,00:06:36.495,"( singing ) ♪ Keep sending money, what if I dance? ♪",0.0
00:06:36.528,00:06:37.997,Michael:<i> Not it seems  she believes</i>,0.0
00:06:38.030,00:06:40.032,<i> her new actions  might connect to the reward.</i>,0.0
00:06:40.065,00:06:43.602,"- Five, four, three, -<i> ( Rebecca yelps )</i>",0.0
00:06:43.635,00:06:45.771,"-<i> two, one... </i> - Let's try coming out again.",0.0
00:06:45.804,00:06:48.040,"-<i> zero, stop. </i> - And... OK.",-0.296
00:06:48.073,00:06:50.676,I don't think I solved this mystery.,-0.2057
00:06:50.709,00:06:51.911,( laughs ),0.4939
00:06:51.944,00:06:55.881,"Michael: Rebecca! You got some money, huh?",0.0
00:06:55.914,00:06:57.483,- I did! - Come take a seat.,0.0
00:06:57.516,00:06:59.952,"So, first of all, how'd it go?",0.0
00:06:59.985,00:07:02.588,Oh! Very confusing.,-0.358
00:07:02.621,00:07:05.157,"I wasn't able to fully figure it out,",0.0
00:07:05.190,00:07:08.127,but it was something to do with the 20 white squares on the floor.,0.0
00:07:08.160,00:07:11.630,"Something to do with the red button as well, like a pattern, maybe?",0.5574
00:07:11.663,00:07:15.568,Oh! Maybe I should have tried clicking on the button 20 times.,0.0
00:07:15.601,00:07:18.504,"- Yes! - OK, you wanna know what  makes the money come out?",0.4574
00:07:18.537,00:07:20.773,Yes. It's probably something really crazy.,0.0018
00:07:20.806,00:07:23.042,- It's just 30 seconds passing. - Blaissdell: Yep.,0.296
00:07:23.075,00:07:25.077,- It has nothing to do  with what you do. - Ohh!,0.0
00:07:25.110,00:07:26.912,"You would have gotten the same amount,",0.0
00:07:26.945,00:07:28.948,but you could just sat on the floor and done nothing.,0.0
00:07:28.981,00:07:30.783,- ( laughing ) - Yeah.,0.6597
00:07:30.816,00:07:33.619,This is actually a psychological experiment,0.0
00:07:33.652,00:07:36.522,"based on some work done by B.F. Skinner,",0.0
00:07:36.555,00:07:40.626,and we are looking at the kinds of behaviors people invent,0.0
00:07:40.659,00:07:42.728,that they think controls the money.,0.0
00:07:42.761,00:07:45.598,- But I think  this was fascinating. - Blaisdell: Yeah.,0.8201
00:07:45.631,00:07:47.766,- And you really do  get to keep the money. - Yay!,0.5707
00:07:47.799,00:07:50.135,"- Rebecca, thank you  for your help today. - Cool. Thank you, guys.",0.8402
00:07:50.168,00:07:52.271,Michael: <i> Rebecca's rituals  seemed to indicate</i>,0.0
00:07:52.304,00:07:54.507,<i> that she thought performing  for the camera</i>,0.0
00:07:54.540,00:07:55.875,<i> would work the best.</i>,0.0
00:07:55.908,00:07:58.077,<i> Her beliefs about TV shows  informed</i>,0.0
00:07:58.110,00:08:00.746,<i> the kinds of superstitions  she would create.</i>,0.0
00:08:00.779,00:08:03.749,<i> But will other people  develop the same superstitions?</i>,0.0
00:08:03.782,00:08:06.785,<i> Or will it depend on the  beliefs and expectations  they already have?</i>,0.0
00:08:06.818,00:08:08.954,The object of<i> Victory Vault</i>,0.0
00:08:08.987,00:08:10.956,is to collect as much money as you can.,0.0
00:08:10.989,00:08:14.126,"Oh, OK. Well, let me take these accessories off there really quickly.",0.2732
00:08:14.159,00:08:16.662,"As soon as that door closes, your ten minutes starts.",0.0
00:08:16.695,00:08:18.163,I don't get to ask questions?,0.0
00:08:18.196,00:08:19.865,Not on<i> Victory Vault.</i>,0.0
00:08:19.898,00:08:21.868,Michael: See you in ten minutes.,0.0
00:08:23.969,00:08:25.037,All right.,0.0
00:08:25.070,00:08:26.539,Where's the cash?,0.0
00:08:27.773,00:08:29.609,It's like an escape room.,0.4939
00:08:31.944,00:08:34.246,Am I supposed to push this?,0.0
00:08:34.279,00:08:37.116,Blaisdell:<i> Some people  really wanted instructions.  Michael: Yeah.</i>,0.0
00:08:37.149,00:08:39.618,"Contestant: <i> I feel like if I push this,  the time is gonna be up.</i>",0.3612
00:08:39.651,00:08:41.687,"Michael:<i> Like Rebecca,  all of our subjects</i>",0.3612
00:08:41.720,00:08:43.689,<i> immediately gravitated  to the useless button.</i>,-0.4215
00:08:43.722,00:08:45.925,That button is so salient.,0.4101
00:08:45.958,00:08:47.627,Push the button?,0.0
00:08:49.194,00:08:50.763,"Oh, shit!",-0.5983
00:08:50.796,00:08:53.032,"<i> ( Michael, Blaisdell laugh )</i>",0.5574
00:08:53.065,00:08:54.767,He was a little surprised at that.,0.1548
00:08:54.800,00:08:56.936,Push the button?,0.0
00:08:56.969,00:08:59.872,"Oh! OK, I think I get it. Is it push the button?",0.0
00:08:59.905,00:09:02.808,Will I push the button? Am I supposed to push the button?,0.0
00:09:02.841,00:09:05.110,"( rapping ) ♪ If you're gon' push the button, then you're goin' with the button ♪",0.0
00:09:05.143,00:09:06.879,♪ And I'm pushin' on the button-- ♪,0.0
00:09:06.912,00:09:09.014,Michael:<i> It was clear  that most of the superstitions</i>,0.3818
00:09:09.047,00:09:12.017,"<i> began with the button,  but evolved into something else</i>",0.0
00:09:12.050,00:09:14.820,"<i> very quickly,  including this guy,</i>",0.0
00:09:14.853,00:09:16.922,<i> whose superstitious behavior</i>,0.0
00:09:16.955,00:09:19.725,<i> was doing absolutely nothing.</i>,0.0
00:09:19.758,00:09:21.293, Blaisdell: <i> He's just standing there.</i>,0.0
00:09:21.326,00:09:24.797, Michael:<i> Yeah.  Will he do something...?</i>,0.296
00:09:27.699,00:09:29.635,( chuckling ),0.34
00:09:29.668,00:09:33.672,Maybe taking the money is...bad?,0.0
00:09:33.705,00:09:36.909,I know strippers get singles for dancing.,0.0
