Start Time,End Time,Text,sentiment-score
00:00:06.940,00:00:11.080,Hey Vsauce!,0.0
00:00:11.080,00:00:15.209,Michael here.,0.0
00:00:15.209,00:00:18.440,And here.,0.0
00:00:18.440,00:00:19.710,Michael here!,0.0
00:00:19.710,00:00:21.580,hey vsauce!,0.0
00:00:22.580,00:00:24.710,what is here?,0.0
00:00:24.710,00:00:26.820,…. what is there?,0.0
00:00:26.820,00:00:28.660,what is there?,0.0
00:00:28.660,00:00:30.770,What REALLY exists?,0.0
00:00:30.770,00:00:35.719,Do waves exist or are there just things that are wavy?,0.0
00:00:35.719,00:00:41.010,When does a piece of food I’ve eaten stop being food and become me?,-0.296
00:00:41.010,00:00:46.809,Do chairs exist?,0.0
00:00:46.809,00:00:49.820,Ontology is the philosophy of existence.,0.0
00:00:49.820,00:00:58.420,And chairs are what philosophers call ORDINARY OBJECTS.,0.0
00:00:58.420,00:01:04.540,"Ordinary objects are the plain old common sense things we deal with every day: spoons,",0.0
00:01:04.540,00:01:07.670,"buckets, rocks, stuff like that.",0.3612
00:01:07.670,00:01:11.440,Their existence is as obvious as possible,0.0
00:01:11.440,00:01:19.970,"but the more we try to sus out where they are, the more sus they become.",0.0
00:01:19.970,00:01:24.220,"First of all, sure, this could all be a dream.",0.5106
00:01:24.220,00:01:27.970,Maybe we’ve all been hallucinating chairs all these years.,0.0
00:01:27.970,00:01:33.610,Or this could part of the simulated reality pumped into our brains while our bodies are,0.0
00:01:33.610,00:01:36.070,harvested for energy.,0.2732
00:01:36.070,00:01:41.450,But underneath that skepticism there’s a deeper ONTOLOGICAL question that we need to,-0.3612
00:01:41.450,00:01:43.360,answer first.,0.0
00:01:43.360,00:01:50.990,"Regardless of whether this spoon is made of real atoms or simulated atoms, is it really",0.0
00:01:50.990,00:01:55.200,possible to be “made of” something?,0.0
00:01:55.200,00:01:57.040,Take a look at these two things.,0.0
00:01:57.040,00:02:02.250,"As we all know, two minus one is … TWO?!",0.0
00:02:02.250,00:02:04.450,There ARE two things here:,0.0
00:02:04.450,00:02:07.760,An origami crane AND a piece of paper.,0.0
00:02:07.760,00:02:13.120,"I’m kidding, of course, there’s really just one: the crane and the piece of paper",0.1027
00:02:13.120,00:02:15.230,are the same.,0.0
00:02:15.230,00:02:25.940,But watch this.,0.0
00:02:25.940,00:02:32.370,Where’d the crane go?,0.0
00:02:32.370,00:02:37.590,"If the paper and the crane were truly identical, they would share everything in common.",0.6249
00:02:37.590,00:02:43.650,"But clearly they don’t: the paper can survive being unfolded, the crane cannot.",0.5499
00:02:43.650,00:02:47.390,"Also, I made the crane, but I didn’t make the paper.",0.0
00:02:47.390,00:02:50.730,And the paper was around before the crane.,0.0
00:02:50.730,00:02:55.710,"For two things that are the same, they sure are different.",0.3182
00:02:55.710,00:03:00.930,This relationship is called CONSTITUTION: paper constitutes the crane.,0.0
00:03:00.930,00:03:06.720,"It’s a one-to-one relationship, but there’s another kind of “being made of” going",0.0
00:03:06.720,00:03:08.490,"on here, too.",0.0
00:03:08.490,00:03:14.540,"This paper is made not of ONE other thing, but of sextillions of things: fundamental",0.0
00:03:14.540,00:03:21.080,"subatomic particles: electrons and quarks, or strings, or physical and virtual fields.",0.0
00:03:21.080,00:03:26.090,This many-to-one relationship is called COMPOSITION.,0.0
00:03:26.090,00:03:31.960,Philosophers call whatever it is that matter is ultimately composed of SIMPLES: a simple,0.0258
00:03:31.960,00:03:36.180,"is a thing that, unlike a piece of paper, has no parts.",-0.296
00:03:36.180,00:03:37.410,No substructure.,-0.296
00:03:37.410,00:03:38.599,Not even a top or bottom.,-0.1511
00:03:38.599,00:03:42.980,"It could be the case that there are no simples, that there’s just a never-ending chain of",-0.296
00:03:42.980,00:03:45.810,smaller and smaller substructure.,0.0
00:03:45.810,00:03:50.160,Philosophers call such a reality a GUNKY universe.,0.0
00:03:50.160,00:03:53.940,If structure never ends in the other direction and everything turns out to be part of something,0.0
00:03:53.940,00:04:00.080,"bigger with no final complete composite, that’s what’s known as a JUNKY universe.",-0.296
