Start Time,End Time,Text,Date
00:00:02.810,00:00:03.970,"Hey, Vsauce.",2012-09-29
00:00:03.970,00:00:09.309,"Michael here. And my tea is quite hot, but it's not the hottest thing in the",2012-09-29
00:00:09.309,00:00:10.110,universe.,2012-09-29
00:00:10.880,00:00:14.960,"So what is? I mean, we know that there is an absolute zero,",2012-09-29
00:00:14.960,00:00:19.869,but is there an absolute hot? A point at which something is so hot,2012-09-29
00:00:19.869,00:00:23.900,"it can't get any hotter. Well to find out, let's begin",2012-09-29
00:00:23.900,00:00:28.189,with the human body. Your internal temperature,2012-09-29
00:00:28.189,00:00:32.090,"is not constant. 37 degrees, 98.6.",2012-09-29
00:00:32.090,00:00:36.960,Sure. But those are averages. Your body's internal temperature fluctuates,2012-09-29
00:00:36.960,00:00:38.780,by about one degree Fahrenheit -,2012-09-29
00:00:38.780,00:00:42.980,half a degree Celsius - throughout the day in a cycle.,2012-09-29
00:00:42.980,00:00:46.370,"Assuming you sleep at night, at 4:30 in the morning",2012-09-29
00:00:46.370,00:00:50.410,your body reaches its coolest natural healthy temperature.,2012-09-29
00:00:50.410,00:00:54.280,And at 7 p.m. it reaches its highest.,2012-09-29
00:00:54.280,00:00:57.629,But a dangerous fever is not good.,2012-09-29
00:00:57.629,00:01:01.270,108 degrees Fahrenheit is almost always,2012-09-29
00:01:01.270,00:01:05.080,lethal. The highest recorded air temperature across,2012-09-29
00:01:05.080,00:01:08.350,all of Earth has happened four times in Death,2012-09-29
00:01:08.350,00:01:12.640,"Valley, where it has reached 129",2012-09-29
00:01:12.640,00:01:17.229,degrees Fahrenheit. 180 degrees Fahrenheit is the recommended,2012-09-29
00:01:17.229,00:01:18.640,temperature for water,2012-09-29
00:01:18.640,00:01:22.020,"when brewing coffee. And at 210 degrees Fahrenheit,",2012-09-29
00:01:22.020,00:01:23.920,a cake is done.,2012-09-29
00:01:24.280,00:01:28.740,"2,000 degrees Fahrenheit is the temperature of lava",2012-09-29
00:01:28.740,00:01:32.790,fresh outta the ground. But come on. Make your own lava,2012-09-29
00:01:32.790,00:01:38.020,like Green Science Pro. This guy uses Fresnel lenses to focus the sun's,2012-09-29
00:01:38.020,00:01:42.159,"energy onto whatever he wants. This is a small piece of obsidian,",2012-09-29
00:01:42.159,00:01:46.340,"volcanic glass, which he can melt into actual lava",2012-09-29
00:01:46.340,00:01:50.909,right in his backyard. Keep in mind that the Sun is having that effect,2012-09-29
00:01:50.909,00:01:54.450,even though it is 93 million miles away from,2012-09-29
00:01:54.450,00:01:57.899,Earth. Right up on the surface of the Sun is a different story.,2012-09-29
00:01:57.899,00:02:02.380,"The surface clocks in at 10,000 degrees Fahrenheit,",2012-09-29
00:02:02.380,00:02:06.000,"but the centre, where fusion occurs, is ridiculous.",2012-09-29
00:02:06.000,00:02:09.140,Temperatures there reach 28,2012-09-29
00:02:09.140,00:02:12.760,"million degrees Fahrenheit, which is also known",2012-09-29
00:02:12.760,00:02:16.069,as 15 million Kelvin. The Kelvin scale,2012-09-29
00:02:16.069,00:02:19.370,"has units that are the same size as a Celsius degree,",2012-09-29
00:02:19.370,00:02:22.709,"but it's an absolute scale, where 0 is",2012-09-29
00:02:22.709,00:02:27.390,absolute zero. When matter reaches temperatures as high as those found in,2012-09-29
00:02:27.390,00:02:28.610,"the centre of the Sun,",2012-09-29
00:02:28.610,00:02:31.989,an enormous amount of energy is radiated,2012-09-29
00:02:31.989,00:02:35.319,away. If you were to heat only the head,2012-09-29
00:02:35.319,00:02:38.620,"of a pin to the temperature of the centre of the Sun,",2012-09-29
00:02:38.620,00:02:42.879,"it would kill any person within 1,000 miles of it.",2012-09-29
00:02:42.879,00:02:46.709,"Speaking of which, the energy emitted by an object",2012-09-29
00:02:46.709,00:02:50.220,often tells us a lot about the temperature,2012-09-29
00:02:50.220,00:02:54.060,of that object. Any object over absolute zero,2012-09-29
00:02:54.060,00:02:57.319,emits some form of electromagnetic radiation.,2012-09-29
00:02:57.319,00:03:00.760,"You and me, we don't glow visibly, but we do emit",2012-09-29
