Start Time,End Time,Text,Date
00:00:00.709,00:00:04.409,"Hey, Vsauce. Michael here. And Jake. And Kevin.",2013-03-05
00:00:04.409,00:00:06.280,"And we are in Santa Monica, which",2013-03-05
00:00:06.290,00:00:11.109,"of course means that the ""V"" in ""Vsauce"" will stand for the Roman numeral five,",2013-03-05
00:00:11.109,00:00:13.270,as in five questions,2013-03-05
00:00:13.270,00:00:14.690,from you guys.,2013-03-05
00:00:16.509,00:00:18.850,"Our first question comes from ""@notch"".",2013-03-05
00:00:18.850,00:00:23.009,"He didn't ask this of me in particular, but I love how non-intuitive the",2013-03-05
00:00:23.009,00:00:25.609,answer is. Assume,2013-03-05
00:00:25.609,00:00:27.980,an Earth that's perfectly spherical,2013-03-05
00:00:27.980,00:00:31.709,"and a rope, stretched around the equator snugly.",2013-03-05
00:00:31.709,00:00:37.989,"What would happen if that rope was just, say, six meters longer? Six meters",2013-03-05
00:00:37.989,00:00:39.230,"isn't very much,",2013-03-05
00:00:39.230,00:00:42.450,but because of the relationship between a circumference,2013-03-05
00:00:42.450,00:00:43.699,"and a radius,",2013-03-05
00:00:43.699,00:00:48.509,six meters of extra rope would allow the entire rope to not fit snugly around,2013-03-05
00:00:48.509,00:00:49.450,"the earth,",2013-03-05
00:00:49.450,00:00:51.320,"but one meter above it,",2013-03-05
00:00:51.320,00:00:53.170,all the way around.,2013-03-05
00:00:53.170,00:00:55.989,"That's cool, but what if instead of a rope",2013-03-05
00:00:55.989,00:01:00.260,"we used something more rigid, like a structure, a bridge",2013-03-05
00:01:00.260,00:01:03.570,and we built the bridge all the way around the Earth.,2013-03-05
00:01:03.570,00:01:08.500,"And then, all at once, destroyed its supports.",2013-03-05
00:01:08.500,00:01:09.760,Would it,2013-03-05
00:01:09.760,00:01:14.109,"float? Clearly the earth's gravity would pull the structure down,",2013-03-05
00:01:14.109,00:01:18.670,but down is in the opposite direction for the other side of the bridge.,2013-03-05
00:01:18.670,00:01:20.150,"Well, it turns out",2013-03-05
00:01:20.150,00:01:26.560,such a scenario would be incredibly unstable. Earth's gravity isn't equal,2013-03-05
00:01:26.560,00:01:30.399,"everywhere, and if you follow @tweetsauce you saw some great graphs showing",2013-03-05
00:01:30.399,00:01:32.100,"just how much gravity changes,",2013-03-05
00:01:32.100,00:01:34.670,simply based on the density of rock below.,2013-03-05
00:01:34.670,00:01:40.120,"When you factor in the Sun and the Moon, you wind up with a bridge structure that is",2013-03-05
