Start Time,End Time,Text,Date
00:00:01.160,00:00:03.440,"Hey, Vsauce. Michael here.",2013-03-14
00:00:03.440,00:00:06.460,Why do humans wear clothing?,2013-03-14
00:00:06.470,00:00:10.219,"Sure, we need it for protection from the elements and fashion,",2013-03-14
00:00:10.219,00:00:11.689,"to show our personalities,",2013-03-14
00:00:11.689,00:00:15.249,but no other animal makes and wears clothing.,2013-03-14
00:00:15.249,00:00:20.869,"More importantly, why do we feel embarrassed to be naked around other people?",2013-03-14
00:00:22.220,00:00:24.440,"The word ""embarrassed"" comes from ",2013-03-14
00:00:24.440,00:00:26.160,"the Portuguese route,",2013-03-14
00:00:26.160,00:00:30.440,"""embaraça"", which means to entangle or entwine.",2013-03-14
00:00:30.440,00:00:35.580,And feeling embarrassed often feels like being tied up or exposed.,2013-03-14
00:00:35.580,00:00:37.180,But how can a healthy,2013-03-14
00:00:37.180,00:00:39.640,amount of embarrassment be a sign,2013-03-14
00:00:39.640,00:00:41.370,"that you are likeable,",2013-03-14
00:00:41.370,00:00:42.550,forgivable,2013-03-14
00:00:42.550,00:00:44.450,and trustworthy.,2013-03-14
00:00:46.120,00:00:48.780,This t-shirt and hoodie,2013-03-14
00:00:48.780,00:00:51.029,"come from the YouTube Space LA,",2013-03-14
00:00:51.029,00:00:54.140,which opened in November of 2012.,2013-03-14
00:00:54.140,00:00:55.380,But clothing,2013-03-14
00:00:55.380,00:00:57.860,"has been around a lot longer than that,",2013-03-14
00:00:57.860,00:00:58.580,for at least,2013-03-14
00:00:58.580,00:01:01.179,"the last 100,000 years.",2013-03-14
00:01:01.179,00:01:03.250,"Clothing protects us from the cold,",2013-03-14
00:01:03.250,00:01:05.560,"from rain, from the Sun",2013-03-14
00:01:05.560,00:01:07.790,and it can also be an ornament.,2013-03-14
00:01:07.790,00:01:12.090,"A way of accentuating certain parts of our bodies or showing off wealth,",2013-03-14
00:01:12.090,00:01:13.039,status.,2013-03-14
00:01:13.039,00:01:14.940,It can even help us build,2013-03-14
00:01:14.940,00:01:20.580,"our own identities. But today I'm interested in another use of clothing,",2013-03-14
00:01:20.580,00:01:22.250,modesty.,2013-03-14
00:01:22.250,00:01:24.430,Why are humans,2013-03-14
00:01:24.430,00:01:27.120,afraid to be naked?,2013-03-14
00:01:27.120,00:01:30.460,Why are we ashamed of nudity?,2013-03-14
00:01:30.460,00:01:34.600,Especially because animals pretty much walk around naked,2013-03-14
00:01:34.600,00:01:35.960,all the time.,2013-03-14
00:01:35.960,00:01:39.360,Why aren't animals embarrassed to be naked?,2013-03-14
00:01:39.360,00:01:40.410,Well...,2013-03-14
00:01:40.530,00:01:44.280,Let's take a closer look at embarrassment.,2013-03-14
00:01:44.280,00:01:48.220,Embarrassment is a fascinating emotion and,2013-03-14
00:01:48.220,00:01:50.670,an extremely social one.,2013-03-14
00:01:50.670,00:01:54.470,"You don't ever really ever feel embarrassed alone, when no one's watching you or",2013-03-14
00:01:54.470,00:01:56.590,"listening to you. So,",2013-03-14
00:01:56.590,00:02:01.490,embarrassment probably evolved because it is such a good influence on social,2013-03-14
00:02:01.490,00:02:02.670,cooperation.,2013-03-14
00:02:02.670,00:02:05.940,We feel embarrassed when we violate little,2013-03-14
