Start Time,End Time,Text,Date
00:00:00.130,00:00:03.449,"Hey, Vsauce. Michael here. On Earth",2013-04-23
00:00:03.449,00:00:06.850,the average piece of currency changes hands,2013-04-23
00:00:06.850,00:00:10.910,about 55 times a year. That's about once a week.,2013-04-23
00:00:10.910,00:00:14.549,"With that kind of turnover, it's safe to say that statistically",2013-04-23
00:00:14.549,00:00:19.199,in the United States out of every 100 pieces of currency,2013-04-23
00:00:19.199,00:00:23.060,one was most likely touched in the last year,2013-04-23
00:00:23.060,00:00:27.680,by someone who within the next year will commit murder.,2013-04-23
00:00:27.680,00:00:30.710,"But how much cash,",2013-04-23
00:00:30.710,00:00:34.230,how much physical currency is there on,2013-04-23
00:00:34.230,00:00:37.600,earth?,2013-04-23
00:00:37.600,00:00:40.640,"First things first, how much cash",2013-04-23
00:00:40.640,00:00:45.280,"is inside of bank? Well, according to the FBI,",2013-04-23
00:00:45.280,00:00:50.860,"the average successful bank robbery involves 10,000 dollars.",2013-04-23
00:00:50.860,00:00:54.460,But that's usually just currency from the tellers,2013-04-23
00:00:54.460,00:00:58.960,"tills. In their vaults, the average bank might have anywhere from 10,000",2013-04-23
00:00:58.960,00:00:59.899,dollars,2013-04-23
00:00:59.899,00:01:04.600,"to a 100,000 dollars with some larger banks at times",2013-04-23
00:01:04.600,00:01:08.659,carrying as much as a few million in cash.,2013-04-23
00:01:08.659,00:01:14.070,But what about in our homes? How much loose change do we all have scattered on,2013-04-23
00:01:14.070,00:01:14.810,dressers,2013-04-23
00:01:14.810,00:01:18.360,"or lost under cushions? Well, it's tough to",2013-04-23
00:01:18.360,00:01:22.009,accurately figure out the exact number and many of the estimates vary.,2013-04-23
00:01:22.009,00:01:26.090,"Last year, Lloyds TSB announced that in the UK",2013-04-23
00:01:26.090,00:01:30.420,the average person has about £14.15 just,2013-04-23
00:01:30.420,00:01:35.100,lying around. A recent survey by VISA looked at a bunch of countries,2013-04-23
00:01:35.100,00:01:38.369,"and included cash left at home, the office,",2013-04-23
00:01:38.369,00:01:41.969,"and in the car. Their figures are a tad higher,",2013-04-23
00:01:41.969,00:01:45.719,but agree with the US Treasury's estimate of few years ago,2013-04-23
00:01:45.719,00:01:49.090,that the typical US household has ninety,2013-04-23
00:01:49.090,00:01:52.820,"to a hundred dollars just laying around,",2013-04-23
00:01:52.820,00:01:57.329,which means that if just everyone in America scrounged up all of their loose,2013-04-23
00:01:57.329,00:01:58.110,change,2013-04-23
00:01:58.110,00:02:02.469,"and put in one place, they would have 15",2013-04-23
00:02:02.469,00:02:06.070,billion dollars. That's enough to fund,2013-04-23
00:02:06.070,00:02:10.729,357 more seasons of Arrested Development.,2013-04-23
00:02:10.729,00:02:14.019,But we are asking about how much cash,2013-04-23
00:02:14.019,00:02:18.870,"there is on the entire planet. Well, that amount has a special name.",2013-04-23
00:02:18.870,00:02:21.890,It is called M0.,2013-04-23
00:02:21.890,00:02:25.220,It's an aggregate of all coins and banknotes.,2013-04-23
00:02:25.220,00:02:28.299,DollarDays.org's most recent estimate,2013-04-23
00:02:28.299,00:02:32.320,"values this total amount, considering all currencies in countries,",2013-04-23
00:02:32.320,00:02:35.709,at just slightly over the equivalent of 5,2013-04-23
00:02:35.709,00:02:40.160,"trillion US dollars. That number,",2013-04-23
00:02:40.160,00:02:43.230,"the value of all of the currency on Earth,",2013-04-23
00:02:43.230,00:02:47.409,"M0, is huge. But believe it or not,",2013-04-23
00:02:47.409,00:02:50.560,it represents less than 10 percent,2013-04-23
00:02:50.560,00:02:54.870,of all of the money we humans have  available to spend,2013-04-23
00:02:54.870,00:02:58.519,"right away. To explain, we should look at how",2013-04-23
00:02:58.519,00:03:02.620,"money is born. In pretty much every country on Earth,",2013-04-23
00:03:02.620,00:03:06.050,one of the ways new money can be born involves,2013-04-23
00:03:06.050,00:03:10.340,"a central bank. Now, let's say that in our country the bank is run",2013-04-23
00:03:10.340,00:03:13.790,by Jake from Vsauce3. He's really smart,2013-04-23
00:03:13.790,00:03:17.209,and he pays close attention to our economy. If he feels,2013-04-23
00:03:17.209,00:03:20.260,"that an increase of the money supply would help us, well,",2013-04-23
00:03:20.260,00:03:23.290,he can just make more money.,2013-04-23
00:03:23.290,00:03:27.180,It's that easy. It doesn't need to be printed as currency,2013-04-23
00:03:27.180,00:03:31.349,"to be born. The next step involves the commercial banks,",2013-04-23
00:03:31.349,00:03:35.000,like the Bank of Vsauce. These are the banks that you and I use.,2013-04-23
00:03:35.000,00:03:39.489,All the central bank needs to do is buy some things from these banks using the,2013-04-23
00:03:39.489,00:03:40.650,money it just made,2013-04-23
00:03:40.650,00:03:44.610,and now the commercial banks have more money. There's another way money can be,2013-04-23
00:03:44.610,00:03:45.290,born.,2013-04-23
00:03:45.290,00:03:49.500,It involves commercial banks and gets to the heart of our question.,2013-04-23
00:03:49.500,00:03:54.230,"If I go to the bank and deposit 5 pounds,",2013-04-23
00:03:54.230,00:03:57.810,"the bank says fantastic,  we will hold on to this money for you",2013-04-23
00:03:57.810,00:04:01.090,"and at anytime you want, you can withdraw or spend",2013-04-23
00:04:01.090,00:04:04.510,"these 5 pounds. The thing is, legally,",2013-04-23
00:04:04.510,00:04:07.700,banks only need to reserve a fraction,2013-04-23
00:04:07.700,00:04:12.470,of the money that they are given. It is known as fractional reserve banking,2013-04-23
00:04:12.470,00:04:16.120,and it pretty much happens in every country. It means,2013-04-23
00:04:16.120,00:04:19.950,"that if someone else comes along, like, say, Kevin from Vsauce2",2013-04-23
00:04:19.950,00:04:23.380,"and he wants to borrow some money, say, 3 pounds,",2013-04-23
00:04:23.380,00:04:27.760,"the bank can lend him 3 pounds. And now, whenever he wants he can",2013-04-23
00:04:27.760,00:04:31.349,spend these 3 pounds. But here's the thing:,2013-04-23
00:04:31.349,00:04:34.890,Kevin can spend 3 pounds and I can spend 5,2013-04-23
00:04:34.890,00:04:39.200,"for a total of 8, despite the fact that there are only 5 pounds",2013-04-23
00:04:39.200,00:04:43.159,in the bank. New money has been born.,2013-04-23
00:04:43.159,00:04:46.570,And if we want to count all of the spendable money,2013-04-23
00:04:46.570,00:04:50.419,"on Earth, we're going to need to include this type of money, the kind that",2013-04-23
00:04:50.419,00:04:52.479,fractional reserve banking,2013-04-23
00:04:52.479,00:04:55.900,"creates. If we include that kind of money,",2013-04-23
00:04:55.900,00:04:59.160,we are now talking about a number much larger than,2013-04-23
00:04:59.160,00:05:02.419,M0. Economists call this figure,2013-04-23
00:05:02.419,00:05:05.729,M1. M1 includes all,2013-04-23
00:05:05.729,00:05:09.850,"physical currencies, as well as money that people can access quickly,",2013-04-23
00:05:09.850,00:05:12.940,"like money in checking accounts. Globally,",2013-04-23
00:05:12.940,00:05:16.410,"across all countries and all currencies, M1 is",2013-04-23
00:05:16.410,00:05:19.710,estimated to be the equivalent of 25,2013-04-23
00:05:19.710,00:05:22.690,trillion US dollars.,2013-04-23
00:05:22.690,00:05:26.580,M2 is an even broader definition of money,2013-04-23
00:05:26.590,00:05:30.419,and it includes things that you can't necessarily spend right away.,2013-04-23
00:05:30.419,00:05:33.630,"For instance, savings accounts or CDs",2013-04-23
00:05:33.630,00:05:37.199,"under a hundred thousand dollars. M2, globally,",2013-04-23
00:05:37.199,00:05:41.259,is currently estimated to be the equivalent of 60,2013-04-23
00:05:41.259,00:05:44.560,"trillion US dollars. Finally,",2013-04-23
00:05:44.560,00:05:48.500,M3. This is a broad definition of money that includes,2013-04-23
00:05:48.500,00:05:51.860,"all currencies, banknotes and coins, checking accounts,",2013-04-23
00:05:51.860,00:05:57.110,"savings accounts, small CDs and really big, long time deposits.",2013-04-23
00:05:57.110,00:06:00.880,"In the American economy, the Federal Reserve doesn't even report this figure",2013-04-23
00:06:00.880,00:06:01.539,"anymore,",2013-04-23
00:06:01.539,00:06:05.819,but as a measure of eventually spendable wealth it's real,2013-04-23
00:06:05.819,00:06:09.160,and if we consider M3 the global money supply,2013-04-23
00:06:09.160,00:06:12.350,that gives us a figure that is equivalent,2013-04-23
00:06:12.350,00:06:15.380,to 75 trillion,2013-04-23
00:06:15.380,00:06:19.389,"US dollars. Of all that money,",2013-04-23
00:06:19.389,00:06:23.150,"how much of it is yours? Well, last week",2013-04-23
00:06:23.150,00:06:26.669,"over Twitter, Mark Boadey introduced me to Global Rich List",2013-04-23
00:06:26.669,00:06:31.470,dot com. Enter your salary and figure out how you stack up,2013-04-23
00:06:31.470,00:06:34.849,against everyone else on Earth.,2013-04-23
00:06:34.849,00:06:38.710,"By the way, you can act just like a central bank",2013-04-23
00:06:38.710,00:06:42.080,and control the money supply yourself.,2013-04-23
00:06:42.080,00:06:46.919,"It is illegal, but you can technically increase the money supply",2013-04-23
00:06:46.919,00:06:50.470,by counterfeiting and you can decrease the money supply,2013-04-23
00:06:50.470,00:06:54.759,"by subtracting money. For instance,",2013-04-23
00:06:54.759,00:06:58.300,"burning it. If you burn your own money,",2013-04-23
00:06:58.300,00:07:02.509,"you become poorer, but because you've decrease the money supply,",2013-04-23
00:07:02.509,00:07:07.650,the power of everyone else's money goes up and they become a tiny tiny bit,2013-04-23
00:07:07.650,00:07:10.800,"richer. Of course, given the amount of money",2013-04-23
00:07:10.800,00:07:14.669,"on Earth and the amount that you could probably get your hands on and burn,",2013-04-23
00:07:14.669,00:07:18.470,your effect will be quite imperceptible.,2013-04-23
00:07:18.470,00:07:22.240,"One the largest amounts of cash ever burned was done by KLF,",2013-04-23
00:07:22.240,00:07:25.220,who in the nineties for reasons,2013-04-23
00:07:25.229,00:07:29.090,"no one's still quite sure of, burned a million",2013-04-23
00:07:29.090,00:07:32.849,pounds worth of cash. It took them about,2013-04-23
00:07:32.849,00:07:37.069,2 hours to burn all of that cash and they recorded the act,2013-04-23
00:07:37.069,00:07:40.090,on video. You can also destroy money,2013-04-23
00:07:40.090,00:07:43.639,"by eating it, like the rapper Tyga did. But",2013-04-23
00:07:43.639,00:07:47.220,you probably shouldn't do that either because money,2013-04-23
00:07:47.220,00:07:52.810,is dirty. A study published in Applied and Environmental Microbiology,2013-04-23
00:07:52.810,00:07:56.729,reported that the flu virus can survive on cash,2013-04-23
00:07:56.729,00:08:00.210,for 1 hour to 2 days.,2013-04-23
00:08:00.210,00:08:03.690,And other studies have found that about 7 percent of cash,2013-04-23
00:08:03.690,00:08:07.009,"carries viable strains of dangerous bacteria,",2013-04-23
00:08:07.009,00:08:10.580,like those the cause pneumonia or those that come from,2013-04-23
00:08:10.580,00:08:13.900,feces. That is a lot,2013-04-23
00:08:13.900,00:08:18.180,of germs and those germs might be high.,2013-04-23
00:08:18.180,00:08:22.020,Studies have found that 92 percent of banknotes,2013-04-23
00:08:22.020,00:08:25.729,"are contaminated with traces of illegal drugs, typically",2013-04-23
00:08:25.729,00:08:31.000,cocaine. In London that number has been as high as 99 percent.,2013-04-23
00:08:31.000,00:08:34.010,All it takes is for a few exposed,2013-04-23
00:08:34.010,00:08:37.550,bank notes to circulate normally for all of the cash,2013-04-23
00:08:37.550,00:08:42.390,"to become contaminated. Locked within the fibres of a banknote,",2013-04-23
00:08:42.390,00:08:45.900,there's an average of 28 micrograms,2013-04-23
00:08:45.900,00:08:50.020,"of cocaine, which means that in 5,000 banknotes,",2013-04-23
00:08:50.020,00:08:53.160,there's enough cocaine for an entire,2013-04-23
00:08:53.160,00:08:59.630,"line. These drug traces are nearly impossible to remove from bank notes,",2013-04-23
00:08:59.630,00:09:03.610,so there's little risk of the drugs transferring to your skin.,2013-04-23
00:09:03.610,00:09:07.410,"However, they can be detected by drug sniffing dogs",2013-04-23
00:09:07.410,00:09:11.569,"and, on more than one occasion, courts have forced police to return confiscated",2013-04-23
00:09:11.569,00:09:12.750,"cash,",2013-04-23
00:09:12.750,00:09:16.829,"because even though drug dogs detected drugs on the cash,",2013-04-23
00:09:16.829,00:09:20.040,that's just how cash is.,2013-04-23
00:09:20.040,00:09:23.110,"As if that wasn't enough, cash is",2013-04-23
00:09:23.110,00:09:26.980,"also not nutritious. Termites can eat cash,",2013-04-23
00:09:26.980,00:09:30.640,"but to us humans, the ones who love this stuff so much,",2013-04-23
