Start Time,End Time,Text,Date
00:00:00.210,00:00:02.650,"Hey, Vsauce, Michael here.",2013-05-01
00:00:02.650,00:00:12.370,"Attachment of two people's lips kissing.  The average person will spend about 20,160 minutes",2013-05-01
00:00:12.370,00:00:19.199,"of his or her life kissing. And the world record for the longest, continuous kiss is",2013-05-01
00:00:19.199,00:00:25.759,58 hours 35 minutes and 58 seconds. But why do we kiss?,2013-05-01
00:00:25.760,00:00:31.880,"I mean, if you think about it, it seems kind of weird...right? I mean, sure, today kissing",2013-05-01
00:00:31.880,00:00:39.820,"represents peace, respect, passion, love. But when the first two people in human history",2013-05-01
00:00:39.820,00:00:48.019,"kissed, were they just kind of being gross? Well, let's begin with what we do know: kissing",2013-05-01
00:00:48.019,00:00:50.539,feels good and it's good for you.,2013-05-01
00:00:50.539,00:00:57.939,"A passionate kiss burns about 2-3 calories per minute, and releases epinephryn and norepinephryn",2013-05-01
00:00:57.940,00:01:03.769,"into the blood, making your heart pump faster. Kissing more often is correlated with a",2013-05-01
00:01:03.769,00:01:09.920,reduction of bad cholesteral and perceived stress. But these positive effects didn't,2013-05-01
00:01:09.920,00:01:16.920,become widespread by accident. Why did brains and bodies that love kissing become so common?,2013-05-01
00:01:17.500,00:01:24.409,"Well, a popular story holds it that Pacman's shape was inspired by the shape of a pizza",2013-05-01
00:01:24.409,00:01:30.270,"with a slice missing. But Toru Iwatani, the creator of Pacman, admitted that this was",2013-05-01
00:01:30.270,00:01:36.740,only half-true. Pacman's shape was also inspired by rounding out the shape of the Japanese,2013-05-01
00:01:36.740,00:01:43.079,"character for ""mouth."" And it's mouths and Pacman's favorite activity, eating, which",2013-05-01
00:01:43.079,00:01:47.570,together bring us closer to the heart of the kiss.,2013-05-01
00:01:47.570,00:01:53.439,"Evolutionary psychologists have argued that what we know today as ""kissing"" may have come",2013-05-01
00:01:53.439,00:02:01.409,"from ""kiss-feeding,"" the exchange of pre-chewed food from one mouth to another. Mother birds",2013-05-01
00:02:01.409,00:02:06.570,"are famous for doing this, and many primates are frequently seen doing it as well. Not",2013-05-01
00:02:06.570,00:02:11.720,"that long ago, it was common between human mothers and their children. In fact, before",2013-05-01
00:02:11.720,00:02:18.600,"commercially produced or DIY baby-food instructions were readily available, it made a lot of sense.",2013-05-01
00:02:18.600,00:02:25.170,"Recently, Alicia Silverstone uploaded a clip of herself mouth feeding her child. It seemed",2013-05-01
