Start Time,End Time,Text,Date
00:00:00.370,00:00:04.080,"Hey, Vsauce. Michael here. Where are your fingers?",2013-06-03
00:00:05.880,00:00:10.080,Seriously. It's a pretty easy question. You should be able to answer it.,2013-06-03
00:00:10.090,00:00:13.700,But how do you know? How does,2013-06-03
00:00:13.700,00:00:18.630,"anyone know anything? You might say, well, I know where my fingers are. I'm looking",2013-06-03
00:00:18.630,00:00:19.330,right at them.,2013-06-03
00:00:19.330,00:00:23.269,"Or, I can touch them, I can feel them, they're right here and that's good.",2013-06-03
00:00:23.269,00:00:26.330,Your senses are a great way to learn things.,2013-06-03
00:00:26.330,00:00:30.869,"In fact, we have way more than the usual five senses we talk about.",2013-06-03
00:00:30.869,00:00:35.180,"For instance, your kinesthetic sense, proprioception.",2013-06-03
00:00:35.180,00:00:39.250,This is what the police evaluate during a field sobriety test.,2013-06-03
00:00:39.250,00:00:43.160,It allows you to tell where your fingers and arms and head and legs in your body,2013-06-03
00:00:43.160,00:00:44.809,is all in relation to each other,2013-06-03
00:00:44.809,00:00:48.320,without having to look or touch other things.,2013-06-03
00:00:48.320,00:00:52.670,"We have way more than five senses, we have at least twice as many",2013-06-03
00:00:52.670,00:00:57.559,"and then some. But they're not perfect. There are optical illusions,",2013-06-03
00:00:57.559,00:01:01.090,"audio illusions,",2013-06-03
00:01:01.090,00:01:04.199,"temperature sensation illusions, even tactile",2013-06-03
00:01:04.699,00:01:08.610,illusions. Can you turn your tongue upside down?,2013-06-03
00:01:08.610,00:01:11.610,"If so, perfect. Try this. Run your finger",2013-06-03
00:01:11.610,00:01:15.140,along the outer edge of the tip of your upside down,2013-06-03
00:01:15.140,00:01:19.900,"tongue. Your tongue will be able to feel  your finger, but in the wrong place.",2013-06-03
00:01:19.900,00:01:23.320,Our brains never needed to develop an understanding,2013-06-03
00:01:23.320,00:01:27.880,"of upside down tongue touch. So, when you touch the right side of your tongue",2013-06-03
00:01:27.880,00:01:32.180,when it's flipped over to your left side you perceive a sensation,2013-06-03
00:01:32.180,00:01:36.060,"on the opposite side, where your tongue  usually is but isn't",2013-06-03
00:01:36.060,00:01:39.619,when it's upside down. It's pretty freaky and cool,2013-06-03
00:01:39.619,00:01:43.299,"and a little humbling, because it shows the limits of the",2013-06-03
00:01:43.299,00:01:49.210,"accuracy of our senses, the only tools we have to get what's out there",2013-06-03
00:01:49.210,00:01:53.890,"in here. The philosophy of knowledge,",2013-06-03
