Start Time,End Time,Text,Date
00:00:00.269,00:00:03.540,"Hey, Vsauce. Michael here. But now",2013-07-20
00:00:03.540,00:00:09.300,I'm not. I'm gone like 90% of the original silent films,2013-07-20
00:00:09.300,00:00:13.009,ever made. Six of the seven wonders of the ancient world,2013-07-20
00:00:13.009,00:00:16.539,"deleted, like that text you thought twice about sending",2013-07-20
00:00:16.539,00:00:19.920,"or a Snapchat photo, right?",2013-07-20
00:00:19.920,00:00:24.439,"When Stalin decided that Trotsky was an enemy of the state,",2013-07-20
00:00:24.439,00:00:28.269,he had Trotsky removed from photos he appeared in,2013-07-20
00:00:28.269,00:00:32.160,with Lenin. Plenty of software tools and professional services,2013-07-20
00:00:32.160,00:00:35.329,allow you to do the same. Don't just,2013-07-20
00:00:35.329,00:00:39.370,"forget the actual attendees of a moment in time,",2013-07-20
00:00:39.370,00:00:43.149,delete them. But where do things go,2013-07-20
00:00:43.149,00:00:45.800,when they're deleted?,2013-07-20
00:00:45.800,00:00:50.030,The Google Ngram Viewer allows you to search words and phrases,2013-07-20
00:00:50.030,00:00:54.699,in 5.2 million books published between 1500,2013-07-20
00:00:54.699,00:00:58.329,and 2008. It's a great way to see how,2013-07-20
00:00:58.329,00:01:01.790,the words we use have changed overtime.,2013-07-20
00:01:01.790,00:01:05.640,1979 was a significant,2013-07-20
00:01:05.640,00:01:10.360,"year. According to the Ngram Viewer, it was the first year we begin to use the",2013-07-20
00:01:10.360,00:01:10.970,word,2013-07-20
00:01:10.970,00:01:14.330,delete more often than the word,2013-07-20
00:01:14.350,00:01:17.759,erase. Biological deletion,2013-07-20
00:01:17.759,00:01:22.929,still wins though. Forget is by far more pervasive in our communication,2013-07-20
00:01:22.929,00:01:26.649,but how does a computer forget?,2013-07-20
00:01:26.649,00:01:30.649,Moving a file to the trash is just the beginning.,2013-07-20
00:01:30.649,00:01:34.580,"To protect against accidental deletion, when thrown in the trash",2013-07-20
00:01:34.580,00:01:39.110,"a file remains on your computer in a temporary directory, a sort of",2013-07-20
00:01:39.110,00:01:44.610,"purgatory, where it awaits a more ultimate deletion but can be resurrected",2013-07-20
00:01:44.610,00:01:48.200,if you wish. When you empty the trash,2013-07-20
00:01:48.200,00:01:51.270,you are warned that you cannot undo the action.,2013-07-20
00:01:51.270,00:01:54.930,"But when you empty the trash, the physical space",2013-07-20
00:01:54.930,00:01:58.409,inhabited by the file isn't actually emptied.,2013-07-20
00:01:58.409,00:02:01.909,It's marked as empty. Available,2013-07-20
00:02:01.909,00:02:05.210,if and when new data needs to be stored somewhere.,2013-07-20
00:02:05.210,00:02:09.250,The file's home has become available real estate,2013-07-20
00:02:09.250,00:02:13.870,but the file itself hasn't moved out. Only the pointers,2013-07-20
00:02:13.870,00:02:18.730,have gone away. Pointers are another type of data on your drive that point to,2013-07-20
00:02:18.730,00:02:20.230,places in memory,2013-07-20
00:02:20.230,00:02:24.239,where the actual file they are referencing can be found.,2013-07-20
00:02:24.239,00:02:27.730,"They're a bit like the table of contents, which means that on most",2013-07-20
00:02:27.730,00:02:31.190,operating systems deleting a file and emptying the trash,2013-07-20
00:02:31.190,00:02:34.329,is like deleting a chapter from a book,2013-07-20
00:02:34.329,00:02:37.390,by turning to the table of contents and marking,2013-07-20
00:02:37.390,00:02:42.079,"the chapter as empty. There's nothing here, do what you want with the pages.",2013-07-20
00:02:42.079,00:02:46.489,To a computer reading the table of contents it looks like the space is,2013-07-20
00:02:46.489,00:02:49.470,empty but of course that doesn't change the fact that the contents of the,2013-07-20
00:02:49.470,00:02:50.100,chapter,2013-07-20
00:02:50.100,00:02:54.650,are still there. Special data recovery tools,2013-07-20
00:02:54.650,00:02:57.660,look through memory marked empty available,2013-07-20
00:02:57.660,00:03:01.310,"to see what's actually there. If you're lucky,",2013-07-20
00:03:01.310,00:03:04.579,"they can even find a file and save it, bring it back",2013-07-20
00:03:04.579,00:03:08.199,"mark it not available, undeleted.",2013-07-20
00:03:08.199,00:03:11.940,"But if some of the file has already been overwritten,",2013-07-20
00:03:11.940,00:03:15.730,there can be problems. The file can be,2013-07-20
00:03:15.730,00:03:19.769,"corrupted, melded together with other data like some kind of digital",2013-07-20
00:03:19.769,00:03:23.239,Frankenstein's monster. A couple years ago,2013-07-20
00:03:23.239,00:03:26.549,a laptop that belonged to photographer Melanie Willhide,2013-07-20
00:03:26.549,00:03:30.859,was stolen. It contained many of her recent digital photos.,2013-07-20
00:03:30.859,00:03:35.669,"Luckily, police were able to return the laptop to her. They found it in a car they",2013-07-20
00:03:35.669,00:03:36.489,"pulled over,",2013-07-20
00:03:36.489,00:03:41.900,but the thief had wiped the laptop's hard drive clean and had been using it,2013-07-20
00:03:41.900,00:03:43.419,for his own purposes.,2013-07-20
00:03:43.419,00:03:46.600,Data recovery experts were able to find,2013-07-20
00:03:46.600,00:03:50.040,"some of her files, still there, on the now-empty space,",2013-07-20
00:03:50.040,00:03:53.100,but the files had been slightly overwritten,2013-07-20
00:03:53.100,00:03:56.299,by things the thief had done. They'd been corrupted but in a,2013-07-20
00:03:56.299,00:04:00.510,really cool way. So cool Willhide decided to exhibit the work.,2013-07-20
00:04:00.510,00:04:03.870,"She titled the show after the thief who made it possible,",2013-07-20
00:04:03.870,00:04:06.959,"""To Adrian Rodriguez, with love.""",2013-07-20
00:04:06.959,00:04:10.209,If you want to delete the file so completely,2013-07-20
