Start Time,End Time,Text,Date
00:00:00.260,00:00:02.660,"Hey, Vsauce. Michael here.",2013-09-25
00:00:02.660,00:00:03.639,A few years ago,2013-09-25
00:00:03.639,00:00:08.200,in Minneapolis an angry dad stormed into the retail store,2013-09-25
00:00:08.200,00:00:11.580,"Target. His daughter, a high schooler,",2013-09-25
00:00:11.580,00:00:15.839,had been receiving coupons in the mail from the store for things like cribs,2013-09-25
00:00:15.839,00:00:19.779,"and diapers. Was Target encouraging his daughter,",2013-09-25
00:00:19.779,00:00:22.459,"a minor, to go out and get pregnant? well",2013-09-25
00:00:23.060,00:00:28.700,"Well, the store apologized but a few days later they heard back from the father. He",2013-09-25
00:00:28.710,00:00:29.449,told them,2013-09-25
00:00:29.449,00:00:32.860,"""a few things have been going on in my household",2013-09-25
00:00:32.860,00:00:36.500,I was unaware of. My daughter is due,2013-09-25
00:00:36.500,00:00:40.700,"in August. I owe you an apology."" You see,",2013-09-25
00:00:40.700,00:00:44.520,Target's internal algorithms have been tracking,2013-09-25
00:00:44.520,00:00:48.039,and processing his daughter's purchases and recently,2013-09-25
00:00:48.039,00:00:51.260,she'd started buying different items than usual.,2013-09-25
00:00:51.260,00:00:56.180,Things like certain vitamin supplements and scent-free soaps and lotions.,2013-09-25
00:00:56.180,00:00:59.770,Behaviors the system flagged as evidence,2013-09-25
00:00:59.770,00:01:03.559,"she could be pregnant, thus they her sent the coupons.",2013-09-25
00:01:03.559,00:01:08.350,"And they were right. Without being told,",2013-09-25
00:01:08.350,00:01:12.150,Target knew that a girl was pregnant,2013-09-25
00:01:12.150,00:01:14.930,before her own father.,2013-09-25
00:01:15.700,00:01:20.700,We are tracked and followed digitally now more than,2013-09-25
00:01:20.710,00:01:26.310,"ever before. We live in a world of 24/7 CCTV,",2013-09-25
00:01:26.310,00:01:30.880,"browser cookies, trackable debit cards and cell phones and GPS,",2013-09-25
00:01:30.880,00:01:34.640,fingerprinting and DNA analysis. But despite,2013-09-25
00:01:34.640,00:01:38.070,"all of that, every single year",2013-09-25
00:01:38.070,00:01:42.479,"in the United States alone more than 2,000 people",2013-09-25
00:01:42.479,00:01:46.439,disappear and are never found again,2013-09-25
00:01:46.439,00:01:48.219,dead or alive.,2013-09-25
00:01:48.780,00:01:53.740,Where do missing people go? How did they disappear?,2013-09-25
00:01:53.740,00:01:56.860,What if you disappeared and,2013-09-25
00:01:56.860,00:01:59.969,how do you know you haven't already,2013-09-25
00:01:59.969,00:02:04.530,"disappeared? In many cases, missing persons are the victims",2013-09-25
00:02:04.530,00:02:07.579,of unsolved or unknown crimes.,2013-09-25
00:02:07.579,00:02:11.050,They may have suffered accidents or taken their own lives,2013-09-25
00:02:11.050,00:02:16.450,and their bodies were never found. Or they may be perfectly fine and have simply,2013-09-25
00:02:16.450,00:02:21.280,"escaped their old life, old friends and family, old debt and obligations to start",2013-09-25
00:02:21.280,00:02:22.030,a new life,2013-09-25
00:02:22.030,00:02:26.220,"somewhere else, possibly as someone else.",2013-09-25
00:02:26.220,00:02:29.930,How long would it take for people to notice,2013-09-25
00:02:29.930,00:02:34.390,"if you disappeared? Well, think about it. I mean,",2013-09-25
00:02:34.390,00:02:37.980,"it sort of depends on who you are, how you live",2013-09-25
00:02:37.980,00:02:42.970,and how you disappeared. In most jurisdictions after about five to seven,2013-09-25
00:02:42.970,00:02:43.819,"years,",2013-09-25
00:02:43.819,00:02:47.150,"if no one has heard anything from you at all,",2013-09-25
00:02:47.150,00:02:51.230,you can be declared dead in absentia.,2013-09-25
00:02:51.230,00:02:53.830,This is what happened to French astronomer,2013-09-25
00:02:53.830,00:02:59.160,Guillaume Le Gentil. In the 18th century hundreds of people traveled far and wide,2013-09-25
00:02:59.170,00:03:02.340,to observe the transit of Venus from different locations,2013-09-25
00:03:02.340,00:03:06.400,on earth. They knew that by comparing their measurements they could calculate,2013-09-25
00:03:06.400,00:03:10.680,more accurately than ever before just how far away,2013-09-25
00:03:10.680,00:03:14.300,"the Sun was. So, Le Gentil",2013-09-25
00:03:14.300,00:03:17.840,left Paris in 1760 for Pondicherry,2013-09-25
00:03:17.840,00:03:21.680,in India. But after a storm blew him off course,2013-09-25
00:03:21.680,00:03:25.840,"and the British occupied Pondicherry, he was forced to spend the day",2013-09-25
00:03:25.840,00:03:29.409,"of the transit on a boat at sea, which rocked",2013-09-25
00:03:29.409,00:03:33.049,"too much for accurate measurements to be taken. Now, the next",2013-09-25
00:03:33.049,00:03:37.360,"transit would happen in 8 years. But after that, the next",2013-09-25
00:03:37.360,00:03:40.480,next transit wouldn't happen for another 100 years.,2013-09-25
00:03:40.480,00:03:45.180,"So, he stuck around. He didn't return to Paris. Instead, he built an observatory",2013-09-25
00:03:45.180,00:03:48.860,and waited. When he finally returned,2013-09-25
00:03:48.860,00:03:53.610,"to Paris, 11 years after leaving, he found that he had been declared",2013-09-25
00:03:53.610,00:03:57.140,"dead. His wife had remarried,",2013-09-25
