Start Time,End Time,Text,Date
00:00:00.110,00:00:02.350,"Hey, Vsauce. Michael here.",2014-01-21
00:00:02.350,00:00:03.760,Eating your own boogers,2014-01-21
00:00:03.760,00:00:07.490,"is gross, but it might be smart. Assuming you have",2014-01-21
00:00:07.490,00:00:11.580,"clean fingers, lung specialist Friedrich Bischinger points out that snot",2014-01-21
00:00:11.580,00:00:14.150,contains antiseptic enzymes that kill,2014-01-21
00:00:14.150,00:00:17.279,or weaken bacteria. Reintroducing,2014-01-21
00:00:17.279,00:00:22.100,those crippled microorganisms may allow your immune system to develop antibodies,2014-01-21
00:00:22.100,00:00:26.170,"in relative safety. Now, that is good to know-",2014-01-21
00:00:26.170,00:00:29.310,-nose. But is eating your own snot,2014-01-21
00:00:29.310,00:00:32.070,cannibalism(?) Self,2014-01-21
00:00:32.070,00:00:37.730,cannibalism. Just like a cow or chicken or fish or fruit or vegetable you are made out of alot of,2014-01-21
00:00:37.730,00:00:45.000,"edible things. The meat on an average human body contains 77,000 dietary calories worth",2014-01-21
00:00:45.000,00:00:50.860,"of nutritional energy. Yum(!) If you decide to become a cannibal, just don't show up late for dinner",2014-01-21
00:00:50.860,00:00:54.040,or you'll get the cold shoulder.,2014-01-21
00:00:55.940,00:00:59.270,"Jokes aside, cannibalism is a major",2014-01-21
00:00:59.270,00:01:03.620,taboo. It's off-putting at a visceral level.,2014-01-21
00:01:03.620,00:01:07.380,"Humans have dignity, they are more than just skin bags full of organs.",2014-01-21
00:01:07.390,00:01:08.150,They're more than just,2014-01-21
00:01:08.150,00:01:13.070,something to put on a plate. But human meat has been put on,2014-01-21
00:01:13.070,00:01:18.210,plates... and in bellies. There are reports of cannibalism occurring,2014-01-21
00:01:18.210,00:01:22.590,"in times of famine as a last resort, and because of",2014-01-21
00:01:22.590,00:01:27.070,"curiosity and art. In the late 1980s,",2014-01-21
00:01:27.070,00:01:30.360,artist Rick Gibson publicly ate human tonsils,2014-01-21
00:01:30.360,00:01:34.100,and other donated human parts in London and Canada.,2014-01-21
00:01:34.100,00:01:38.330,"In 2006, artist Marco Evaristti cooked and canned",2014-01-21
00:01:38.330,00:01:42.070,"meatballs prepared with his own body fat,",2014-01-21
00:01:42.070,00:01:45.990,"removed via liposuction. In 2011,",2014-01-21
00:01:45.990,00:01:49.740,Dutch TV presenters Dennis Storm and  Valerio Zeno cooked and ate,2014-01-21
00:01:49.740,00:01:53.130,pieces of each other on a TV show whose title,2014-01-21
00:01:53.130,00:01:57.280,"meant ""guinea pigs"". Because both of them lived, and",2014-01-21
00:01:57.280,00:02:00.600,"both consented to the act, they didn't do anything",2014-01-21
00:02:00.600,00:02:04.890,"illegal. One year later, a Japanese man posted",2014-01-21
00:02:04.890,00:02:10.470,"this tweet. Five diners took up his offer and on April 13th, 2012,",2014-01-21
00:02:10.470,00:02:14.549,they were served a $250 per plate meal consisting,2014-01-21
00:02:14.549,00:02:20.650,"of his genitals. A darker story occurred in 2001,",2014-01-21
00:02:20.650,00:02:24.000,when Armin Meiwes ate and killed,2014-01-21
00:02:24.000,00:02:28.200,a volunteer he found on the now defunct Cannibal Cafe.,2014-01-21
00:02:28.200,00:02:32.140,"Although his meal ostensibly consented to the menu,",2014-01-21
00:02:32.140,00:02:35.310,Meiwes was convicted of murder and,2014-01-21
00:02:35.310,00:02:38.850,"now, serving a life sentence in prison, has become",2014-01-21
00:02:38.850,00:02:43.650,"a devout vegetarian. Disgust aside, one question",2014-01-21
00:02:43.650,00:02:47.190,remains. If you were to use your taste buds,2014-01-21
00:02:48.560,00:02:50.440,to taste your,2014-01-21
00:02:50.440,00:02:54.930,"bud, what would it taste like? To be clear,",2014-01-21
00:02:54.930,00:03:00.609,taste is a sensation caused by something in your mouth chemically reacting with receptors,2014-01-21
00:03:00.609,00:03:04.420,in your taste buds. Flavor is the even more complex,2014-01-21
00:03:04.420,00:03:09.500,"experience of taste, combined with smell, and information, from the trigeminal nerve",2014-01-21
00:03:09.500,00:03:12.099,"about things like temperature, texture, pain",2014-01-21
00:03:12.099,00:03:15.640,"and pungency, as far as the cooked but otherwise",2014-01-21
00:03:15.640,00:03:19.220,"unadulterated spice-less, sauce-less flavor",2014-01-21
00:03:19.220,00:03:22.989,of human meat. The late William Seabrook,2014-01-21
00:03:22.989,00:03:26.769,"provided, in my opinion, the best description.",2014-01-21
00:03:26.769,00:03:30.819,"While in West Africa, Seabrook interviewed members of the Gear tribe,",2014-01-21
00:03:30.819,00:03:31.530,people who,2014-01-21
00:03:31.530,00:03:36.440,"had eaten human flesh and found their descriptions unsatisfactory. So,",2014-01-21
00:03:36.440,00:03:41.180,when he returned to Paris he struck a sneaky deal with an intern,2014-01-21
00:03:41.180,00:03:44.260,at the Sorbonne and obtained a chunk,2014-01-21
00:03:44.260,00:03:47.810,of human meat from an otherwise healthy body recently involved,2014-01-21
00:03:47.810,00:03:51.780,"in an accident. He carefully prepared the meat and wrote that,",2014-01-21
00:03:51.780,00:03:55.440,"quote, ""It was like good, fully developed veal.",2014-01-21
00:03:55.440,00:03:58.420,"Not young, but not yet beef. It was",2014-01-21
00:03:58.420,00:04:02.569,"mild, good meet with no other sharply defined or highly characteristic",2014-01-21
00:04:02.569,00:04:05.870,"tastes, such as, for instance, goat, high game",2014-01-21
00:04:05.870,00:04:10.489,"and pork. The steak was slightly tougher than prime veal, a little stringy, but not",2014-01-21
00:04:10.489,00:04:11.970,too tough or stringy,2014-01-21
00:04:11.970,00:04:15.760,"to be agreeably edible. The roast, from which I cut and ate",2014-01-21
00:04:15.760,00:04:19.140,"a central slice, was tender and in color,",2014-01-21
00:04:19.140,00:04:23.060,"texture, smell as well as taste strengthened my certainty",2014-01-21
00:04:23.060,00:04:26.349,"that, of all the meats we habitually know, veal",2014-01-21
00:04:26.349,00:04:29.550,is the one meat to which at this meat is accurately,2014-01-21
00:04:29.550,00:04:34.659,"comparable."" Seabrook never gave us any recipes or complementary flavor",2014-01-21
00:04:34.659,00:04:35.770,recommendations.,2014-01-21
00:04:35.770,00:04:39.810,But that brings us to this video's title's second meaning.,2014-01-21
00:04:39.810,00:04:43.430,What does human taste like?,2014-01-21
