Start Time,End Time,Text,Date
00:00:00.070,00:00:03.260,"Hey, Vsauce. Michael here.",2014-03-23
00:00:03.260,00:00:06.250,When will you die? I don't mean you,2014-03-23
00:00:06.250,00:00:10.000,"specifically, I mean the mean of you all - the average",2014-03-23
00:00:10.000,00:00:14.680,Vsauce viewer. By combining World Health Organization life tables with YouTube,2014-03-23
00:00:14.680,00:00:18.010,"analytics for Vsauce viewers, we can calculate",2014-03-23
00:00:18.010,00:00:21.710,that the average date everyone over the age of 15,2014-03-23
00:00:21.710,00:00:24.950,watching this video right now will die on is,2014-03-23
00:00:24.950,00:00:30.410,"8:42 in the morning, November 28th, 2059.",2014-03-23
00:00:34.650,00:00:37.400,The mode is in 2073.,2014-03-23
00:00:37.400,00:00:41.870,"Morbidly, but mathematically, about 340",2014-03-23
00:00:41.870,00:00:46.780,of the people who watch this video this week will not be around at this time,2014-03-23
00:00:46.780,00:00:52.240,next year. These statistics are based on averages but interestingly,2014-03-23
00:00:52.240,00:00:55.620,the average person considers him or herself anything,2014-03-23
00:00:55.620,00:01:00.160,but average. Studies have consistently shown that the,2014-03-23
00:01:00.160,00:01:05.270,average person believes he or she will live a longer and healthier life,2014-03-23
00:01:05.270,00:01:08.750,than the average person. We overestimate,2014-03-23
00:01:08.750,00:01:12.690,the likelihood that bad things will happen to other people and underestimate,2014-03-23
00:01:12.690,00:01:16.980,"the likelihood that they will happen to us. It's a natural part of our psychology,",2014-03-23
00:01:16.980,00:01:21.030,"but, yeah, we miscalculate risk in many fascinating",2014-03-23
00:01:21.030,00:01:26.000,ways. K.C. Cole points out that we are often more responsive to threats that are personal,2014-03-23
00:01:26.000,00:01:29.010,"exotic, erratic and dramatic",2014-03-23
00:01:29.010,00:01:32.620,than we are to threats that are well more likely.,2014-03-23
00:01:32.620,00:01:36.650,I love one of her examples - imagine a world where cigarettes,2014-03-23
00:01:36.650,00:01:40.600,"are harmless, but one cigarette pack",2014-03-23
00:01:40.600,00:01:43.670,out of every eighteen thousand seven hundred and fifty contains,2014-03-23
00:01:43.670,00:01:47.960,"a single cigarette laced with dynamite that, when lit,",2014-03-23
