Start Time,End Time,Text,Date
00:00:00.729,00:00:06.220,"Hey, Vsauce. Michael here. Steve Seitz",2014-04-15
00:00:06.220,00:00:11.250,and Chuck Dyer used view morphing to  digitally reveal a side of the Mona Lisa,2014-04-15
00:00:11.250,00:00:14.660,we've never seen before. What it would look like if she stared,2014-04-15
00:00:14.660,00:00:18.740,directly at us. That's her but it seems a bit,2014-04-15
00:00:18.740,00:00:22.130,"unfamiliar. I mean, there is only one iconic",2014-04-15
00:00:22.130,00:00:26.199,view of the Mona Lisa. There's only one physical object you can look at,2014-04-15
00:00:26.199,00:00:29.400,to say that you saw the Mona Lisa with your own eyes.,2014-04-15
00:00:29.400,00:00:33.100,Photographs exist. There are copies you can also look at.,2014-04-15
00:00:33.100,00:00:36.160,"There are forgeries, there are parodies but the true",2014-04-15
00:00:36.160,00:00:39.969,original Mona Lisa is in the Louvre. That's where it is.,2014-04-15
00:00:39.969,00:00:43.429,But where is this video?,2014-04-15
00:00:45.520,00:00:46.540,"Seriously,",2014-04-15
00:00:46.550,00:00:49.570,where is this video?,2014-04-15
00:00:49.570,00:00:52.629,"I mean, it's on your screen right now but it's also on a lot of",2014-04-15
00:00:52.629,00:00:55.680,"other screens. Where's the original? Well,",2014-04-15
00:00:55.680,00:00:59.949,it's stored on YouTube servers and the original export is on my hard drive,2014-04-15
00:00:59.949,00:01:03.039,but those are just instructions for making,2014-04-15
00:01:03.039,00:01:07.439,the video. This video is anywhere.,2014-04-15
00:01:07.439,00:01:11.909,"Every stream, every viewing of this video is, as Bill Thompson would say,",2014-04-15
00:01:11.909,00:01:16.669,"""a digital simulacrum of something that has no original"".",2014-04-15
00:01:18.820,00:01:23.540,"So, how does a museum curator  or an archaeologist deal with this?",2014-04-15
00:01:23.549,00:01:26.570,"Well, they are rethinking curating.",2014-04-15
00:01:26.570,00:01:29.670,"I mean, take a look at this sculpture.",2014-04-15
00:01:29.670,00:01:32.850,"""The distance from this sentence to your eye",2014-04-15
00:01:32.850,00:01:36.340,"is my sculpture."" That's pretty cool, but",2014-04-15
00:01:36.340,00:01:41.100,how do you put something like that in a museum? This sculpture and this video can be,2014-04-15
00:01:41.110,00:01:44.479,endlessly copied and every version is made out of different,2014-04-15
00:01:44.479,00:01:47.979,"stuff at different times, a bit like",2014-04-15
00:01:47.979,00:01:53.110,"your body. There's an identity crisis going on. As I discussed before,",2014-04-15
00:01:53.110,00:01:56.890,every few years nearly all of your atoms are replaced.,2014-04-15
00:01:56.890,00:02:00.710,"Old ones leave, new ones come in. Where is the original",2014-04-15
00:02:01.780,00:02:03.240,you?,2014-04-15
00:02:03.240,00:02:09.319,"Like this video, you are really just the result of a set of instructions being",2014-04-15
00:02:09.319,00:02:13.170,"followed. And in our cases, interestingly,  those instructions",2014-04-15
00:02:13.170,00:02:18.730,are kind of forgeries. 'The $12 Million Stuffed Shark',2014-04-15
00:02:18.730,00:02:22.599,"is a great book about the art world. It mentions that, at one point in history,",2014-04-15
00:02:22.599,00:02:26.390,there were 600 Rembrandt's hanging in museums,2014-04-15
00:02:26.390,00:02:29.770,and 350 Rembrandt's in private collections.,2014-04-15
00:02:29.770,00:02:34.900,The only problem is Rembrandt scholars say that Rembrandt only ever made,2014-04-15
00:02:34.900,00:02:39.280,"320 paintings. Mistaken identity,",2014-04-15
00:02:39.280,00:02:43.349,forgeries and phonies have been around for a long time.,2014-04-15
00:02:43.349,00:02:48.030,"In 1496 a young Michelangelo, the same Michelangelo that painted",2014-04-15
00:02:48.030,00:02:53.300,"this, forged a statue. He treated the statue with acid to make it look",2014-04-15
00:02:53.300,00:02:56.280,"not like his own work but like the work of ancient Greeks or Romans,",2014-04-15
00:02:56.280,00:03:02.280,"so he could sell it for more money. But really, what's wrong with a forgery?",2014-04-15
00:03:02.280,00:03:06.459,"I mean, sure, supporting forgeries is like supporting plagiarism but as far as",2014-04-15
00:03:06.459,00:03:10.830,"intrinsic aesthetic properties go, what's the difference?",2014-04-15
00:03:10.830,00:03:16.180,"Whether painted by Da Vinci, or a dog, or copied perfectly by a robot,",2014-04-15
00:03:16.180,00:03:20.349,wouldn't the Mona Lisa smile just as mysteriously,2014-04-15
00:03:20.349,00:03:23.659,"and cooly? Well, here's the thing.",2014-04-15
00:03:23.659,00:03:28.120,"We feel like the original, the Mona Lisa Da Vinci originally made, has",2014-04-15
00:03:28.120,00:03:31.860,an aura about it. As Richard Wiseman discussed,2014-04-15
00:03:31.860,00:03:36.750,in Quirkology - a great book - psychologist Paul Rosen once studied just how obsessed,2014-04-15
00:03:36.750,00:03:38.260,"we are with relics,",2014-04-15
00:03:38.260,00:03:42.440,things important merely because of their auras. He found that people were more,2014-04-15
00:03:42.440,00:03:44.340,willing to wear a sweater,2014-04-15
00:03:44.340,00:03:48.569,that had been dropped in dog poop than they were to wear a sweater they had been told,2014-04-15
00:03:48.569,00:03:49.390,what was once,2014-04-15
00:03:49.390,00:03:53.650,owned by a mass murderer. We are influenced by auras.,2014-04-15
00:03:53.650,00:03:59.129,"Right now, I am in Mougin. The city in southeastern France where Picasso",2014-04-15
