Start Time,End Time,Text,Date
00:00:00.180,00:00:02.700,"Hey, Vsauce. Michael here",2014-08-13
00:00:02.700,00:00:07.839,In 1934 Webster's dictionary gave birth to a new word,2014-08-13
00:00:07.839,00:00:11.410,by mistake. Their chemistry editor,2014-08-13
00:00:11.410,00:00:15.309,"Austin N Paterson submitted a simple entry: ""D ",2014-08-13
00:00:15.309,00:00:18.390,"or D abbreviation for density"".",2014-08-13
00:00:18.390,00:00:22.490,"Nothing wrong with that, but the entry was misread",2014-08-13
00:00:22.490,00:00:25.800,and 'dord' was added to the dictionary.,2014-08-13
00:00:25.800,00:00:30.560,'Dord' was an accidental word for thirteen years before the mistake was,2014-08-13
00:00:30.560,00:00:31.359,discovered,2014-08-13
00:00:31.359,00:00:36.399,"and its wordship revoked. Let's have fun with words today,",2014-08-13
00:00:36.399,00:00:40.550,"but first, what's the deal with first?",2014-08-13
00:00:40.550,00:00:44.950,"Or for that matter, second? If you were in position three",2014-08-13
00:00:44.950,00:00:48.860,"you're in third place. Position 5, fifth.",2014-08-13
00:00:48.860,00:00:51.180,Position 197,2014-08-13
00:00:51.190,00:00:54.260,one hundred and ninety-seventh. Pretty simple.,2014-08-13
00:00:54.260,00:00:58.730,So why do positions 1 and 2 give us first and second?,2014-08-13
00:00:58.730,00:01:01.890,Shouldn't they be 'oneth' and 'twoth'?,2014-08-13
00:01:01.890,00:01:05.030,"Well, maybe. But English loves",2014-08-13
00:01:05.030,00:01:10.080,collateral adjectives. Adjectives derived from different roots than the nouns,2014-08-13
00:01:10.080,00:01:14.090,"they describe. There are plenty of derived adjectives, don't get me wrong.",2014-08-13
00:01:14.090,00:01:15.140,A bunch of clouds,2014-08-13
00:01:15.140,00:01:18.520,"make the day cloudy, friends are friendly,",2014-08-13
00:01:18.520,00:01:23.250,poets are poetic. Things with a lot of smell to them are smelly,2014-08-13
00:01:23.250,00:01:26.780,but the Moon is not Moonly.,2014-08-13
00:01:26.780,00:01:30.060,The Moon is lunar.,2014-08-13
00:01:30.060,00:01:33.740,Collateral adjectives are everywhere.,2014-08-13
00:01:33.740,00:01:38.660,Mouth stuff is oral. Bees are apian.,2014-08-13
00:01:38.660,00:01:41.740,Some nouns have both. Fathers can be,2014-08-13
00:01:41.750,00:01:44.250,fatherly or paternal .,2014-08-13
00:01:44.250,00:01:50.420,And a setting filled with fog can be foggy or brumous.,2014-08-13
00:01:50.420,00:01:52.479,It's often said that no word,2014-08-13
00:01:52.479,00:01:56.140,rhymes with orange. Is that true?,2014-08-13
00:01:56.140,00:02:00.240,"Well, rhyming can be controversial because it often depends on pronunciation,",2014-08-13
00:02:00.240,00:02:04.259,accent and can be forced. Especially if you use multiple,2014-08-13
00:02:04.259,00:02:08.009,"words, you can force orange to rhyme with door hinge,",2014-08-13
00:02:08.009,00:02:11.910,if you want. But what we want is a perfect rhyme.,2014-08-13
00:02:11.910,00:02:15.430,A perfect rhyme is what occurs between two words,2014-08-13
00:02:15.430,00:02:20.910,like tickle and pickle. They are perfect rhymes because the final stressed,2014-08-13
00:02:20.910,00:02:25.230,vowel sound and all the sounds afterwards are identical.,2014-08-13
00:02:25.230,00:02:29.260,"Identical doesn't rhyme with pickle, because even though they both",2014-08-13
00:02:29.260,00:02:33.260,"end with 'ickle', identical has it stress in the wrong place.",2014-08-13
00:02:33.260,00:02:36.900,We could rhyme them if we pronounced it not identical,2014-08-13
00:02:36.900,00:02:40.650,"but instead identical. With that in mind,",2014-08-13
00:02:40.650,00:02:46.250,"orange does have perfect rhymes. They just happen to be extremely obscure,",2014-08-13
00:02:46.250,00:02:49.250,"like 'Blorenge', a hill in Wales.",2014-08-13
00:02:49.250,00:02:54.360,"Silver also has a perfect rhyme: chilver, a female lamb.",2014-08-13
00:02:54.360,00:02:58.319,Think Fact delineated even more words we often say don't have rhymes but,2014-08-13
00:02:58.319,00:03:02.069,"actually do. Point is, orange does have",2014-08-13
00:03:02.069,00:03:05.390,"perfect rhymes, and even if it didn't, well,",2014-08-13
00:03:05.390,00:03:09.409,"that wouldn't make it special. Sure, monosyllabic words",2014-08-13
00:03:09.409,00:03:13.840,tend to rhyme with other words. It's believed there are only about 100 single syllable,2014-08-13
00:03:13.840,00:03:15.220,words that have no rhyme.,2014-08-13
00:03:15.220,00:03:20.000,"For instance, wolf, sixth, depth and filmed.",2014-08-13
00:03:20.000,00:03:22.340,"But considering words of all lengths,",2014-08-13
00:03:22.340,00:03:25.450,it's been calculated that most English words,2014-08-13
00:03:25.450,00:03:29.090,don't rhyme with anything. Don't believe me?,2014-08-13
00:03:29.090,00:03:32.440,"Well, leave a comment below. The word 'comment'",2014-08-13
00:03:32.440,00:03:36.750,"rhymes with nothing, nor does husband, sandwich,",2014-08-13
00:03:36.750,00:03:40.739,"liquid, penguin, chimney, empty,",2014-08-13
00:03:40.739,00:03:44.230,"and, of course, 'nothing' rhymes with nothing.",2014-08-13
00:03:44.230,00:03:48.030,Identical rhymes are even more perfect,2014-08-13
00:03:48.030,00:03:52.180,than perfect rhymes but they become so identical at that point,2014-08-13
00:03:52.180,00:03:55.819,it's a little obvious and not really appreciated.,2014-08-13
00:03:55.819,00:04:00.000,Identical rhymes occur when the consonant sound before the final stressed vowel,2014-08-13
00:04:00.000,00:04:03.220,between two words are also identical.,2014-08-13
00:04:03.220,00:04:07.180,Sun and gun are perfect rhymes. But gun,2014-08-13
00:04:07.180,00:04:10.580,and begun are identical rhymes. So are,2014-08-13
00:04:10.580,00:04:13.599,"offend and defend, or homonyms like",2014-08-13
