Start Time,End Time,Text,Date
00:00:00.190,00:00:02.850,"Hey Vsauce, Michael here.",2014-11-11
00:00:05.109,00:00:09.320,"I'm sorry. Look, I didn't name myself but apparently",2014-11-11
00:00:09.320,00:00:13.889,Michael is the ninth most disliked baby name,2014-11-11
00:00:13.889,00:00:15.109,for a boy - ,2014-11-11
00:00:15.300,00:00:18.340,according to a survey by BabyNameWizard.com,2014-11-11
00:00:18.640,00:00:21.439,At least it didn't top the charts like the rhyming,2014-11-11
00:00:21.440,00:00:26.360," a 'den' names - Jayden, Brayden, Aiden.",2014-11-11
00:00:26.360,00:00:28.260,The most disliked,2014-11-11
00:00:28.269,00:00:31.550,"name for a baby girl, by the way, was",2014-11-11
00:00:31.550,00:00:32.910,Nevaeh - ,2014-11-11
00:00:33.400,00:00:35.060,'heaven' backwards.,2014-11-11
00:00:35.640,00:00:39.140,Names can be more than just controversial - they can also be,2014-11-11
00:00:39.149,00:00:42.689,"just plain wrong, or misleading.",2014-11-11
00:00:42.689,00:00:44.089,MISNOMERS,2014-11-11
00:00:44.440,00:00:46.680,And I'm not talking about the daughter of Mr. Nomer.,2014-11-11
00:00:49.580,00:00:51.640,Over the summer I went to Singapore,2014-11-11
00:00:51.640,00:00:54.870,and I saw many many things. I saw,2014-11-11
00:00:54.870,00:00:59.489,"an infinity pool, the world's largest column-less glass house,",2014-11-11
00:00:59.489,00:01:03.010,"beautiful beautiful orchids, including",2014-11-11
00:01:03.010,00:01:07.150,the laboratories where scientists genetically design custom orchids,2014-11-11
00:01:07.150,00:01:10.330,and very very,2014-11-11
00:01:10.330,00:01:14.920,humid air that condensed all over my cool glasses.,2014-11-11
00:01:14.920,00:01:17.960,But even after I cleaned my glasses off,2014-11-11
00:01:17.960,00:01:21.100,I didn't see any Lions.,2014-11-11
00:01:21.100,00:01:23.360,"In fact, it's believed that no Lions have ever",2014-11-11
00:01:23.369,00:01:24.840,naturally lived,2014-11-11
00:01:24.840,00:01:30.100,"in Singapore, even though Singapore comes from a Malay word for",2014-11-11
00:01:30.940,00:01:32.600,Lion City.,2014-11-11
00:01:32.980,00:01:37.080,"It's believed that in 1299 when Sang Nila Utama named Singapore,",2014-11-11
