Start Time,End Time,Text,Date
00:00:00.329,00:00:04.839,"Hey, Vsauce. Michael here. Do you want to be infected with Ebola",2015-03-07
00:00:04.839,00:00:08.370,without having to leave your own home or deal with other people?,2015-03-07
00:00:08.370,00:00:13.670,"Well, you might be in luck. You can already download an Ebola virus",2015-03-07
00:00:13.670,00:00:14.380,genome.,2015-03-07
00:00:14.380,00:00:17.770,"Right here on the Internet, right now. And if you're willing to wait",2015-03-07
00:00:17.770,00:00:21.949,a few years for 3D bioprinting technology to progress,2015-03-07
00:00:21.949,00:00:26.720,"a little bit, you can just acquire one then, submit the genome to it",2015-03-07
00:00:26.720,00:00:30.250,and ta da! All you can print Ebola.,2015-03-07
00:00:30.250,00:00:35.940,Or anthrax or whatever it is you wish to mass-produce at home,2015-03-07
00:00:35.940,00:00:38.380,to wipe out humanity.,2015-03-07
00:00:40.680,00:00:42.520,Are humans going to go extinct,2015-03-07
00:00:42.520,00:00:46.530,soon? Will human extinction be,2015-03-07
00:00:46.530,00:00:49.989,anthropogenic? That is the result of human,2015-03-07
00:00:49.989,00:00:53.550,action. Or will it be one of the good old-fashioned kinds,2015-03-07
00:00:53.550,00:00:57.449,of extinction Earth's history knows pretty well?,2015-03-07
00:00:57.449,00:01:02.359,"The Global Catastrophic Risks Survey, issued by Oxford University's",2015-03-07
00:01:02.359,00:01:06.470,Future of Humanity Institute placed our risk of extinction,2015-03-07
00:01:06.470,00:01:10.950,before the year 2100 at 19%.,2015-03-07
00:01:10.950,00:01:15.970,"Now, you might be thinking ""whatever, blah blah blah armageddon"".",2015-03-07
00:01:15.970,00:01:19.400,"""It'll be okay, humans are too smart",2015-03-07
00:01:19.400,00:01:22.860,"to go extinct."" Maybe you're right.",2015-03-07
00:01:22.860,00:01:25.570,But it's difficult to predict the distant future,2015-03-07
00:01:25.570,00:01:29.010,with a lot of certainty. What's really cool though,2015-03-07
00:01:29.010,00:01:32.990,"is that if you embrace that uncertainty, a simple argument",2015-03-07
00:01:32.990,00:01:37.330,can show that human extinction soon is actually,2015-03-07
00:01:37.330,00:01:41.360,more probable. It's called the Doomsday,2015-03-07
00:01:41.360,00:01:44.380,argument. Imagine a giant,2015-03-07
00:01:44.380,00:01:47.540,urn that contains either 10 balls,2015-03-07
00:01:47.540,00:01:51.259,"numbered 1 to 10, or a million balls",2015-03-07
00:01:51.259,00:01:54.399,"numbered 1 to a million. Now, you don't know",2015-03-07
00:01:54.399,00:01:58.000,"which is the case, but you are allowed to pull out",2015-03-07
00:01:58.000,00:02:01.289,one ball. You go ahead and do that,2015-03-07
00:02:01.289,00:02:05.770,and it is ball number 4.,2015-03-07
00:02:05.770,00:02:10.000,That's pretty strong evidence in favour of the 10 ball condition,2015-03-07
00:02:10.000,00:02:13.750,because drawing a four from a set of 1 through 10,2015-03-07
00:02:13.750,00:02:18.370,is a one in 10 chance. But drawing four from a million different numbers,2015-03-07
00:02:18.370,00:02:21.650,is a one in a million chance.,2015-03-07
00:02:21.650,00:02:25.100,By analogy you are also a numbered,2015-03-07
00:02:25.110,00:02:28.470,ball. You are a human who knows,2015-03-07
00:02:28.470,00:02:31.790,approximately what your birth number is.,2015-03-07
00:02:31.790,00:02:35.049,It's probably somewhere around 100,2015-03-07
00:02:35.049,00:02:38.120,billion. That's how many other humans,2015-03-07
00:02:38.120,00:02:41.540,were most likely born before you were.,2015-03-07
00:02:41.540,00:02:45.040,"Importantly, you didn't get to decide which birth number",2015-03-07
00:02:45.040,00:02:49.170,"you would have. So, just like the number for a ball,",2015-03-07
00:02:49.170,00:02:53.420,you are a random sample from the set of all humans,2015-03-07
00:02:53.420,00:02:57.549,who will ever live. The Doomsday argument points out,2015-03-07
00:02:57.549,00:03:02.519,that from 200 billion people there's a 50 percent chance that a randomly chosen,2015-03-07
00:03:02.519,00:03:03.540,"person,",2015-03-07
00:03:03.540,00:03:06.810,"like you, would be born in the first one hundred billion.",2015-03-07
00:03:06.810,00:03:09.870,"Whereas if there will be 10 trillion humans,",2015-03-07
00:03:09.870,00:03:13.950,"there's only a one percent chance that any given human,",2015-03-07
00:03:13.950,00:03:17.209,"say you, would happen to be born within the first",2015-03-07
00:03:17.209,00:03:21.440,100 billion. Either you are special,2015-03-07
00:03:21.440,00:03:27.050,and lucky to be born so improbably early in the story of humanity,2015-03-07
00:03:27.050,00:03:30.390,or your birth number is to be expected,2015-03-07
00:03:30.390,00:03:33.840,because there will not be tens of trillions of humans.,2015-03-07
00:03:33.840,00:03:37.390,Human extinction will be sooner,2015-03-07
00:03:37.390,00:03:41.730,rather than later. But before you become,2015-03-07
00:03:41.730,00:03:46.440,"too convinced that the end is nigh, keep in mind that the Doomsday argument is",2015-03-07
00:03:46.440,00:03:47.240,not,2015-03-07
00:03:47.240,00:03:50.730,uncontroversial. One problem it might have,2015-03-07
00:03:50.730,00:03:54.560,is a reference class problem. Are you really a,2015-03-07
00:03:54.560,00:03:57.920,random sample from the set of all humans who will ever,2015-03-07
00:03:57.920,00:04:03.020,"be born? Well, if you believe that in the not so distant future",2015-03-07
00:04:03.020,00:04:06.420,humans will be quite different than they are today.,2015-03-07
00:04:06.420,00:04:09.460,"For instance, there'll be full of more 3D printed",2015-03-07
00:04:09.460,00:04:13.800,organs. The mere fact that right now there aren't very many humans,2015-03-07
00:04:13.800,00:04:17.660,with that trait could be evidence that you aren't a random sample from the,2015-03-07
00:04:17.660,00:04:18.920,"set of all humans,",2015-03-07
00:04:18.920,00:04:22.150,just from the set of all humans like,2015-03-07
00:04:22.150,00:04:25.960,"you, like does around you. Those born",2015-03-07
00:04:25.960,00:04:29.650,earlier in human history. Also,2015-03-07
00:04:29.650,00:04:32.910,the Doomsday argument doesn't consider the likelihoods,2015-03-07
00:04:32.910,00:04:36.060,of actual threats or human advantages,2015-03-07
00:04:36.060,00:04:39.630,over those threats in the future. It just assumes that,2015-03-07
00:04:39.630,00:04:43.180,we don't know which way the balance will lie; that,2015-03-07
00:04:43.180,00:04:46.610,human extinction soon and human extinction,2015-03-07
00:04:46.610,00:04:52.530,later are equally likely. But maybe you don't believe that.,2015-03-07
00:04:52.530,00:04:55.540,Maybe you are convinced that human ingenuity will,2015-03-07
00:04:55.540,00:04:58.960,always stay one step ahead of any extinction event,2015-03-07
00:04:58.960,00:05:02.150,"thrown at it. You could be right,",2015-03-07
00:05:02.150,00:05:05.700,but there's reason to doubt that optimism.,2015-03-07
00:05:05.700,00:05:09.900,"For example, the Fermi paradox.",2015-03-07
00:05:09.900,00:05:13.900,If it is likely that intelligent life forms in our universe are capable,2015-03-07
00:05:13.910,00:05:15.530,of living for billions,2015-03-07
00:05:15.530,00:05:20.199,"and billions of years, where are they?",2015-03-07
00:05:20.199,00:05:24.250,Why are the skies so silent? Perhaps,2015-03-07
00:05:24.250,00:05:28.250,it is because extinction level threat events are just,2015-03-07
00:05:28.250,00:05:31.860,too common for intelligent life anywhere,2015-03-07
00:05:31.860,00:05:33.680,to ever catch up.,2015-03-07
