Start Time,End Time,Text,Date
00:00:01.439,00:00:03.310,"Hey, Vsauce.",2015-03-20
00:00:03.310,00:00:04.710,Michael here.,2015-03-20
00:00:06.760,00:00:08.639,Not knowing what to do with your hands,2015-03-20
00:00:09.820,00:00:11.980,or offering a handshake,2015-03-20
00:00:11.990,00:00:15.690,when the other person offers a fist bump.,2015-03-20
00:00:23.140,00:00:24.640,Forgetting someone's name...,2015-03-20
00:00:30.720,00:00:35.280,Not having anything to say and forgetting your phone at home so you can't,2015-03-20
00:00:35.290,00:00:39.320,be distracted by it. Getting caught staring at a stranger.,2015-03-20
00:00:39.320,00:00:42.940,Striking up a conversation with someone you don't know in a bathroom.,2015-03-20
00:00:42.940,00:00:46.489,"Someone oversharing, telling a group",2015-03-20
00:00:46.489,00:00:51.800,too much information. Overhearing a couple breaking up.,2015-03-20
00:00:51.800,00:00:56.790,"Noticing food in someone's teeth but not telling them and, well, now it's been too",2015-03-20
00:00:56.790,00:00:58.530,long and bringing up would be weird.,2015-03-20
00:00:58.530,00:01:02.390,Smelling a fart in an elevator that wasn't yours,2015-03-20
00:01:02.390,00:01:06.690,"but, well, now you can't even react to it or mention that you've noticed it",2015-03-20
00:01:06.690,00:01:10.880,or pretend to even know what a fart is. All of those things,2015-03-20
00:01:10.880,00:01:12.760,are awkward.,2015-03-20
00:01:14.200,00:01:15.260,We don't like,2015-03-20
00:01:15.270,00:01:18.890,"awkwardness. It makes us uncomfortable, cringe.",2015-03-20
00:01:19.840,00:01:22.480,But what is awkwardness?,2015-03-20
00:01:22.960,00:01:28.040,Why is it good and who is the main character,2015-03-20
00:01:28.049,00:01:30.760,of the universe?,2015-03-20
00:01:30.760,00:01:35.830,To really understand awkwardness we need to put it in context with the entire,2015-03-20
00:01:35.830,00:01:38.890,family of forces that guide social behaviour.,2015-03-20
00:01:39.460,00:01:43.420,Think of this sheet of cardboard as a list all possible behaviours.,2015-03-20
00:01:43.430,00:01:47.270,It's not infinite because of the limits of science and biology.,2015-03-20
00:01:47.270,00:01:51.370,You can't move faster than light or be in two places at once.,2015-03-20
00:01:51.370,00:01:54.800,You can't wear pants made out of molten lead.,2015-03-20
00:01:54.800,00:01:58.920,"Next, there are legal limits - the laws of the state.",2015-03-20
00:01:58.920,00:02:03.340,"They delineate what you agree not to do, lest the authorities",2015-03-20
00:02:03.340,00:02:07.430,"punish you - murder, stealing, speeding. What's left",2015-03-20
00:02:07.430,00:02:11.470,is molded by the finder tool of social expectations.,2015-03-20
00:02:11.470,00:02:15.000,It's not illegal to chew with your mouth open or,2015-03-20
00:02:15.000,00:02:18.210,not cover a sneeze on a crowded bus or,2015-03-20
00:02:18.210,00:02:21.590,"act disrespectfully, but it is frowned upon.",2015-03-20
00:02:21.590,00:02:25.459,"Punished not by the police, but by social ostracism,",2015-03-20
00:02:25.460,00:02:29.170,"public opprobrium. Being called rude,",2015-03-20
00:02:29.170,00:02:32.180,"gross, mean, annoying.",2015-03-20
00:02:32.180,00:02:36.010,Awkwardness is the finest tool. It sands,2015-03-20
00:02:36.010,00:02:40.819,social dynamics by smoothing out what even etiquette doesn't rule on.,2015-03-20
00:02:40.819,00:02:45.690,It's not a violation of the laws of physics to accidentally hug someone,2015-03-20
00:02:45.690,00:02:49.090,for longer than they expected. It's not against the law,2015-03-20
00:02:49.090,00:02:52.750,either. And the etiquette for how long a hug should last,2015-03-20
00:02:52.750,00:02:56.280,isn't black-and-white. But it is,2015-03-20
00:02:56.280,00:03:01.780,"awkward. Like touching a hot stove or getting a parking fine or losing friends,",2015-03-20
00:03:01.780,00:03:05.870,awkwardness nudges us to avoid certain actions in the future,2015-03-20
00:03:05.870,00:03:10.599,and smooth things out when they happen. People who demonstrate,2015-03-20
00:03:10.599,00:03:12.569,self-consciousness when needed,2015-03-20
00:03:12.569,00:03:15.980,"are communicating cooperative intentions,",2015-03-20
00:03:15.980,00:03:20.530,"which helps them get along well with others. It's no coincidence that brains,",2015-03-20
00:03:20.530,00:03:24.780,"susceptible to feeling occasional awkwardness, would become so common.",2015-03-20
00:03:24.780,00:03:27.950,"They're successful at cooperating,",2015-03-20
00:03:27.950,00:03:32.799,at social life. Feeling awkward shows that you understand,2015-03-20
00:03:32.799,00:03:36.810,and are keen on smooth social exchanges.,2015-03-20
00:03:36.810,00:03:40.970,"Now, too much or too little concern for social rules",2015-03-20
00:03:40.970,00:03:44.600,"isn't healthy, but researchers found that just the right",2015-03-20
00:03:44.600,00:03:46.660,amount is great.,2015-03-20
00:03:46.660,00:03:49.930,When a person shows remorse or embarrassment or,2015-03-20
00:03:49.930,00:03:53.070,"awkward discomfort, when appropriate,",2015-03-20
00:03:53.070,00:03:57.460,"others perceive them as being more trustworthy, and their actions as",2015-03-20
00:03:57.460,00:04:00.670,more forgivable. And it's not just perception.,2015-03-20
00:04:00.670,00:04:05.460,Such individuals also tend to be more objectively prosocial when tested.,2015-03-20
00:04:05.460,00:04:11.720,"Kinder, more generous. Even when a person is completely oblivious to a faux pas",2015-03-20
00:04:11.720,00:04:12.680,"they've committed,",2015-03-20
00:04:13.640,00:04:15.900,awkwardness still arises.,2015-03-20
00:04:16.120,00:04:20.239,People around them can feel uncomfortable. It's called,2015-03-20
00:04:20.239,00:04:23.520,vicarious embarrassment and it's a function,2015-03-20
00:04:23.520,00:04:27.220,of empathy - the ability to feel what others feel,2015-03-20
00:04:27.220,00:04:30.350,"or will feel, when",2015-03-20
00:04:30.350,00:04:34.340,or if they realize what they've just done.,2015-03-20
00:04:34.340,00:04:37.540,"The more 'EEE' someone is, that is",2015-03-20
00:04:37.540,00:04:41.430,"easily sympathetically embarrassed, the harder it is for them to sit through",2015-03-20
00:04:41.430,00:04:43.920,"other people's cringe-inducing moments,",2015-03-20
00:04:43.920,00:04:47.100,even fictional once like in cringe comedy.,2015-03-20
00:04:47.760,00:04:51.940,Researchers found that being more easily and pathetically embarrassed,2015-03-20
00:04:51.950,00:04:55.470,does not correlate to be more easily embarrassed yourself.,2015-03-20
00:04:55.470,00:04:59.180,"Instead, it's linked to being more empathetic,",2015-03-20
00:04:59.180,00:05:03.700,an important capacity for social creatures to have. Our seemingly,2015-03-20
00:05:03.700,00:05:07.550,counter-intuitive attraction to viewing cringing moments,2015-03-20
00:05:07.550,00:05:12.840,"like, say, bad American Idol auditions, is perhaps then just a light form",2015-03-20
00:05:12.840,00:05:16.480,of morbid curiosity. You may think that,2015-03-20
00:05:16.480,00:05:19.810,awkwardness is totally different from physical pain,2015-03-20
00:05:19.810,00:05:22.210,or outright name-calling.,2015-03-20
00:05:22.210,00:05:25.150,"But your brain would disagree. You see,",2015-03-20
00:05:25.150,00:05:29.630,"researchers found that social missteps activate, among other regions,",2015-03-20
00:05:29.630,00:05:33.110,the secondary somatosensory cortex and,2015-03-20
00:05:33.110,00:05:37.780,dorsal posterior insula - areas of the brain that are also connected,2015-03-20
00:05:37.780,00:05:41.480,to the sensation of physical pain. Our brains,2015-03-20
00:05:41.480,00:05:45.460,process the breaking of social standards and the breaking of,2015-03-20
00:05:45.460,00:05:49.450,bones through similar neural pathways. Likewise,2015-03-20
00:05:49.450,00:05:53.680,the same sympathetic nervous system that mobilizes you to deal with physical,2015-03-20
00:05:53.680,00:05:54.290,"threats,",2015-03-20
00:05:54.290,00:05:58.680,"""fight or flight"", is activated by social challenges",2015-03-20
00:05:58.680,00:06:01.840,where awkwardness or embarrassment,2015-03-20
00:06:01.840,00:06:05.970,might be at stake. Like events where you are very aware,2015-03-20
00:06:05.970,00:06:10.460,of being watched. Speaking in front of a group or,2015-03-20
00:06:10.460,00:06:14.570,embarrassing yourself in front of onlookers or having nothing to say,2015-03-20
00:06:14.570,00:06:15.990,on a first date.,2015-03-20
00:06:19.440,00:06:20.680,Awkward silence...,2015-03-20
00:06:22.100,00:06:25.120,"Your blood pressure increases, causing you to overheat",2015-03-20
00:06:25.920,00:06:26.740,and sweat.,2015-03-20
00:06:27.320,00:06:28.560,Oxygen is needed for,2015-03-20
00:06:28.570,00:06:33.950,"fighting and running, so breathing increases and digestion shuts down, causing",2015-03-20
00:06:33.950,00:06:37.310,nausea and butterflies in your stomach.,2015-03-20
00:06:37.310,00:06:41.660,Your body instinctively contracts into a protective fetal position and,2015-03-20
00:06:41.660,00:06:45.120,fighting that reaction to act natural makes you shake.,2015-03-20
00:06:45.120,00:06:49.790,Blood vessels in your extremities contract to prioritize major organs,2015-03-20
00:06:49.790,00:06:51.500,leaving you with cold fingers,2015-03-20
00:06:51.500,00:06:55.280,and toes and nose. These symptoms don't,2015-03-20
00:06:55.280,00:06:59.510,"alleviate awkwardness, they compound it.",2015-03-20
00:06:59.510,00:07:01.240,But that's history's fault.,2015-03-20
