Start Time,End Time,Text,Date
00:00:05.805,00:00:09.342,"- If I asked you to show me a picture of your mother,",2017-02-22
00:00:09.375,00:00:13.246,"you wouldn't show me a, uh, closeup shot of her elbow.",2017-02-22
00:00:13.279,00:00:15.581,"<i> But you could,  and you'd be right.</i>",2017-02-22
00:00:15.614,00:00:17.717,"<i> That would be a photo of her,</i>",2017-02-22
00:00:17.750,00:00:21.387,<i> but it wouldn't feel right  because it's not her face.</i>,2017-02-22
00:00:21.420,00:00:24.257,<i> That's how important faces are  to us.</i>,2017-02-22
00:00:24.290,00:00:27.226,<i> We're going to see if forcing  a facial expression</i>,2017-02-22
00:00:27.259,00:00:28.728,<i> can change the way we feel.</i>,2017-02-22
00:00:28.761,00:00:31.798,- Are you comfortable handling dog feces?,2017-02-22
00:00:31.831,00:00:33.299,Okay.,2017-02-22
00:00:33.332,00:00:34.634,<i>- And if you remove the ability</i>,2017-02-22
00:00:34.667,00:00:36.436,"<i> to make facial expressions,</i>",2017-02-22
00:00:36.469,00:00:39.238,<i> will it affect how you  perceive emotions in others?</i>,2017-02-22
00:00:39.271,00:00:40.273,- What? - No.,2017-02-22
00:00:40.306,00:00:42.141,- How could that--that--no.,2017-02-22
00:00:42.174,00:00:43.543,- I don't think so.,2017-02-22
00:00:43.576,00:00:48.214,- And what are we saying by raising an eyebrow?,2017-02-22
00:00:48.247,00:00:50.483,Do you know?,2017-02-22
00:00:50.516,00:00:53.486,<i> [electronic music]</i>,2017-02-22
00:00:53.519,00:01:00.460,<i> ♪ ♪</i>,2017-02-22
00:01:03.362,00:01:07.600,Why does doing this make me look angry?,2017-02-22
00:01:07.633,00:01:11.104,And why does doing this make me look so happy?,2017-02-22
00:01:11.137,00:01:12.872,Where does all this stuff come from?,2017-02-22
00:01:12.905,00:01:15.842,"When it comes to interpersonal communication,",2017-02-22
00:01:15.875,00:01:18.778,"it's easy to think that speech dominates,",2017-02-22
00:01:18.811,00:01:22.348,"but yet, we have hairless faces.",2017-02-22
00:01:22.381,00:01:23.850,<i> That's very unique  among mammals</i>,2017-02-22
00:01:23.883,00:01:26.452,<i> that are easy  to see expressions on.</i>,2017-02-22
00:01:26.485,00:01:29.189,<i> Facial expressions are   shared across humanity.</i>,2017-02-22
00:01:29.688,00:01:34.527,<i> A smile is a smile  in any language.</i>,2017-02-22
00:01:34.560,00:01:39.265,Our faces seem uniquely adapted for communication.,2017-02-22
00:01:39.298,00:01:42.201,"<i> Before we developed language,  facial expressions</i>",2017-02-22
00:01:42.234,00:01:44.871,<i> may have been just as vital  in communication</i>,2017-02-22
00:01:44.904,00:01:46.706,<i> as shouts and grunts.</i>,2017-02-22
00:01:46.739,00:01:49.509,"<i> And we, of course,  still use them today.</i>",2017-02-22
00:01:49.542,00:01:51.444,"But when it comes to facial expressions,",2017-02-22
00:01:51.477,00:01:54.280,it's not just about seeing other people's expressions,2017-02-22
00:01:54.313,00:01:56.315,and having them see yours.,2017-02-22
00:01:56.348,00:01:59.519,It's also about seeing your own.,2017-02-22
00:01:59.552,00:02:02.255,<i> And the fact that our eyes  are deep-set</i>,2017-02-22
00:02:02.288,00:02:05.324,<i> allows us to see our own  facial expressions</i>,2017-02-22
00:02:05.357,00:02:06.893,as we're making them.,2017-02-22
00:02:06.926,00:02:09.228,"If you smile, you can see",2017-02-22
00:02:09.261,00:02:11.631,your own cheeks rise slightly.,2017-02-22
00:02:11.664,00:02:13.633,"And if you furrow your brow,",2017-02-22
00:02:13.666,00:02:16.302,it encroaches on the top of your vision.,2017-02-22
00:02:16.335,00:02:18.571,These things give you instant feedback,2017-02-22
00:02:18.604,00:02:21.407,on the degree to which you are altering your face,2017-02-22
00:02:21.440,00:02:24.243,and tell you instantly what sort of expression,2017-02-22
00:02:24.276,00:02:25.811,you are putting out into the world.,2017-02-22
00:02:25.844,00:02:28.814,No mirror required.,2017-02-22
00:02:28.847,00:02:35.788,<i> ♪ ♪</i>,2017-02-22
00:02:40.926,00:02:43.296,Some of the most interesting experiments,2017-02-22
00:02:43.329,00:02:46.432,"on facial expressions have asked, ""What comes first?",2017-02-22
00:02:46.465,00:02:49.769,"The emotion or the facial expression?""",2017-02-22
00:02:49.802,00:02:52.338,Studies have found that if you hold a pencil,2017-02-22
00:02:52.371,00:02:57.476,"between your teeth all day, you will have a better day.",2017-02-22
00:02:57.509,00:02:59.445,"Why? Well, because holding a pencil",2017-02-22
00:02:59.478,00:03:02.615,between your teeth without your lips touching,2017-02-22
00:03:02.648,00:03:03.916,is like smiling.,2017-02-22
00:03:03.949,00:03:05.518,It uses pretty much the same muscles.,2017-02-22
00:03:05.551,00:03:07.954,Watch.,2017-02-22
00:03:07.987,00:03:09.655,[muffled] I don't know--,2017-02-22
00:03:09.688,00:03:11.857,"I don't know I'm smiling, but I am.",2017-02-22
00:03:11.890,00:03:14.594,"Conversely, pursing your lips around the pencil",2017-02-22
00:03:14.627,00:03:17.330,is like frowning.,2017-02-22
00:03:17.363,00:03:19.932,"And studies have found that if someone does that,",2017-02-22
00:03:19.965,00:03:24.403,they will actually report having a less good day.,2017-02-22
00:03:24.436,00:03:26.539,"Well, we're gonna put that to the test",2017-02-22
00:03:26.572,00:03:29.775,and find out if the facial contortions you make,2017-02-22
00:03:29.808,00:03:34.513,can subconsciously affect how you feel.,2017-02-22
00:03:34.546,00:03:36.916,<i> Studies on how  physiology affects mood</i>,2017-02-22
00:03:36.949,00:03:39.452,"<i> go as far back as the 1800s,</i>",2017-02-22
00:03:39.485,00:03:42.488,<i>with early research carried out  by Charles Darwin</i>,2017-02-22
00:03:42.521,00:03:45.491,<i> and French neurologist  Duchenne de Boulogne.</i>,2017-02-22
