Start Time,End Time,Text,Date
00:00:06.238,00:00:08.307,"[Michael] <i> Before I embarked on  my journey to Japan,</i>",2018-12-05
00:00:08.340,00:00:11.044,"<i> to learn about the Cognitive  Tradeoff hypothesis,</i>",2018-12-05
00:00:11.077,00:00:13.279,"<i> I first visited  Dr. Terrence Deacon,</i>",2018-12-05
00:00:13.312,00:00:16.282,<i> professor of neuroanthropology  at UC Berkeley.</i>,2018-12-05
00:00:16.315,00:00:21.287,<i> to learn about the hardware  on which language had to be  installed: the brain.</i>,2018-12-05
00:00:21.320,00:00:26.392,"[Deacon] So, these are all preserved brains in formaldehyde.",2018-12-05
00:00:26.425,00:00:27.560,You know what I love about this room?,2018-12-05
00:00:27.593,00:00:30.063,One is that you've got a cabinet,2018-12-05
00:00:30.096,00:00:32.665,"full of giant buckets that just have your name on them,",2018-12-05
00:00:32.698,00:00:35.334,and they don't look like they contain nice stuff.,2018-12-05
00:00:35.367,00:00:37.703,"But also this fridge-- ""BIOHAZARD.""",2018-12-05
00:00:37.736,00:00:39.472,-That's not where you keep your lunch. -That's right.,2018-12-05
00:00:39.505,00:00:42.509,-This is not a place where people get to eat. -Right.,2018-12-05
00:00:44.376,00:00:46.345,"This is just a human brain,",2018-12-05
00:00:46.378,00:00:48.481,"preserved and then wrapped up in Saran Wrap,",2018-12-05
00:00:48.514,00:00:50.083,like a leftover.,2018-12-05
00:00:50.116,00:00:52.385,You clearly didn't just grab this from someone.,2018-12-05
00:00:52.418,00:00:56.355,"No, that's right. Today human brains are highly protected,",2018-12-05
00:00:56.388,00:00:59.358,and lots of paperwork is required.,2018-12-05
00:00:59.391,00:01:04.497,"They're available, but it takes a lot of careful tracking...",2018-12-05
00:01:04.530,00:01:08.367,"-Do you have to like report on, ""Yep, I still have it. Hasn't been stolen...""  -Yep, exactly.",2018-12-05
00:01:08.400,00:01:10.136,Who is it?,2018-12-05
00:01:10.169,00:01:12.238,- I do know that this is from a male. -Okay.,2018-12-05
00:01:12.271,00:01:14.273,"I believe this is an 80-year-old,",2018-12-05
00:01:14.306,00:01:16.843,but roughly in that range.,2018-12-05
00:01:16.876,00:01:17.977,Let's move on to this brain.,2018-12-05
00:01:18.011,00:01:21.881,"So, this is a bonobo, close relative to chimpanzees.",2018-12-05
00:01:21.914,00:01:24.584,No kidding. They look really similar.,2018-12-05
00:01:24.617,00:01:29.222,"In biological terms, humans are just another African ape.",2018-12-05
00:01:29.255,00:01:33.126,"In cognitive terms, we're like a whole other phylum of animals.",2018-12-05
00:01:33.159,00:01:37.263,"So, I mean, where are these physical differences that make us--",2018-12-05
00:01:37.296,00:01:39.866,"-Right. -I mean, maybe we're not that different, really.",2018-12-05
00:01:39.899,00:01:44.170,"So, in one respect, none of these brains",2018-12-05
00:01:44.203,00:01:47.340,"have parts that others lack, including the human brain.",2018-12-05
00:01:47.373,00:01:49.342,There's no special part in the human brain,2018-12-05
00:01:49.375,00:01:51.611,to do any of the things that make us special.,2018-12-05
00:01:51.644,00:01:55.148,"And that's, again, because of the incredibly conservative nature",2018-12-05
00:01:55.181,00:01:56.782,of how brains have evolved.,2018-12-05
00:01:56.815,00:01:59.719,"Why don't I just pick one of the primate brains,",2018-12-05
00:01:59.752,00:02:03.689,"and the human brain, and we'll just compare different brains.",2018-12-05
00:02:03.722,00:02:07.560,There's something that feels very strange about knowing,2018-12-05
00:02:07.593,00:02:10.830,that this...belonged to a person.,2018-12-05
00:02:10.863,00:02:15.334,"I mean, the ape, it's very-- It's amazing how different that feels.",2018-12-05
00:02:15.367,00:02:19.272,-I tell people to respect this. -Yes.,2018-12-05
00:02:19.305,00:02:20.773,But also this one.,2018-12-05
00:02:20.806,00:02:24.911,"All of these were living, feeling, experiencing beings.",2018-12-05
00:02:24.944,00:02:27.246,"Okay, so let's look at these and show me,",2018-12-05
00:02:27.279,00:02:32.318,is there a place in the brain where there's a lot of language going on?,2018-12-05
00:02:32.351,00:02:35.454,What we do know about language is that most of the brain,2018-12-05
00:02:35.487,00:02:37.723,is actually involved in some aspect of it.,2018-12-05
00:02:37.756,00:02:41.594,-Yeah. -You really need the whole working cerebral cortex,2018-12-05
00:02:41.627,00:02:43.529,to do what you and I do now.,2018-12-05
00:02:43.562,00:02:46.332,Let's take a look at the non-human primate brain.,2018-12-05
00:02:46.365,00:02:47.900,It's laid out pretty much the same way.,2018-12-05
