Start Time,End Time,Text,Date
00:00:09.141,00:00:12.379,"Someday, I will die.",2018-12-26
00:00:13.546,00:00:15.214,But should I?,2018-12-26
00:00:15.247,00:00:16.616,"If I was offered a longer life,",2018-12-26
00:00:16.649,00:00:18.785,I would take that in a second.,2018-12-26
00:00:18.818,00:00:21.687,But how long is too long?,2018-12-26
00:00:21.720,00:00:26.092,"Is death something I should deny forever,",2018-12-26
00:00:26.125,00:00:30.263,or is death and the role it plays in the universe,2018-12-26
00:00:30.296,00:00:33.199,something I am better off accepting?,2018-12-26
00:00:56.322,00:00:58.257,I want to start by looking at a particular way,2018-12-26
00:00:58.290,00:01:01.428,death affects how we live and treat one another.,2018-12-26
00:01:03.496,00:01:05.398,Terror Management Theory,2018-12-26
00:01:05.431,00:01:07.700,proposes that people like you and me,2018-12-26
00:01:07.733,00:01:11.504,manage the terror of death's inevitability,2018-12-26
00:01:11.537,00:01:13.773,by embracing cultural values.,2018-12-26
00:01:13.806,00:01:17.777,"That the more aware a person is of their own mortality,",2018-12-26
00:01:17.810,00:01:19.445,the more vehemently they will enforce,2018-12-26
00:01:19.478,00:01:22.615,their particular views of the world onto others.,2018-12-26
00:01:22.648,00:01:25.418,"<i>Created by social psychologists  Sheldon Solomon,</i>",2018-12-26
00:01:25.451,00:01:27.720,"<i> Jeff Greenberg  and Tom Pyszczynski,</i>",2018-12-26
00:01:27.753,00:01:30.723,"<i> Terror Management Theory,  or TMT,</i>",2018-12-26
00:01:30.756,00:01:34.360,"<i> suggests that, often,  we are afraid of change</i>",2018-12-26
00:01:34.393,00:01:36.696,<i> because we're afraid  of death.</i>,2018-12-26
00:01:36.729,00:01:38.331,"<i> Each one of us  has a worldview,</i>",2018-12-26
00:01:38.364,00:01:39.866,"<i> a set of beliefs,  customs and norms</i>",2018-12-26
00:01:39.899,00:01:42.635,<i> we identify with  that can live on</i>,2018-12-26
00:01:42.668,00:01:44.770,<i>after our physical bodies die.</i>,2018-12-26
00:01:44.803,00:01:48.207,<i> TMT suggest that rises  in nationalism and prejudice</i>,2018-12-26
00:01:48.240,00:01:52.545,<i> are correlated with rises  in the salience of mortality.</i>,2018-12-26
00:01:52.578,00:01:54.614,"<i> That is, how present  the inevitability of death is</i>",2018-12-26
00:01:54.647,00:01:56.215,<i> in people's minds.</i>,2018-12-26
00:01:56.248,00:01:58.751,"<i>Now this role that death plays  fascinates me,</i>",2018-12-26
00:01:58.784,00:02:01.687,"<i> and two of TMT's originators,  Jeff and Sheldon,</i>",2018-12-26
00:02:01.720,00:02:03.422,<i> have agreed to work with me  on a pilot study</i>,2018-12-26
00:02:03.455,00:02:05.558,<i> of Terror Management Theory</i>,2018-12-26
00:02:05.591,00:02:08.595,<i> and real-life reminders  of death.</i>,2018-12-26
00:02:10.296,00:02:12.932,What's your hypothesis today?,2018-12-26
00:02:12.965,00:02:16.802,"Well, I think we're going to hope for the participants",2018-12-26
00:02:16.835,00:02:19.172,who are reminded of their mortality,2018-12-26
00:02:19.205,00:02:22.842,to be more punitive in their assessments.,2018-12-26
00:02:22.875,00:02:24.477,See what happens.,2018-12-26
00:02:25.544,00:02:26.812,"<i> For our study,</i>",2018-12-26
00:02:26.845,00:02:29.348,"<i> we created a fake research  center,</i>",2018-12-26
00:02:29.381,00:02:30.750,"<i> staffed by actors,</i>",2018-12-26
00:02:30.783,00:02:32.618,<i> and invited participants  to be a part</i>,2018-12-26
00:02:32.651,00:02:34.420,<i> of what they were told  was a focus group</i>,2018-12-26
00:02:34.453,00:02:36.556,<i> about the criminal justice  system.</i>,2018-12-26
00:02:36.589,00:02:39.525,"<i> During the actual study,  each group will hear a list</i>",2018-12-26
00:02:39.558,00:02:41.661,"<i> of several different crimes  that have been committed,</i>",2018-12-26
00:02:41.694,00:02:44.730,<i> and will then be asked  to propose a punishment</i>,2018-12-26
00:02:44.763,00:02:46.632,<i> for each offender  with a severity level</i>,2018-12-26
00:02:46.665,00:02:50.436,"<i> ranging from 1 to 7,  with 1 being the most lenient</i>",2018-12-26
00:02:50.469,00:02:52.572,<i> and 7 being  the most severe.</i>,2018-12-26
00:02:52.605,00:02:55.441,<i> The control group will simply  enter the survey room</i>,2018-12-26
00:02:55.474,00:02:57.843,<i> and be asked  to answer the questions.</i>,2018-12-26
00:02:57.876,00:02:59.412,"<i> The experimental group,  however,</i>",2018-12-26
00:02:59.445,00:03:00.813,<i> will first be exposed</i>,2018-12-26
00:03:00.846,00:03:03.316,<i> to reminders of their own  mortality</i>,2018-12-26
00:03:03.349,00:03:06.886,<i> with strategically placed  posters in the lobby.</i>,2018-12-26
00:03:06.919,00:03:08.487,"<i> Also, the questionnaires  they fill out</i>",2018-12-26
00:03:08.520,00:03:11.490,<i> will include questions  about their own death.</i>,2018-12-26
00:03:11.523,00:03:14.427,<i> Decades of TMT research have shown that when presented</i>,2018-12-26
00:03:14.460,00:03:16.395,"<i> with violations  of common worldviews,</i>",2018-12-26
00:03:16.428,00:03:19.365,<i> those who are more aware  of their own deaths</i>,2018-12-26
00:03:19.398,00:03:20.633,<i> will recommend bigger  punishments</i>,2018-12-26
00:03:20.666,00:03:22.802,<i> for the crimes presented.</i>,2018-12-26
00:03:22.835,00:03:25.271,"<i> But will our real life  reminders of death,</i>",2018-12-26
00:03:25.304,00:03:26.772,"<i> not just the survey questions  usually used,</i>",2018-12-26
