Start Time,End Time,Text,Date
00:00:05.337,00:00:07.440,[Michael] Where is everyone?,2019-01-02
00:00:07.473,00:00:10.643,We have been listening for messages from outer space,2019-01-02
00:00:10.676,00:00:13.579,"for more than half a century,",2019-01-02
00:00:13.612,00:00:15.482,and so far...,2019-01-02
00:00:17.516,00:00:19.552,silence.,2019-01-02
00:00:19.585,00:00:21.087,Why?,2019-01-02
00:00:21.120,00:00:25.158,Are we truly alone in the universe?,2019-01-02
00:00:25.191,00:00:28.194,Or is everyone else acting like us,2019-01-02
00:00:28.227,00:00:31.097,and just doing a lot of listening?,2019-01-02
00:00:31.130,00:00:33.199,Maybe we need to be louder.,2019-01-02
00:00:33.232,00:00:36.736,Maybe we need to send more messages out there.,2019-01-02
00:00:36.769,00:00:39.672,But how do you write a letter to an extraterrestrial,2019-01-02
00:00:39.705,00:00:42.742,whose language and culture and biology and mind,2019-01-02
00:00:42.775,00:00:44.811,we have no concept of?,2019-01-02
00:00:44.844,00:00:46.512,And what do you say?,2019-01-02
00:00:46.545,00:00:50.750,"And given all of the unknowns about what they might be,",2019-01-02
00:00:50.783,00:00:53.686,should we say anything at all?,2019-01-02
00:00:53.719,00:00:58.491,<i> ♪♪</i>,2019-01-02
00:01:14.206,00:01:15.641,"Ever since I was a kid,",2019-01-02
00:01:15.674,00:01:18.244,I've wanted to design a message,2019-01-02
00:01:18.277,00:01:20.379,that is sent to outer space.,2019-01-02
00:01:20.412,00:01:23.516,A sort of hello from Earth to whatever extraterrestrials,2019-01-02
00:01:23.549,00:01:25.251,might be out there.,2019-01-02
00:01:25.284,00:01:28.654,"I mean, come on, to be the author of the first thing",2019-01-02
00:01:28.687,00:01:31.290,aliens ever heard from our entire planet,2019-01-02
00:01:31.323,00:01:33.626,would be a fantastic honor.,2019-01-02
00:01:33.659,00:01:34.861,"And as it turns out,",2019-01-02
00:01:34.894,00:01:37.697,an opportunity to send a message to space,2019-01-02
00:01:37.730,00:01:40.533,has been given to me.,2019-01-02
00:01:40.566,00:01:43.169,But it might be a waste of time.,2019-01-02
00:01:43.202,00:01:48.875,What if there isn't anything or anyone out there to receive it?,2019-01-02
00:01:48.908,00:01:51.144,The fact that we still have no evidence,2019-01-02
00:01:51.177,00:01:52.245,of intelligent alien life,2019-01-02
00:01:52.278,00:01:56.282,"despite the high probability that such life exists,",2019-01-02
00:01:56.315,00:01:58.184,is called the Fermi paradox.,2019-01-02
00:01:58.217,00:01:59.752,And there are many entertaining theories,2019-01-02
00:01:59.785,00:02:01.721,that attempt to explain it.,2019-01-02
00:02:01.754,00:02:03.623,One explanation is the theory,2019-01-02
00:02:03.656,00:02:06.359,"that whenever two civilizations meet,",2019-01-02
00:02:06.392,00:02:09.295,destruction always results.,2019-01-02
00:02:09.328,00:02:11.564,"Which is why in 2015,",2019-01-02
00:02:11.597,00:02:13.766,several prominent experts wrote a letter,2019-01-02
00:02:13.799,00:02:17.803,warning against making any contact at all.,2019-01-02
00:02:17.836,00:02:21.307,[Stephen Hawking],2019-01-02
00:02:36.222,00:02:39.559,"Ideas like that suggest that perhaps we should remain silent,",2019-01-02
00:02:39.592,00:02:42.195,send no messages to space.,2019-01-02
00:02:42.228,00:02:44.597,But Doug Vakoch disagrees.,2019-01-02
00:02:44.630,00:02:46.866,"He is the president of METI,",2019-01-02
00:02:46.899,00:02:50.336,"an organization that, despite all of these concerns,",2019-01-02
00:02:50.369,00:02:52.738,is nonetheless actively messaging,2019-01-02
00:02:52.771,00:02:55.474,extraterrestrial intelligence.,2019-01-02
00:02:55.507,00:02:57.743,"If I want to design a message for life out there,",2019-01-02
00:02:57.776,00:02:59.679,I should talk to him first.,2019-01-02
00:02:59.712,00:03:02.849,Why isn't he afraid?,2019-01-02
00:03:04.617,00:03:05.651,<i> I met up with Doug</i>,2019-01-02
00:03:05.684,00:03:07.420,"<i> at the Chabot Observatory,</i>",2019-01-02
00:03:07.453,00:03:10.456,<i> home to the largest  public refractor telescope</i>,2019-01-02
00:03:10.489,00:03:12.725,<i> in the Western United States.</i>,2019-01-02
00:03:12.758,00:03:14.393,-[Douglas] So here we are. -[Michael] Wow.,2019-01-02
00:03:14.426,00:03:15.561,[Douglas] Yeah.,2019-01-02
00:03:15.594,00:03:19.432,This was one of the prime telescopes of a century ago.,2019-01-02
00:03:19.465,00:03:22.368,This is really an antique.,2019-01-02
00:03:22.401,00:03:25.404,[Michael] Jeez! I've seen so many observatories,2019-01-02
00:03:25.437,00:03:27.673,and so many big telescopes in pictures.,2019-01-02
00:03:27.706,00:03:29.575,"Believe it or not, I've never been this close to one.",2019-01-02
00:03:29.608,00:03:31.877,"[Douglas] This is a huge instrument,",2019-01-02
00:03:31.910,00:03:34.914,and yet it's balanced too exquisitely.,2019-01-02
00:03:34.947,00:03:37.283,I'm like a super person. Oh!,2019-01-02
00:03:37.316,00:03:38.451,[Douglas laughs],2019-01-02
00:03:38.484,00:03:40.453,It had quite a bit of momentum there.,2019-01-02
00:03:40.486,00:03:41.654,I'm scared to look.,2019-01-02
00:03:41.687,00:03:44.423,"I'm telling you, I had no idea I would have this feeling,",2019-01-02
00:03:44.456,00:03:46.525,"-seeing a telescope this big. -[Douglas] Well, it is, it is.",2019-01-02
00:03:46.558,00:03:48.594,Can I handle what I would see?,2019-01-02
00:03:48.627,00:03:49.929,I think you can. I think you can.,2019-01-02
00:03:49.962,00:03:51.931,You just take a look.,2019-01-02
00:03:53.399,00:03:54.600,Ah-ha.,2019-01-02
00:03:54.633,00:03:56.335,-Absolutely nothing. -[Douglas] Not tonight.,2019-01-02
