Start Time,End Time,Text,Date
00:00:03.235,00:00:05.471,"Hey,<i> Mind Field!</i> Vanessa here.",2019-01-09
00:00:05.504,00:00:09.075,Just kidding. My name is actually Michael.,2019-01-09
00:00:09.108,00:00:11.644,That part when I said that I was Vanessa...,2019-01-09
00:00:11.677,00:00:13.579,that was a lie.,2019-01-09
00:00:13.612,00:00:15.515,So you're welcome.,2019-01-09
00:00:15.548,00:00:18.117,Humans love lies.,2019-01-09
00:00:18.150,00:00:19.485,"More precisely,",2019-01-09
00:00:19.518,00:00:22.288,we love things that aren't entirely true--,2019-01-09
00:00:22.321,00:00:23.756,because we<i> have</i> to.,2019-01-09
00:00:23.789,00:00:25.658,It's often all we have.,2019-01-09
00:00:25.691,00:00:28.161,"Completely proving something can be difficult,",2019-01-09
00:00:28.194,00:00:30.329,if not impossible.,2019-01-09
00:00:30.362,00:00:33.666,"So instead, we have the faith of the believer,",2019-01-09
00:00:33.699,00:00:36.636,the confidence interval of the scientist.,2019-01-09
00:00:36.669,00:00:38.738,"What we think we know,",2019-01-09
00:00:38.771,00:00:42.175,we really only<i> believe</i> we know.,2019-01-09
00:00:42.208,00:00:44.777,"On this episode of<i> Mind Field, </i> I'm going to take a look at",2019-01-09
00:00:44.810,00:00:47.713,a kind of lie we tell ourselves.,2019-01-09
00:00:47.746,00:00:52.552,And I'm going to use belief to turn a lie...into a truth.,2019-01-09
00:00:55.588,00:00:57.557,<i> ( theme music playing )</i>,2019-01-09
00:01:09.435,00:01:12.171,"Michael: <i> If I'm going to harness   the power of belief,</i>",2019-01-09
00:01:12.204,00:01:15.541,<i> I need to find a good way  to study belief and behavior.</i>,2019-01-09
00:01:15.574,00:01:19.278,"<i> So I'm paying a visit to UCLA's  Dr. Aaron Blaisdell,</i>",2019-01-09
00:01:19.311,00:01:21.247,<i> who I worked with  on last season's</i>,2019-01-09
00:01:21.280,00:01:23.716,"<i> ""Greater Good""  Trolley Problem episode.</i>",2019-01-09
00:01:23.749,00:01:25.618,<i> ( train whistle blowing )</i>,2019-01-09
00:01:25.651,00:01:27.887,"Dr. Blaisdell, great to see you again.",2019-01-09
00:01:27.920,00:01:29.355,"Nice to see you again, Michael.",2019-01-09
00:01:29.388,00:01:31.157,"Thank you for your help last season,",2019-01-09
00:01:31.190,00:01:34.660,but I've got this new thing I want to look into.,2019-01-09
00:01:34.693,00:01:36.295,I started thinking a lot about belief,2019-01-09
00:01:36.328,00:01:37.730,and how we form them.,2019-01-09
00:01:37.763,00:01:42.502,Specifically beliefs about what causes our behavior.,2019-01-09
00:01:42.535,00:01:44.670,I want to be able to break it down,2019-01-09
00:01:44.703,00:01:47.173,and just look at how people respond to the environment around them,2019-01-09
00:01:47.206,00:01:48.808,and how it changes their belief.,2019-01-09
00:01:48.841,00:01:51.677,"Well, a Skinner Box is a great place to start.",2019-01-09
00:01:51.710,00:01:54.180,"because what I tell my students is,",2019-01-09
00:01:54.213,00:01:57.183,"a Skinner Box, for a psychologist like myself,",2019-01-09
00:01:57.216,00:01:59.385,is like a test tube for a chemist.,2019-01-09
00:01:59.418,00:02:01.721,"<i> Dr. Skinner, what are you  doing with this pigeon?</i>",2019-01-09
00:02:01.754,00:02:05.458,<i> I'm getting ready to  demonstrate a fundamental  principle of behavior.</i>,2019-01-09
00:02:05.491,00:02:08.361,"Michael: <i> Invented by Harvard  psychologist B.F. Skinner,</i>",2019-01-09
00:02:08.394,00:02:11.164,<i> a Skinner Box is a chamber  in which animals</i>,2019-01-09
00:02:11.197,00:02:14.767,<i> can be isolated and exposed to  carefully controlled stimuli.</i>,2019-01-09
00:02:14.800,00:02:16.769,"<i> In one of his  landmark experiments,</i>",2019-01-09
00:02:16.802,00:02:19.338,<i> Skinner released food  to pigeons in the boxes</i>,2019-01-09
00:02:19.371,00:02:20.940,<i> at regular intervals.</i>,2019-01-09
00:02:20.973,00:02:22.842,<i> What he found was that  the pigeons seemed to believe</i>,2019-01-09
00:02:22.875,00:02:24.410,<i> that whatever  they happened to be doing</i>,2019-01-09
00:02:24.443,00:02:25.912,<i> just before the food came</i>,2019-01-09
00:02:25.945,00:02:28.281,"<i> actually</i> caused<i> the food  to appear,</i>",2019-01-09
00:02:28.314,00:02:30.516,<i> and would then repeat  that behavior over and over--</i>,2019-01-09
00:02:30.549,00:02:34.320,"<i> for example, hopping around  or spinning in circles.</i>",2019-01-09
00:02:34.353,00:02:38.291,"<i> Skinner called this  ""superstitious behavior.""</i>",2019-01-09
00:02:38.324,00:02:42.895,So what do you want to do-- what's your dream test?,2019-01-09
00:02:42.928,00:02:46.966,"Basically a replication of Skinner's superstitious experiment,",2019-01-09
00:02:46.999,00:02:48.968,"but instead of with pigeons, with people.",2019-01-09
00:02:49.001,00:02:51.904,I would love to see: will people develop,2019-01-09
00:02:51.937,00:02:55.675,their own sort of superstitious rituals or beliefs.,2019-01-09
00:02:55.708,00:02:57.910,Have we done this with people before?,2019-01-09
00:02:57.943,00:03:01.747,I don't think such a rigorous test of this has been done.,2019-01-09
00:03:01.780,00:03:05.318,"I think primarily, from the literature I know, it's pretty much pigeons.",2019-01-09
00:03:09.755,00:03:12.225,B.F. Skinner's work showed that if you,2019-01-09
00:03:12.258,00:03:14.627,"regularly deliver a reward to a pigeon,",2019-01-09
00:03:14.660,00:03:16.596,"regardless of how it actually acts,",2019-01-09
00:03:16.629,00:03:18.564,the pigeon won't figure that out.,2019-01-09
00:03:18.597,00:03:22.568,"Instead, the pigeon will develop superstitious behaviors",2019-01-09
00:03:22.601,00:03:24.904,"as if it thinks it is in control,",2019-01-09
00:03:24.937,00:03:27.306,despite the lack of any evidence that it is.,2019-01-09
00:03:27.339,00:03:28.874,<i> But what about humans?</i>,2019-01-09
00:03:28.907,00:03:31.410,<i> Watching people form  new superstitions</i>,2019-01-09
00:03:31.443,00:03:34.614,"<i> might show us how  beliefs are created,  but here's the thing:</i>",2019-01-09
00:03:34.647,00:03:37.416,You can't just put a person in a Skinner Box.,2019-01-09
00:03:37.449,00:03:39.652,"People are quite clever, and so instead,",2019-01-09
00:03:39.685,00:03:41.487,"along with Dr. Aaron Blaisdell,",2019-01-09
00:03:41.520,00:03:43.889,I have developed a much more elaborate ruse.,2019-01-09
00:03:43.922,00:03:46.426,Welcome to Victory Vault.,2019-01-09
00:03:47.526,00:03:50.563,<i> ♪</i>,2019-01-09
00:03:50.596,00:03:54.000,"Michael:<i> ""Victory Vault""  is a fake game show we made up</i>",2019-01-09
00:03:54.033,00:03:56.369,<i> to draw our  unsuspecting subjects</i>,2019-01-09
00:03:56.402,00:03:58.971,<i> into taking part in  a human Skinner Box.</i>,2019-01-09
