Word,Frequency,sentiment-score
the,10573,0.0
to,6048,0.0
a,5989,0.0
of,5903,0.0
and,5500,0.0
i,4480,0.0
that,4069,0.0
is,3626,0.0
you,3446,0.0
in,3399,0.0
it,2900,0.0
but,2325,0.0
we,2224,0.0
are,1836,0.0
be,1750,0.0
for,1727,0.0
this,1695,0.0
on,1487,0.0
so,1387,0.0
its,1376,0.0
have,1316,0.0
what,1292,0.0
as,1282,0.0
or,1271,0.0
like,1224,0.3612
they,1166,0.0
can,1149,0.0
with,1139,0.0
if,1102,0.0
all,1071,0.0
at,1067,0.0
your,1018,0.0
not,1007,0.0
was,981,0.0
just,959,0.0
about,946,0.0
one,929,0.0
from,911,0.0
our,887,0.0
would,872,0.0
more,835,0.0
an,810,0.0
by,806,0.0
when,805,0.0
were,764,0.0
will,752,0.0
there,715,0.0
do,707,0.0
how,697,0.0
out,692,0.0
because,677,0.0
people,643,0.0
now,636,0.0
right,622,0.0
well,615,0.2732
us,612,0.0
them,587,0.0
no,568,-0.296
than,552,0.0
know,551,0.0
earth,546,0.0
here,533,0.0
their,522,0.0
way,518,0.0
up,516,0.0
things,511,0.0
even,504,0.0
other,475,0.0
which,473,0.0
dont,461,0.0
really,459,0.0
has,458,0.0
time,455,0.0
see,454,0.0
could,444,0.0
my,439,0.0
thats,437,0.0
some,437,0.0
who,428,0.0
these,415,0.0
only,410,0.0
into,409,0.0
he,402,0.0
me,386,0.0
get,375,0.0
think,370,0.0
first,368,0.0
michael,358,0.0
im,354,0.0
where,350,0.0
look,349,0.0
also,345,0.0
something,339,0.0
been,336,0.0
two,333,0.0
going,333,0.0
light,327,0.0
every,324,0.0
number,322,0.0772
make,321,0.0
same,320,0.0
yeah,319,0.296
much,315,0.0
why,314,0.0
space,313,0.0
years,312,0.0
actually,303,0.0
very,292,0.0
then,290,0.0
go,287,0.0
say,287,0.0
lets,286,0.0
always,285,0.0
brain,283,0.0
okay,283,0.2263
thing,280,0.0
mean,273,0.0
being,271,0.0
life,271,0.0
had,268,0.0
take,265,0.0
youre,265,0.0
did,265,0.0
theres,264,0.0
those,261,0.0
human,260,0.0
many,256,0.0
over,253,0.0
his,253,0.0
different,251,0.0
most,251,0.0
around,250,0.0
any,249,0.0
want,244,0.0772
made,240,0.0
may,239,0.0
might,237,0.0
feel,237,0.0
down,236,0.0
good,235,0.4404
ever,233,0.0
theyre,230,0.0
fact,225,0.0
little,223,0.0
word,223,0.0
before,222,0.0
still,215,0.0
back,215,0.0
person,214,0.0
away,214,0.0
new,210,0.0
today,207,0.0
own,203,0.0
lot,203,0.0
never,201,0.0
does,201,0.0
world,196,0.0
she,195,0.0
doesnt,194,0.0
body,194,0.0
called,194,0.0
words,193,0.0
enough,193,0.0
thanks,192,0.4404
point,190,0.0
great,189,0.6249
kind,189,0.5267
after,188,0.0
need,188,0.0
didnt,183,0.0
come,182,0.0
used,182,0.0
should,181,0.0
oh,180,0.0
each,174,0.0
watching,173,0.0
off,171,0.0
moon,169,0.0
humans,169,0.0
real,167,0.0
vsauce,167,0.0
hey,166,0.0
name,166,0.0
means,166,0.0
use,165,0.0
sun,165,0.0
pretty,164,0.4939
universe,163,0.0
day,163,0.0
instead,161,0.0
whats,160,0.0
put,158,0.0
maybe,157,0.0
cant,154,0.0
her,152,0.0
between,150,0.0
times,150,0.0
water,150,0.0
someone,148,0.0
often,147,0.0
air,147,0.0
second,145,0.0
too,144,0.0
part,144,0.0
through,144,0.0
left,143,0.0
got,142,0.0
comes,141,0.0
found,141,0.0
another,139,0.0
less,138,0.0
find,137,0.0
tell,137,0.0
cool,137,0.3182
doing,135,0.0
sure,135,0.3182
isnt,134,0.0
course,133,0.0
entire,133,0.0
makes,131,0.0
both,130,0.0
bit,129,0.0
heres,129,0.0
love,128,0.6369
long,127,0.0
looking,126,0.0
anything,126,0.0
far,126,0.0
while,125,0.0
three,125,0.0
instance,125,0.0
nothing,124,0.0
call,124,0.0
able,122,0.0
video,122,0.0
year,121,0.0
few,121,0.0
quite,121,0.0
stuff,121,0.0
speed,120,0.0
probably,119,0.0
man,119,0.0
move,118,0.0
mind,118,0.0
together,117,0.0
everything,117,0.0
possible,116,0.0
though,115,0.0
matter,114,0.0258
become,114,0.0
yes,114,0.4019
last,113,0.0
live,113,0.0
said,113,0.0
inside,112,0.0
single,110,0.0
money,110,0.0
using,110,0.0
sense,110,0.0
question,109,0.0
keep,109,0.0
already,108,0.0
energy,107,0.2732
million,106,0.0
within,106,0.0
surface,106,0.0
happen,105,0.0
better,105,0.4404
weve,105,0.0
without,105,0.0
him,104,0.0
work,104,0.0
give,104,0.0
almost,103,0.0
making,102,0.0
place,101,0.0
big,101,0.0
such,101,0.0
answer,101,0.0
line,100,0.0
arent,99,0.0
object,99,0.0
language,98,0.0
help,98,0.4019
1,97,0.0
sound,97,0.0
known,97,0.0
next,97,0.0
longer,96,0.0
thought,96,0.0
brains,95,0.0
half,92,0.0
again,92,0.0
believe,92,0.0
earths,92,0.0
show,91,0.0
ive,91,0.0
talk,91,0.0
10,91,0.0
least,91,0.0
reason,90,0.0
information,90,0.0
remember,90,0.0
amount,89,0.0
until,88,0.0
future,87,0.0
else,87,0.0
common,87,0.0
five,87,0.0
system,86,0.0
fun,86,0.5106
true,86,0.4215
born,86,0.0
thank,85,0.3612
moving,85,0.0
since,85,0.0
later,85,0.0
bad,84,-0.5423
guys,84,0.0
gonna,83,0.0
ago,83,0.0
once,82,0.0
death,82,-0.5994
black,82,0.0
happens,82,0.0
likely,82,0.0
play,81,0.34
end,81,0.0
high,81,0.0
given,80,0.0
let,79,0.0
having,79,0.0
done,79,0.0
cause,79,0.0
whole,79,0.0
mass,78,0.0
side,78,0.0
famous,78,0.0
exactly,78,0.0
food,77,0.0
order,77,0.0
problem,77,-0.4019
happened,77,0.0
coming,76,0.0
michaeli,76,0.0
example,76,0.0
average,76,0.0
contains,76,0.0
size,75,0.0
actual,75,0.0
everyone,74,0.0
yet,74,0.0
am,74,0.0
experiment,74,0.0
old,74,0.0
ones,74,0.0
looks,74,0.0
whether,74,0.0
learn,74,0.0
thinking,74,0.0
room,73,0.0
music,73,0.0
change,73,0.0
gravity,73,0.0
came,73,0.0
took,73,0.0
travel,72,0.0
study,72,0.0
literally,72,0.0
hes,72,0.0
message,72,0.0
physical,72,0.0
force,72,0.0
says,71,0.0
atoms,71,0.0
exist,71,0.0
across,71,0.0
similar,70,0.0
faster,70,0.0
wouldnt,70,0.0
certain,70,0.2732
image,70,0.0
experience,70,0.0
type,70,0.0
social,70,0.0
shes,69,0.0
living,69,0.0
during,69,0.0
percent,69,0.0
simply,69,0.0
effect,68,0.0
eyes,68,0.0
four,68,0.0
begin,68,0.0
laughs,67,0.4939
billion,66,0.0
best,66,0.6369
head,66,0.0
game,66,0.0
group,65,0.0
ask,65,0.0
wasnt,65,0.0
days,65,0.0
control,65,0.0
past,65,0.0
small,65,0.0
names,65,0.0
pain,64,-0.5106
history,64,0.0
hot,64,0.0
feeling,64,0.128
seen,64,0.0
random,64,0.0
takes,64,0.0
objects,64,0.0
points,63,0.0
quickly,63,0.0
easy,63,0.4404
completely,63,0.0
smell,63,0.0
2,62,0.0
difficult,62,-0.3612
idea,62,0.0
others,62,0.0
power,62,0.0
appear,62,0.0
seem,62,0.0
eye,61,0.0
meet,61,0.0
try,61,0.0
youve,61,0.0
meaning,61,0.0
created,61,0.25
chair,61,0.0
outer,61,0.0
face,61,0.0
top,60,0.2023
start,60,0.0
process,60,0.0
woman,60,0.0
weight,60,0.0
hear,60,0.0
test,59,0.0
alone,59,-0.25
check,59,0.0
piece,59,0.0
watch,59,0.0
parts,59,0.0
yourself,59,0.0
ways,59,0.0
train,58,0.0
tiny,58,0.0
science,58,0.0
die,58,-0.5994
against,58,0.0
hand,58,0.4939
behind,58,0.0
level,58,0.0
ourselves,58,0.0
sky,57,0.0
100,57,0.0
along,57,0.0
molecules,56,0.0
itself,56,0.0
area,56,0.0
memory,56,0.0
minutes,56,0.0
built,56,0.0
getting,56,0.0
planet,56,0.0
lives,56,0.0
fast,56,0.0
nice,56,0.4215
derek,55,0.0
straight,55,0.2263
wait,55,0.0
form,55,0.0
close,55,0.0
per,55,0.0
full,55,0.0
animals,55,0.0
larger,55,0.0
seeing,55,0.0
wont,55,0.0
youtube,55,0.0
children,54,0.0
5,54,0.0
paper,54,0.0
red,54,0.0
figure,54,0.0
record,54,0.0
funny,54,0.4404
tend,54,0.0
saw,54,0.0
attention,54,0.0
important,54,0.2023
ready,53,0.3612
saying,53,0.0
wrong,53,-0.4767
caused,53,0.0
fall,53,0.0
interesting,53,0.4019
memories,53,0.0
book,53,0.0
sometimes,53,0.0
smaller,53,0.0
camera,53,0.0
participants,52,0.0
friends,52,0.4767
ball,52,0.0
set,52,0.0
numbers,52,0.0
turn,52,0.0
perspective,52,0.0
nearly,52,0.0
mirror,52,0.0
named,52,0.0
subject,52,0.0
talking,51,0.0
felt,51,0.0
questions,51,0.0
technology,51,0.0
reasons,51,0.0
bodies,51,0.0
story,51,0.0
speaking,51,0.0
went,51,0.0
themselves,51,0.0
either,50,0.0
3,50,0.0
guy,50,0.0
push,50,0.0
sort,50,0.0
trying,50,0.0
internet,50,0.0
picture,49,0.0
stop,49,-0.296
subjects,49,0.0
asked,49,0.0
behavior,49,0.0
natural,49,0.3612
difference,49,0.0
gave,49,0.0
hole,49,0.0
musici,49,0.0
seems,49,0.0
ahead,48,0.0
computer,48,0.0
shape,48,0.0
reach,48,0.0258
bottom,48,0.0
perfect,48,0.5719
cells,48,0.0
imagine,48,0.0
seconds,48,0.0
dr,48,0.0
large,48,0.0
visual,48,0.0
total,47,0.0
distance,47,0.0
researchers,47,0.0
home,47,0.0
amazing,47,0.5859
except,47,0.0
field,47,0.0
taken,47,0.0
must,47,0.0
chance,47,0.25
wow,47,0.5859
english,47,0.0
goes,47,0.0
above,46,0.0
ill,46,-0.4215
cannot,46,0.0
soon,46,0.0
blood,46,0.0
shown,46,0.0
near,46,0.0
moment,46,0.0
images,46,0.0
stars,46,0.0
states,46,0.0
read,45,0.0
act,45,0.0
further,45,0.0
um,45,0.0
leave,45,-0.0516
theory,45,0.0
videos,45,0.0
whatever,45,0.0
eventually,45,0.0
step,45,0.0
button,45,0.0
sounds,45,0.0
joke,45,0.296
scale,44,0.0
temperature,44,0.0
wanted,44,0.0
havent,44,0.0
material,44,0.0
hello,44,0.0
special,44,0.4019
greater,44,0.3612
orbit,44,0.0
cut,44,-0.2732
letter,44,0.0
safe,44,0.4404
facial,43,0.0
police,43,0.0
alive,43,0.3818
pressure,43,-0.296
lead,43,0.0
weird,43,-0.1779
explain,43,0.0
faces,43,0.0
ten,43,0.0
research,43,0.0
eat,43,0.0
run,43,0.0
case,43,0.0
solar,43,0.0
united,42,0.4215
7,42,0.0
reality,42,0.0
told,42,0.0
direction,42,0.0
20,42,0.0
infinite,42,0.0
flat,42,0.0
mmhmm,42,0.0
playing,41,0.2023
rate,41,0.0
choice,41,0.0
individual,41,0.0
pieces,41,0.0
guess,41,0.0
understand,41,0.0
hundred,41,0.0
bachelor,41,0.0
friend,41,0.4939
exact,41,0.0
blue,41,0.0
illusion,41,0.0
six,41,0.0
happening,40,0.0
clearly,40,0.4019
closer,40,0.0
color,40,0.0
normal,40,0.0
moral,40,0.0
sent,40,0.0
create,40,0.2732
galaxy,40,0.0
description,40,0.0
finally,40,0.0
letters,40,0.0
young,40,0.0
thousand,40,0.0
technically,40,0.0
taking,40,0.0
law,40,0.0
laughing,40,0.4939
especially,40,0.0
under,40,0.0
atmosphere,40,0.0
turns,40,0.0
becomes,40,0.0
4,40,0.0
thousands,40,0.0
hi,39,0.0
uh,39,0.0
perhaps,39,0.0
center,39,0.0
awesome,39,0.6249
particles,39,0.0
laugh,39,0.5574
box,39,0.0
outside,39,0.0
merely,39,0.0
skin,39,0.0
based,39,0.0
green,39,0.0
changes,39,0.0
shadow,39,0.0
family,39,0.0
according,39,0.0
middle,38,0.0
send,38,0.0
view,38,0.0
car,38,0.0
ring,38,0.0
forever,38,0.0
started,38,0.0
minds,38,0.0
star,38,0.0
child,38,0.0
squared,38,0.0
balloon,38,0.0
favorite,38,0.4588
pull,38,0.0
third,38,0.0
notice,37,0.0
aliens,37,0.0
describe,37,0.0
knowledge,37,0.0
touch,37,0.0
bigger,37,0.0
feels,37,0.0
orange,37,0.0
theyve,37,0.0
fit,37,0.3612
specific,37,0.0
hope,37,0.4404
fake,37,-0.4767
dark,37,0.0
became,37,0.0
worth,37,0.2263
sphere,37,0.0
beyond,37,0.0
miles,37,0.0
dead,37,-0.6486
phone,37,0.0
works,36,0.0
theyll,36,0.0
unique,36,0.0
knowing,36,0.0
fear,36,-0.4939
causes,36,0.0
forces,36,0.0
web,36,0.0
song,36,0.0
fine,36,0.2023
building,36,0.0
evidence,36,0.0
rest,36,0.0
continue,36,0.0
build,35,0.0
land,35,0.0
8,35,0.0
correct,35,0.0
lose,35,-0.4019
waves,35,0.0
books,35,0.0
hit,35,0.0
measure,35,0.0
contain,35,0.0
war,35,-0.5994
wanna,35,0.0
heat,35,0.0
recently,35,0.0
gets,34,0.0
track,34,0.0
songs,34,0.0
powerful,34,0.4215
giant,34,0.0
hard,34,-0.1027
ability,34,0.3182
final,34,0.0
original,34,0.3182
personal,34,0.0
below,34,0.0
complete,34,0.0
simple,34,0.0
believed,34,0.0
early,34,0.0
15,34,0.0
volume,34,0.0
team,34,0.0
dinosaurs,34,0.0
feet,34,0.0
choose,34,0.0
6,33,0.0
bring,33,0.0
radio,33,0.0
prison,33,-0.5106
allow,33,0.2263
easily,33,0.34
follow,33,0.0
tea,33,0.0
zero,33,0.0
radius,33,0.0
popular,33,0.4215
holes,33,0.0
usually,33,0.0
ok,33,0.296
city,33,0.0
particular,33,0.0
rather,33,0.0
dollars,33,0.0
telling,33,0.0
games,33,0.0
billions,33,0.0
bunch,32,0.0
incredibly,32,0.0
focus,32,0.0
conditions,32,0.0
compared,32,0.0
died,32,-0.5574
buzzer,32,0.0
dog,32,0.0
discovered,32,0.0
emotions,32,0.0
degrees,32,0.0
ground,32,0.0
bacteria,32,0.0
count,32,0.0
radiation,32,0.0
minute,32,0.0
screen,32,0.0
gone,32,0.0
strange,31,-0.2023
lost,31,-0.3182
square,31,0.0
switch,31,0.0
position,31,0.0
clear,31,0.3818
height,31,0.0
appears,31,0.0
shows,31,0.0
animal,31,0.0
list,31,0.0
value,31,0.34
30,31,0.0
consider,31,0.0
cognitive,31,0.0
learned,31,0.0
towards,31,0.0
mother,31,0.0
learning,31,0.0
studies,31,0.0
task,31,0.0
door,31,0.0
scary,31,-0.4939
planets,31,0.0
looked,31,0.0
anyone,30,0.0
stay,30,0.0
stanford,30,0.0
wrote,30,0.0
written,30,0.0
dropped,30,0.0
decided,30,0.0
alien,30,0.0
lower,30,-0.296
however,30,0.0
psychology,30,0.0
length,30,0.0
baby,30,0.0
falling,30,-0.1531
low,30,-0.2732
distant,30,0.0
boredom,30,-0.3182
comic,30,0.0
allows,30,0.0
running,30,0.0
tall,30,0.0
currently,30,0.0
vacuum,30,0.0
age,30,0.0
avoid,30,-0.296
waiting,30,0.0
exists,30,0.0
math,30,0.0
needs,30,0.0
phenomenon,30,0.0
despite,30,0.0
huge,30,0.3182
white,30,0.0
electrons,29,0.0
care,29,0.4939
chicken,29,0.0
turned,29,0.0
yellow,29,0.0
picked,29,0.0
brought,29,0.0
pick,29,0.0
onto,29,0.0
week,29,0.0
knew,29,0.0
nuclear,29,0.0
werent,29,0.0
result,29,0.0
hands,29,0.0
slow,29,0.0
machine,29,0.0
affect,29,0.0
share,29,0.296
thoughts,29,0.0
night,29,0.0
john,29,0.0
survive,29,0.0
aware,29,0.0
youll,29,0.0
simples,29,0.0
data,29,0.0
higher,29,0.0
developed,29,0.0
produce,29,0.0
easier,29,0.4215
university,29,0.0
listen,28,0.0
estimated,28,0.0
equal,28,0.0
although,28,0.0
taste,28,0.0
infinity,28,0.0
jake,28,0.0
terms,28,0.0
intelligence,28,0.4767
photo,28,0.0
wind,28,0.0
dangerous,28,-0.4767
shouldnt,28,0.0
oxygen,28,0.0
crazy,28,-0.34
mouth,28,0.0
id,28,0.0
couple,28,0.0
truly,28,0.4404
reading,28,0.0
negative,28,-0.5719
50,28,0.0
contact,28,0.0
months,28,0.0
whereas,28,0.0
peoples,28,0.0
immediately,28,0.0
definitely,28,0.4019
kids,27,0.0
plenty,27,0.0
hold,27,0.0
gives,27,0.0
angle,27,0.0
healthy,27,0.4019
bank,27,0.0
god,27,0.2732
places,27,0.0
dramatic,27,0.0
couldnt,27,0.0
heard,27,0.0
damage,27,-0.4939
sans,27,0.0
none,27,0.0
birth,27,0.0
path,27,0.0
society,27,0.0
individuals,27,0.0
whose,27,0.0
rotation,27,0.0
meters,27,0.0
fair,27,0.3182
uses,27,0.0
species,27,0.0
lines,26,0.0
finite,26,0.0
recent,26,0.0
deep,26,0.0
events,26,0.0
happy,26,0.5719
general,26,0.0
add,26,0.0
free,26,0.5106
12,26,0.0
decisions,26,0.0
toward,26,0.0
parents,26,0.0
giving,26,0.34
scientists,26,0.0
related,26,0.0
cross,26,0.0
visible,26,0.0
kinds,26,0.0
clean,26,0.4019
falls,26,0.0
extreme,26,0.0
tv,26,0.0
experiences,26,0.0
channel,26,0.0
cecile,26,0.0
chairs,26,0.0
millions,26,0.0
began,26,0.0
massive,26,0.0
existence,26,0.0
influence,26,0.0
gas,25,0.0
welcome,25,0.4588
balls,25,0.0
pounds,25,0.0
honor,25,0.4939
intelligent,25,0.4588
current,25,0.0
equivalent,25,0.0
hours,25,0.0
slowly,25,0.0
slightly,25,0.0
expressions,25,0.0
belief,25,0.0
laughter,25,0.4939
rainbow,25,0.0
agree,25,0.3612
covered,25,0.0
beautiful,25,0.5994
lack,25,-0.3182
involved,25,0.0
9,25,0.0
rock,25,0.0
ancient,25,0.0
sequence,25,0.0
psychological,25,0.0
needed,25,0.0
messages,25,0.0
impossible,25,0.0
event,25,0.0
episode,24,0.0
beginning,24,0.0
illusions,24,0.0
leaves,24,0.0
fewer,24,0.0
incredible,24,0.0
answers,24,0.0
digital,24,0.0
forget,24,-0.2263
cute,24,0.4588
deal,24,0.0
warm,24,0.2263
fill,24,0.0
largest,24,0.0
cake,24,0.0
cover,24,0.0
famously,24,0.0
gold,24,0.0
country,24,0.0
fantastic,24,0.5574
colors,24,0.0
yawn,24,0.0
grow,24,0.0
existed,24,0.0
including,24,0.0
meat,24,0.0
short,24,0.0
40,24,0.0
results,24,0.0
reverse,24,0.0
relationship,24,0.0
structure,24,0.0
seriously,24,-0.1779
advantage,24,0.25
modern,24,0.0
missing,24,-0.296
older,24,0.0
pulled,24,0.0
naturally,24,0.0
types,24,0.0
predict,24,0.0
possibly,24,0.0
america,24,0.0
lights,24,0.0
muscles,23,0.0
speak,23,0.0
century,23,0.0
typical,23,0.0
myself,23,0.0
fire,23,-0.34
risk,23,-0.2732
iti,23,0.0
hundreds,23,0.0
click,23,0.0
changed,23,0.0
walk,23,0.0
napkin,23,0.0
involves,23,0.0
shorter,23,0.0
decision,23,0.0
heads,23,0.0
dogs,23,0.0
atom,23,0.0
artificial,23,0.0
physics,23,0.0
fart,23,0.0
poem,23,0.0
poop,23,0.0
extremely,23,0.0
extra,23,0.0
principle,23,0.0
expect,23,0.0
areas,23,0.0
starting,23,0.0
pushed,23,0.0
absolutely,23,0.0
gravitational,23,0.0
empty,23,-0.2023
occurs,23,0.0
obviously,23,0.0
eating,23,0.0
reasoning,23,0.0
earlier,23,0.0
spread,23,0.0
activity,23,0.0
calculated,23,0.0
youd,23,0.0
state,23,0.0
