Start Time,End Time,Text
00:00:00.060,00:00:01.170,"- [Derek] This is a video"
00:00:01.170,00:00:04.170,"about how Japanese swords are made,"
00:00:04.170,00:00:06.750,"swords that are strong enough and sharp enough"
00:00:06.750,00:00:09.240,"to slice a bullet in half."
00:00:09.240,00:00:12.300,"The access we got for this video is incredible."
00:00:12.300,00:00:16.140,"We were able to film everything from gathering the iron sand"
00:00:16.140,00:00:19.503,"to smelting the iron, forging the sword,"
00:00:20.490,00:00:23.310,"to sharpening and polishing it."
00:00:23.310,00:00:25.620,"They even let us use it."
00:00:25.620,00:00:26.870,"- [Petr] That is so cool!"
00:00:28.860,00:00:30.540,"- [Derek] The method of making these swords"
00:00:30.540,00:00:34.740,"has remained virtually unchanged for hundreds of years,"
00:00:34.740,00:00:37.263,"with everything done by hand."
00:00:38.220,00:00:41.820,"They are still considered to be among the best in the world."
00:00:41.820,00:00:43.740,"- The Japanese made a weapon"
00:00:43.740,00:00:47.130,"that was the absolute pinnacle for their style of warfare"
00:00:47.130,00:00:48.880,"and the materials they had at hand."
00:00:49.890,00:00:52.770,"- These swords are held in such high regard"
00:00:52.770,00:00:54.450,"that one from the 16th century"
00:00:54.450,00:00:57.813,"has been appraised at $105 million,"
00:00:58.650,00:01:02.516,"making it the most expensive sword ever built."
00:01:02.516,00:01:06.441,"(sword thwacks) (dramatic music)"
00:01:06.441,00:01:09.930,"(river noises)"
00:01:09.930,00:01:12.240,"In the Shimane province of Japan"
00:01:12.240,00:01:16.770,"there is a smelter that is lit for only one night each year"
00:01:16.770,00:01:21.663,"where steel is made in the same way it was 1300 years ago."
00:01:22.710,00:01:25.260,"It's known as the Tatara method,"
00:01:25.260,00:01:27.840,"and only steel made in this way ends up"
00:01:27.840,00:01:30.243,"in the very best Japanese swords."
00:01:31.560,00:01:34.657,"And we were invited to come film it."
00:01:34.657,00:01:38.430,"(drums and flute music)"
00:01:38.430,00:01:42.210,"Just after 9:00 AM, the ceremonial prayers are said"
00:01:42.210,00:01:44.733,"and the fire is lit by a Shinto priest."
00:01:46.230,00:01:48.780,"Everyone that will be working this smelter will be here"
00:01:48.780,00:01:51.630,"for at least the next 24 hours."
00:01:51.630,00:01:54.930,"That includes Veritasium producer Petr."
00:01:54.930,00:01:56.580,"- I'm committed. We're gonna do this."
00:01:56.580,00:01:57.907,"It's gonna be fun."
00:01:59.160,00:02:03.360,"- [Derek] Sword making in Japan goes back about 3000 years,"
00:02:03.360,00:02:06.900,"but in those days, swords were made out of bronze."
00:02:06.900,00:02:10.470,"We're not sure how people first learned to smelt metal,"
00:02:10.470,00:02:13.470,"but it was likely related to pottery."
00:02:13.470,00:02:15.450,"- In that you were using these rocky oars"
00:02:15.450,00:02:17.610,"to make glazes and such for pottery"
00:02:17.610,00:02:20.190,"under very controlled atmospheres."
00:02:20.190,00:02:23.160,"And then find maybe the potters found metallic beads"
00:02:23.160,00:02:25.440,"in the bottom of the furnaces that they were firing it."
00:02:25.440,00:02:27.780,"This possibly gave them the idea."
00:02:27.780,00:02:29.910,"- [Derek] Bronze was discovered before steel"
00:02:29.910,00:02:33.570,"because it's an alloy of copper, and usually tin,"
00:02:33.570,00:02:35.520,"both metals with low enough melting points"
00:02:35.520,00:02:39.120,"that they can be smelted in regular pottery kilns."
00:02:39.120,00:02:40.320,"The problem with bronze"
00:02:40.320,00:02:42.510,"is that although it can be sharpened,"
00:02:42.510,00:02:45.480,"it's too soft to hold an edge for long."
00:02:45.480,00:02:49.590,"So Japanese sword makers shifted to steel 1200 years ago"
00:02:49.590,00:02:51.540,"in the Heian period."
00:02:51.540,00:02:53.730,"This is what most people would recognize"
00:02:53.730,00:02:55.410,"as a Japanese sword."
00:02:55.410,00:02:58.173,"It's made of steel with a curved blade."
00:03:01.470,00:03:03.540,"Steel is an alloy of iron,"
00:03:03.540,00:03:06.690,"the fourth-most-common element in Earth's crust."
00:03:06.690,00:03:11.520,"The oceans of the world used to be rich with dissolved iron."
00:03:11.520,00:03:13.500,"But two and a half billion years ago,"
00:03:13.500,00:03:18.090,"cyanobacteria started photosynthesizing and creating oxygen."
00:03:18.090,00:03:20.310,"The iron reacted with that oxygen"
00:03:20.310,00:03:21.930,"precipitating out of solution"
00:03:21.930,00:03:25.470,"to be deposited at the bottom of the ocean."
00:03:25.470,00:03:29.010,"Incidentally, the cyanobacteria were poisoned by the oxygen"
00:03:29.010,00:03:31.230,"that they themselves produced"
00:03:31.230,00:03:33.420,"so it's thought that when levels got high enough,"
00:03:33.420,00:03:37.050,"they died off, and as a result, oxygen levels dropped"
00:03:37.050,00:03:40.830,"and iron no longer precipitated out of solution."
00:03:40.830,00:03:43.320,"Then the cyanobacteria could multiply again"
00:03:43.320,00:03:44.883,"and the cycle repeated."
00:03:45.720,00:03:48.810,"That's why most of the world's iron is found in layers"
00:03:48.810,00:03:53.160,"of sedimentary rock called banded iron formations."
00:03:53.160,00:03:55.320,"Each layer of iron was formed"
00:03:55.320,00:03:58.410,"during a global flourishing of cyanobacteria"
00:03:58.410,00:04:01.620,"that infused the ocean with oxygen."
00:04:01.620,00:04:03.570,"The majority of the global iron supply"
00:04:03.570,00:04:06.330,"comes from these banded iron formations"
00:04:06.330,00:04:09.450,"because of their high concentration of iron,"
00:04:09.450,00:04:12.903,"up to around 60% iron oxide by weight."
00:04:14.775,00:04:16.500,"(gentle music)"
00:04:16.500,00:04:19.500,"But Japan, with its mostly volcanic geology,"
00:04:19.500,00:04:22.890,"has barely any of these sedimentary iron oxides."
00:04:22.890,00:04:24.960,"And this is likely why the country was late"
00:04:24.960,00:04:26.940,"to the steel production game."
00:04:26.940,00:04:30.090,"Archeologists have found steel artifacts in Anatolia,"
00:04:30.090,00:04:34.740,"which is modern day Turkey, that are nearly 4,000 years old."
00:04:34.740,00:04:37.230,"But in Japan, metals including steel,"
00:04:37.230,00:04:39.030,"were imported from China and Korea"
00:04:39.030,00:04:41.100,"up until the eighth century"
00:04:41.100,00:04:44.670,"when Japan started making its own steel."
00:04:44.670,00:04:47.433,"So where did they get the raw ingredients?"
00:04:49.860,00:04:52.470,"Well, igneous rocks like granite and diorite"
00:04:52.470,00:04:54.630,"still contain iron oxides,"
00:04:54.630,00:04:57.300,"just in much lower concentrations."
00:04:57.300,00:04:59.130,"But as the mountains are weathered,"
00:04:59.130,00:05:03.240,"these iron oxides are broken apart and washed downstream."
00:05:03.240,00:05:05.703,"Eventually they become part of the sand."
00:05:07.350,00:05:10.110,"The Japanese noticed that because iron oxides"
00:05:10.110,00:05:12.750,"are denser than other minerals in the sand,"
00:05:12.750,00:05:14.460,"they accumulate in places"
00:05:14.460,00:05:17.460,"where the river changes direction or speed."
00:05:17.460,00:05:19.470,"The heavier iron sinks to the bottom"
00:05:19.470,00:05:21.663,"and the lighter material is washed away."
00:05:23.700,00:05:25.140,"To amplify this effect,"
00:05:25.140,00:05:28.170,"they deliberately created diversions in the river"
00:05:28.170,00:05:30.960,"to increase the concentration of iron."
00:05:30.960,00:05:33.600,"- What do you do is you dam off a section of river"
00:05:33.600,00:05:36.270,"and then you drag sand into it."
00:05:36.270,00:05:39.780,"Because iron is heavier than the other parts of the sand,"
00:05:39.780,00:05:41.430,"it is the thing that gets left behind"
00:05:41.430,00:05:44.490,"and everything else gets washed downstream."
00:05:44.490,00:05:46.650,"- [Derek] With this method, you can get iron sands"
00:05:46.650,00:05:49.590,"with 80% iron oxides by weight."
00:05:49.590,00:05:52.803,"That's more concentrated than high-quality iron ore."
00:05:54.060,00:05:55.860,"And since it has fewer impurities,"
00:05:55.860,00:05:59.463,"it's an excellent source for high-quality steel."
00:06:00.330,00:06:02.070,"If you heat up those iron oxides"
00:06:02.070,00:06:04.860,"to over 1,250 degrees Celsius,"
00:06:04.860,00:06:08.850,"you can break the bonds with oxygen and get pure iron."
00:06:08.850,00:06:12.540,"But pure iron is actually softer than bronze."
00:06:12.540,00:06:16.380,"So in its elemental state, iron provides no advantage."
00:06:16.380,00:06:19.500,"But nature gave humans a lucky break."
00:06:19.500,00:06:21.840,"One of the few ways you can heat something up"
00:06:21.840,00:06:25.500,"to 1,250 degrees is with charcoal,"
00:06:25.500,00:06:28.650,"and charcoal is basically pure carbon,"
00:06:28.650,00:06:32.130,"and if you add just a little bit of carbon to iron,"
00:06:32.130,00:06:36.743,"it creates an incredibly strong alloy: steel."
00:06:36.743,00:06:39.840,"- Yeah, a lot of people see it as a heat process."
00:06:39.840,00:06:42.480,"I see it as a chemical process."
00:06:42.480,00:06:45.060,"- [Derek] Alloys are usually stronger than pure metals"
00:06:45.060,00:06:48.120,"because they contain different sized atoms,"
00:06:48.120,00:06:50.250,"and this reduces the ability of atoms"
00:06:50.250,00:06:53.943,"to slide past each other when an external force is applied."
00:06:57.540,00:07:02.220,"- So I've just been given gloves, other gloves, and a towel."
00:07:02.220,00:07:05.820,"So things are very much getting real."
00:07:05.820,00:07:08.339,"I'm genuinely quite worried."
00:07:08.339,00:07:09.780,"(serious music)"
00:07:09.780,00:07:12.750,"Here is the room with all of the charcoal"
00:07:12.750,00:07:14.910,"that we're going to be using overnight."
00:07:14.910,00:07:18.573,"There's just bags and bags of this stuff."
00:07:21.695,00:07:24.612,"(charcoal rattles)"
00:07:25.570,00:07:28.320,"(flame crackles)"
00:07:30.016,00:07:31.957,"There's a Buddhist saying:"
00:07:31.957,00:07:35.670,"""Before enlightenment, chop wood, carry water."
00:07:35.670,00:07:39.420,"After enlightenment, chop wood, carry water."""
00:07:46.020,00:07:49.113,"So we're lining up on the four corners, I guess."
00:07:50.144,00:07:53.061,"(charcoal rattles)"
00:07:55.088,00:07:56.850,"Oh. Oh boy."
00:07:56.850,00:08:00.033,"Didn't do a great job of that. (chuckles)"
00:08:00.941,00:08:01.860,"(thunder rumbles)"
00:08:01.860,00:08:02.910,"So the rain is coming,"
00:08:02.910,00:08:05.010,"so we're quickly getting all of the charcoal out"
00:08:05.010,00:08:06.780,"and then measuring it."
00:08:06.780,00:08:10.210,"So each bag of these is 10 kilos. Okay."
00:08:10.210,00:08:13.380,"(serious music)"
00:08:13.380,00:08:17.310,"So with the iron sand, it is mixed together with water"
00:08:17.310,00:08:18.960,"because if you don't mix it with water"
00:08:18.960,00:08:21.710,"and you put it on the flame, it just flies straight up."
00:08:22.590,00:08:25.440,"But if you mix it with too much water,"
00:08:25.440,00:08:27.750,"then there is water that's gonna heat up."
00:08:27.750,00:08:28.770,"It's gonna become water vapor,"
00:08:28.770,00:08:31.320,"and the whole kiln could explode."
00:08:31.320,00:08:34.230,"Terrifyingly enough, they do this by feel."
00:08:34.230,00:08:38.790,"They mix in enough water until the iron sand is clumpy."
00:08:38.790,00:08:43.707,"But again, if it's too much, the whole thing could explode."
00:08:56.467,00:08:58.383,"Okay, put some iron in."
00:09:00.330,00:09:01.800,"It is just past four in the afternoon,"
00:09:01.800,00:09:02.820,"and over the last couple of hours"
00:09:02.820,00:09:06.180,"we have added 250 kilograms of charcoal"
00:09:06.180,00:09:09.660,"and nearly 60 kilograms of iron sand."
00:09:09.660,00:09:11.850,"So yeah, it's a slow process,"
00:09:11.850,00:09:14.610,"but I think we're starting to get somewhere."
00:09:14.610,00:09:17.403,"I have no idea because obviously the thing is hidden,"
00:09:18.750,00:09:20.613,"but it should be growing."
00:09:22.800,00:09:24.600,"- [Derek] To achieve the high temperatures"
00:09:24.600,00:09:26.280,"required to make steel,"
00:09:26.280,00:09:29.880,"you need a strong, steady supply of oxygen."
00:09:29.880,00:09:31.500,"For hundreds of years,"
00:09:31.500,00:09:35.040,"this was provided by huge foot-operated bellows."
00:09:35.040,00:09:38.130,"It would've taken an around-the-clock, full-body effort"
00:09:38.130,00:09:42.150,"by many men to maintain the furnace's temperature."
00:09:42.150,00:09:42.983,"- When I came here,"
00:09:42.983,00:09:45.420,"I was a little bit sad that the bellows were electric."
00:09:45.420,00:09:48.720,"I really wanted to, you know, have this proper experience,"
00:09:48.720,00:09:49.800,"have this proper workout"
00:09:49.800,00:09:53.223,"of stepping on these bellows for 24 hours."
00:09:54.742,00:09:57.510,"(serious music)"
00:09:57.510,00:09:59.190,"- [Derek] The temperature inside the smelter"
00:09:59.190,00:10:02.070,"gets up to 1500 degrees Celsius,"
00:10:02.070,00:10:06.450,"just below the melting point of iron, which is 1538 Celsius."
00:10:06.450,00:10:09.750,"So the iron being smelted isn't liquid,"
00:10:09.750,00:10:11.670,"but it's soft and malleable enough"
00:10:11.670,00:10:15.000,"to clump together into a big block of iron."
00:10:15.000,00:10:17.760,"No matter how high quality the iron sand is,"
00:10:17.760,00:10:20.070,"there will always be some impurities,"
00:10:20.070,00:10:23.730,"like sulfur, phosphorus, and silicon oxides."
00:10:23.730,00:10:26.250,"They combine with carbon from the charcoal"
00:10:26.250,00:10:28.920,"and melt at a lower temperature than iron,"
00:10:28.920,00:10:32.430,"so they become liquid and flow to the bottom."
00:10:32.430,00:10:34.593,"This is known as slag."
00:10:35.490,00:10:39.150,"After many more hours of adding charcoal and iron sand,"
00:10:39.150,00:10:42.123,"it is time for the first removal of the slag."
00:10:43.290,00:10:46.573,"Before the first removal of slag, another prayer is said."
00:10:46.573,00:10:49.920,"(steelworkers clap)"
00:10:49.920,00:10:51.107,"- Oh, that's insane."
00:11:06.287,00:11:08.162,"(slag sizzles)"
00:11:08.162,00:11:10.707,"(serious music)"
00:11:10.707,00:11:13.457,"(hammer pinging)"
00:11:15.512,00:11:16.345,"Whoa."
00:11:18.750,00:11:20.100,"So for the last three hours,"
00:11:20.100,00:11:22.950,"there's been three processes that we've been doing."
00:11:22.950,00:11:26.880,"One is adding the charcoal, two is adding the iron sand,"
00:11:26.880,00:11:30.600,"and three is opening up the smelter from the bottom"
00:11:30.600,00:11:34.507,"to break apart the impurities so they can flow out."
00:11:43.420,00:11:46.170,"(shovels scrape)"
00:11:54.480,00:11:57.960,"Just want you guys to know that it's 3:16 in the morning"
00:11:57.960,00:12:00.693,"and I'm still here and I'm really sleepy."
00:12:01.632,00:12:04.382,"(subdued music)"
00:12:06.360,00:12:09.330,"So it's currently six o'clock in the morning the next day."
