Start Time,End Time,Text
00:00:00.093,00:00:03.810,"- This is a video about the oldest unsolved problem in math"
00:00:03.810,00:00:06.090,"that dates back 2000 years."
00:00:06.090,00:00:08.430,"Some of the brightest mathematicians of all time"
00:00:08.430,00:00:11.583,"have tried to crack it, but all of them failed."
00:00:13.800,00:00:14.790,"In the year 2000"
00:00:14.790,00:00:18.000,"the Italian mathematician, Piergiorgio Odifreddi,"
00:00:18.000,00:00:21.420,"listed it among four of the most pressing open problems"
00:00:21.420,00:00:22.680,"at the time."
00:00:22.680,00:00:24.570,"Solving this problem could be as simple"
00:00:24.570,00:00:26.970,"as finding a single number."
00:00:26.970,00:00:28.830,"So mathematicians have used computers"
00:00:28.830,00:00:33.360,"and checked numbers up to 10 to the power of 2,200,"
00:00:33.360,00:00:36.360,"but so far they've come up empty handed."
00:00:36.360,00:00:39.030,"Why do you think this problem has captured the imaginations"
00:00:39.030,00:00:41.280,"of so many mathematicians?"
00:00:41.280,00:00:44.193,"- It's old, it's simple,"
00:00:45.240,00:00:46.503,"it's beautiful."
00:00:47.880,00:00:49.310,"- What else could you want?"
00:00:49.310,00:00:51.210,"So the problem is this."
00:00:51.210,00:00:55.500,"Do any odd perfect numbers exist?"
00:00:55.500,00:00:57.723,"So what is a perfect number?"
00:00:58.890,00:01:00.960,"Well take the number six for example."
00:01:00.960,00:01:05.580,"You can divide it by 1, 2, 3, and 6, but let's ignore 6"
00:01:05.580,00:01:07.380,"because that's the number itself,"
00:01:07.380,00:01:09.960,"and now we're left with just the proper divisors."
00:01:09.960,00:01:13.620,"If you add them all up, you find that they add to six,"
00:01:13.620,00:01:15.450,"which is the number itself."
00:01:15.450,00:01:18.480,"So numbers like this are called perfect."
00:01:18.480,00:01:21.420,"You can also try this with other numbers like 10."
00:01:21.420,00:01:24.450,"10 has the proper divisors one, two, and five."
00:01:24.450,00:01:26.910,"If you add those up, you only get eight."
00:01:26.910,00:01:29.730,"So 10 is not a perfect number."
00:01:29.730,00:01:32.190,"Now you can repeat this for all other numbers,"
00:01:32.190,00:01:35.370,"and what you find is that most numbers either overshoot"
00:01:35.370,00:01:38.490,"or undershoot between 1 and a 100,"
00:01:38.490,00:01:42.210,"only 6 and 28 are perfect numbers."
00:01:42.210,00:01:43.380,"Go up to 10,000"
00:01:43.380,00:01:48.380,"and you find the next two perfect numbers 496 and 8,128."
00:01:51.270,00:01:53.910,"These were the only perfect numbers known"
00:01:53.910,00:01:55.200,"by the ancient Greeks,"
00:01:55.200,00:01:57.240,"and they would be the only known ones"
00:01:57.240,00:01:59.280,"for over a thousand years."
00:01:59.280,00:02:02.610,"If only we could find a pattern that makes these numbers,"
00:02:02.610,00:02:05.940,"then we could use that to predict more of them."
00:02:05.940,00:02:08.460,"So what do these numbers have in common?"
00:02:08.460,00:02:09.900,"Well, one thing to notice is"
00:02:09.900,00:02:13.620,"that each next perfect number is one digit longer"
00:02:13.620,00:02:15.870,"than the number that came before it."
00:02:15.870,00:02:18.960,"Another thing they share is that the ending digit alternates"
00:02:18.960,00:02:23.960,"between 6 and 8, which also means they are all even."
00:02:27.690,00:02:30.330,"But here's where things get really weird."
00:02:30.330,00:02:35.160,"You can write 6 as the sum of 1 plus 2 plus 3"
00:02:35.160,00:02:39.570,"and 28 as the sum of one, plus 2, plus 3,"
00:02:39.570,00:02:43.740,"plus 4 plus 5 plus 6 plus 7, and so on"
00:02:43.740,00:02:48.030,"for the others as well, they're all just the sum"
00:02:48.030,00:02:50.070,"of consecutive numbers"
00:02:50.070,00:02:51.810,"and you can think of each additional number"
00:02:51.810,00:02:53.280,"as adding a new layer."
00:02:53.280,00:02:55.620,"And so these create a triangle,"
00:02:55.620,00:02:58.650,"which is why these numbers are called triangular numbers."
00:02:58.650,00:03:01.800,"Also, every number except for six is the sum"
00:03:01.800,00:03:04.230,"of consecutive odd cubes."
00:03:04.230,00:03:07.170,"So 28 is 1 cubed plus 3 cubed."
00:03:07.170,00:03:09.150,"496 is equal"
00:03:09.150,00:03:13.200,"to 1 cubed plus 3 cubed plus 5 cubed plus 7 cubed."
00:03:13.200,00:03:16.560,"And 8,128 is equal"
00:03:16.560,00:03:19.080,"to 1 cubed plus 3 cubed plus 5 cubed plus 7 cubed"
00:03:19.080,00:03:22.290,"plus 9 cubed all the way up to 15 cubed."
00:03:22.290,00:03:25.080,"But here's the one that really blows my mind."
00:03:25.080,00:03:27.360,"If you write these numbers in binary,"
00:03:27.360,00:03:30.690,"six becomes 110,"
00:03:30.690,00:03:34.833,"and 28 becomes 11100."
00:03:36.205,00:03:38.880,"496 becomes"
00:03:38.880,00:03:42.660,"111110000."
00:03:42.660,00:03:46.170,"And 8,128, you guessed it."
00:03:46.170,00:03:51.170,"It is also a string of ones followed by a series of zeros."
00:03:51.330,00:03:52.800,"So if you write them out,"
00:03:52.800,00:03:56.463,"they are all just consecutive powers of two."
00:04:03.405,00:04:05.280,"What now around 300 BC"
00:04:05.280,00:04:07.770,"Euclid was actually thinking along similar lines"
00:04:07.770,00:04:08.940,"when he discovered the pattern"
00:04:08.940,00:04:11.400,"that makes these perfect numbers."
00:04:11.400,00:04:13.350,"Take the number one and double it,"
00:04:13.350,00:04:15.420,"you get two now, keep doubling it."
00:04:15.420,00:04:20.100,"You get 4, 8, 16, 32, 64, and so on."
00:04:20.100,00:04:22.860,"Now starting from one, add the next number to it."
00:04:22.860,00:04:25.380,"So 1 plus 2 equals 3."
00:04:25.380,00:04:28.110,"If that adds up to a prime, then you multiply it"
00:04:28.110,00:04:31.050,"by the last number in the sequence to get a perfect number."
00:04:31.050,00:04:35.190,"So two times three equals six, the first perfect number."
00:04:35.190,00:04:36.480,"Now let's keep doing this."
00:04:36.480,00:04:38.250,"Add 1 plus 2 plus 4,"
00:04:38.250,00:04:41.160,"and you get 7, which is again prime."
00:04:41.160,00:04:45.090,"So multiply it by the last number four, and you get 28."
00:04:45.090,00:04:46.830,"The next perfect number."
00:04:46.830,00:04:51.120,"Next, add 1 plus 2 plus 4 plus 8 equals 15,"
00:04:51.120,00:04:56.120,"but 15 isn't prime, so we continue add 16 to get 31,"
00:04:56.130,00:04:57.450,"this is prime."
00:04:57.450,00:05:01.110,"So you multiply it by 16 and you get 496."
00:05:01.110,00:05:02.763,"The third perfect number."
00:05:03.900,00:05:06.030,"Now you can keep doing this to find bigger"
00:05:06.030,00:05:07.980,"and bigger perfect numbers,"
00:05:07.980,00:05:10.950,"and using this we can rewrite the first three."
00:05:10.950,00:05:14.910,"So 6 equals 1 plus 2 times 2 to the power of 1"
00:05:14.910,00:05:18.780,"and 28 equals 1 plus 2 plus 4 times 2 squared"
00:05:18.780,00:05:22.560,"and 496 equals 1 plus 2 plus 4 plus 8"
00:05:22.560,00:05:25.170,"plus 16 times 2 to the power of 4"
00:05:25.170,00:05:27.780,"where the first term is prime."
00:05:27.780,00:05:30.630,"But there's a more convenient way to write this still."
00:05:30.630,00:05:33.750,"Take any sum of consecutive powers of 2."
00:05:33.750,00:05:35.439,"So 2 to the power of zero which is"
00:05:35.439,00:05:38.070,"1 plus 2 to the 1 plus 2 to the 2,"
00:05:38.070,00:05:40.800,"all the way up to 2 to the n minus 1."
00:05:40.800,00:05:43.410,"And now because you don't know n, you don't know what"
00:05:43.410,00:05:46.200,"that is equal to, but it will be equal to something."
00:05:46.200,00:05:47.970,"So let's call that T."
00:05:47.970,00:05:50.610,"Now multiply this whole equation by two."
00:05:50.610,00:05:52.680,"So you get 2 to the 1 plus 2 to the 2,"
00:05:52.680,00:05:57.480,"all the way up to 2 to the n, and this is equal to 2T."
00:05:57.480,00:06:00.180,"If you now subtract the first equation from the second,"
00:06:00.180,00:06:02.250,"almost all the terms will cancel out"
00:06:02.250,00:06:06.810,"and you're left with T equals 2 to the n minus 1."
00:06:06.810,00:06:09.030,"So you can replace this whole series"
00:06:09.030,00:06:12.240,"with one less than the next power of 2."
00:06:12.240,00:06:16.200,"So six becomes 2 squared minus 1 times 2 to the 1."
00:06:16.200,00:06:19.650,"28 becomes 2 cubed minus 1 times 2 squared,"
00:06:19.650,00:06:24.303,"and 496 becomes 2 to the 5 minus 1 times 2 to the 4."
00:06:25.290,00:06:26.463,"Do you see the pattern?"
00:06:27.300,00:06:29.820,"This number is always one more than this."
00:06:29.820,00:06:32.610,"So if we call this P, then Euclid formula"
00:06:32.610,00:06:36.480,"that gives a perfect number is 2 to the P minus 1"
00:06:36.480,00:06:40.563,"times 2 to the P minus 1 whenever this is prime."
00:06:42.150,00:06:44.940,"Now, because you're multiplying it by 2 to the P minus 1,"
00:06:44.940,00:06:48.693,"which is even, this will always give an even number."
00:06:50.790,00:06:54.600,"Euclid had found a way to generate even perfect numbers,"
00:06:54.600,00:06:57.810,"but he didn't prove that this was the only way."
00:06:57.810,00:07:00.360,"So there could be other ways to get perfect numbers,"
00:07:00.360,00:07:03.183,"including potentially ones that are odd."
00:07:04.230,00:07:05.430,"400 years later,"
00:07:05.430,00:07:07.710,"the Greek philosopher nicomchaus published"
00:07:07.710,00:07:11.100,"Introdutio Arithmetica, the standard arithmetic text"
00:07:11.100,00:07:13.260,"for the next thousand years."
00:07:13.260,00:07:16.530,"In it, he stated five conjectures statements he believed"
00:07:16.530,00:07:19.833,"to be true, but did not bother actually trying to prove."
00:07:20.850,00:07:23.070,"His conjectures were one,"
00:07:23.070,00:07:26.220,"the nth perfect number has n digits."
00:07:26.220,00:07:29.220,"Two, all perfect numbers are even."
00:07:29.220,00:07:33.750,"Three, all perfect numbers end in 6 and 8 alternately."
00:07:33.750,00:07:37.920,"Four, Euclid algorithm produces every even perfect number."
00:07:37.920,00:07:42.150,"And five, there are infinitely many perfect numbers."
00:07:42.150,00:07:43.770,"For the next thousand years"
00:07:43.770,00:07:47.430,"no one could prove or disprove any of these conjectures,"
00:07:47.430,00:07:49.443,"and they were considered facts."
00:07:51.840,00:07:53.220,"But in the 13th century,"
00:07:53.220,00:07:55.050,"Egyptian mathematician Ibn Fallus"
00:07:55.050,00:07:57.330,"published a list with 10 perfect numbers"
00:07:57.330,00:07:59.580,"and their values of P."
00:07:59.580,00:08:01.620,"Three of these perfect numbers turned out"
00:08:01.620,00:08:03.600,"not to be perfect at all."
00:08:03.600,00:08:05.520,"But the remaining ones are."
00:08:05.520,00:08:08.760,"The fifth perfect number is eight digits long,"
00:08:08.760,00:08:12.270,"which disproves Nicomachus's first conjecture."
00:08:12.270,00:08:14.400,"And the next thing to notice is that both the fifth"
00:08:14.400,00:08:17.130,"and sixth perfect number end in a 6."
00:08:17.130,00:08:19.770,"So that disproves Nicomachus's third conjecture"
00:08:19.770,00:08:23.670,"that all perfect numbers end in a 6 or 8 alternately."
00:08:23.670,00:08:25.740,"Two conjectures were proven false."
00:08:25.740,00:08:27.453,"But what about the other three?"
00:08:29.490,00:08:32.520,"Two centuries later, the problem reached Renaissance Europe"
00:08:32.520,00:08:34.440,"where they rediscovered the fifth, sixth,"
00:08:34.440,00:08:36.183,"and seventh perfect numbers."
00:08:37.950,00:08:41.100,"So far every perfect number had Euclid's form."
00:08:41.100,00:08:43.680,"And the best way to find new ones was by finding the values"
00:08:43.680,00:08:47.670,"of P that make 2 to the P minus 1 prime."
00:08:47.670,00:08:51.030,"So French polymath Marin Mersenne extensively studied"
00:08:51.030,00:08:53.250,"numbers of this form."
00:08:53.250,00:08:56.400,"In 1644, he published his in a book"
00:08:56.400,00:08:58.200,"including a list of 11 values"
00:08:58.200,00:09:01.890,"of P for which he claimed they corresponded to primes."
